"시점",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"시점",계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명),계 (명),남 (명),여 (명)
"2000",47732558,23962088,23770470,10311314,5166605,5144709,3796506,1897050,1899456,2524253,1268348,1255905,2545769,1284769,1261000,1371909,681570,690339,1385606,695881,689725,1040225,533559,506666,-,-,-,9219343,4658523,4560820,1554688,781133,773555,1497513,752953,744560,1921604,966413,955191,1999255,993967,1005288,2130614,1061959,1068655,2797178,1401512,1395666,3094413,1548720,1545693,542368,269126,273242
"2001",48021543,24102463,23919080,10263336,5141741,5121595,3770536,1883524,1887012,2525109,1268488,1256621,2564598,1294400,1270198,1383765,687267,696498,1403164,704489,698675,1055618,541907,513711,-,-,-,9544496,4822367,4722129,1552407,778766,773641,1496520,752588,743932,1918137,964509,953628,2006454,995701,1010753,2099308,1045903,1053405,2784704,1394244,1390460,3106502,1555175,1551327,546889,271394,275495
"2002",48229948,24200192,24029756,10207295,5108964,5098331,3730125,1862520,1867605,2525803,1268530,1257273,2577989,1301499,1276490,1397452,693937,703515,1419573,712653,706920,1065037,546847,518190,-,-,-,9927473,5012229,4915244,1538720,771945,766775,1492713,750277,742436,1907725,958290,949435,1953846,971729,982117,2054204,1022322,1031882,2756744,1380211,1376533,3124418,1564368,1560050,550831,273871,276960
"2003",48386823,24270143,24116680,10174086,5084908,5089178,3691445,1842405,1849040,2529544,1269880,1259664,2570194,1296989,1273205,1395762,693149,702613,1432296,718968,713328,1072867,551084,521783,-,-,-,10206851,5150549,5056302,1527034,767294,759740,1489635,748957,740678,1912803,960719,952084,1954430,970289,984141,2017730,1004190,1013540,2720832,1363201,1357631,3139017,1572720,1566297,552297,274841,277456
"2004",48583805,24363083,24220722,10173162,5074686,5098476,3666345,1828634,1837711,2524712,1266254,1258458,2578817,1300343,1278474,1401172,695479,705693,1443471,724588,718883,1081453,555660,525793,-,-,-,10462920,5277320,5185600,1521375,764803,756572,1488945,749274,739671,1953406,982648,970758,1906742,948697,958045,1986192,989227,996965,2695917,1352420,1343497,3143814,1576357,1567457,555362,276693,278669
"2005",48782274,24456234,24326040,10167344,5062492,5104852,3638293,1812599,1825694,2511306,1259092,1252214,2600495,1310759,1289736,1401745,695687,706058,1454638,729818,724820,1087648,558866,528782,-,-,-,10697215,5395500,5301715,1513110,760642,752468,1488803,749832,738971,1962646,988191,974455,1885335,938746,946589,1967205,980392,986813,2688491,1349437,1339054,3160431,1585900,1574531,557569,278281,279288
"2006",48991779,24557004,24434775,10181166,5062107,5119059,3611992,1798940,1813052,2496115,1250849,1245266,2624391,1323375,1301016,1407798,698664,709134,1466158,735595,730563,1092494,561611,530883,-,-,-,10906033,5499796,5406237,1505420,756894,748526,1494559,752742,741817,1974433,995826,978607,1868365,930450,937915,1942925,968861,974064,2688577,1349830,1338747,3172857,1592610,1580247,558496,278854,279642
"2007",49268928,24691249,24577679,10192710,5063188,5129522,3587439,1785903,1801536,2493261,1248233,1245028,2664576,1342975,1321601,1413444,701561,711883,1475659,739472,736187,1099995,565897,534098,-,-,-,11106211,5598206,5508005,1503806,756184,747622,1506608,758967,747641,1995531,1007900,987631,1862277,927367,934910,1929836,963411,966425,2681364,1346756,1334608,3196953,1605983,1590970,559258,279246,280012
"2008",49540367,24822897,24717470,10200827,5061809,5139018,3564577,1773154,1791423,2492724,1246873,1245851,2692696,1356473,1336223,1422702,705817,716885,1480895,741611,739284,1112407,572815,539592,-,-,-,11292264,5690673,5601591,1508575,759282,749293,1519587,765398,754189,2018537,1020317,998220,1855772,924770,931002,1919000,958491,960509,2673931,1343199,1330732,3225255,1622127,1603128,560618,280088,280530
