,년도,시도,초등학생인원수,빈집수,전출인구,총인구,부채,예금은행대출금액,산부인과의원수
0,2013,경기도,739619,,1821303,12234630,,248468.3,286
1,2013,서울특별시,469392,,1620640,10143645,,462443.1,395
2,2013,경상남도,190166,,423864,3333820,,57288.6,65
3,2013,부산광역시,160821,,496161,3527635,,77411.6,82
4,2013,대구광역시,136309,,363224,2501588,,46578.5,86
5,2013,인천광역시,157918,,439578,2879782,,62378.3,69
6,2013,전라북도,105135,,260395,1872965,,22597.6,52
7,2013,경상북도,135237,,330983,2699440,,28452.3,57
8,2013,광주광역시,96055,,229288,1472910,,23082.8,45
9,2013,충청남도,116216,,268053,2047631,,26445.4,47
10,2013,전라남도,99206,,246635,1907172,,15968.2,24
11,2013,울산광역시,67156,,157185,1156480,,19560.1,31
12,2013,충청북도,88860,,212860,1572732,,17211.7,49
13,2013,대전광역시,93398,,230547,1532811,,23859.8,52
14,2013,강원도,83187,,214931,1542263,,13259.9,34
15,2013,제주특별자치도,38235,,81028,593806,,7325.0,21
16,2013,세종특별자치시,7090,,15109,122153,,2429.1,2
17,2014,경기도,732307,,1834379,12357830,,268494.6,277
18,2014,서울특별시,457517,,1661425,10103233,,494441.9,392
19,2014,경상남도,186973,,456164,3350257,,62681.3,64
20,2014,부산광역시,155754,,500802,3519401,,84345.8,77
21,2014,대구광역시,131765,,365739,2493264,,53214.0,85
22,2014,인천광역시,156740,,442973,2902608,,66365.0,67
23,2014,전라북도,101860,,276900,1871560,,24625.9,54
24,2014,경상북도,131307,,338029,2700794,,31642.7,55
25,2014,광주광역시,93163,,246043,1475884,,24782.2,43
26,2014,충청남도,115056,,279817,2062273,,29451.1,46
27,2014,전라남도,95720,,260874,1905780,,17164.0,23
28,2014,울산광역시,65810,,173229,1166377,,21981.2,31
29,2014,충청북도,86508,,213577,1578933,,19076.8,47
30,2014,대전광역시,91599,,248397,1531809,,25804.7,50
31,2014,강원도,80458,,226284,1544442,,14184.7,32
32,2014,제주특별자치도,37915,,81396,607346,,8312.3,20
33,2014,세종특별자치시,8057,,23070,156125,,3535.0,3
34,2015,경기도,733359,144893.0,1898312,12522606,,284496.7,273
35,2015,서울특별시,450675,79049.0,1726687,10022181,,525529.1,389
36,2015,경상남도,187075,98680.0,450279,3364702,,68619.5,66
37,2015,부산광역시,154283,86626.0,520591,3513777,,92109.5,74
38,2015,대구광역시,129583,29610.0,364364,2487829,,61642.8,85
39,2015,인천광역시,157099,47402.0,463685,2925815,,69059.0,65
40,2015,전라북도,100260,73869.0,264662,1869711,,26242.4,53
41,2015,경상북도,129743,108114.0,345307,2702826,,35582.2,55
42,2015,광주광역시,91862,26705.0,233875,1472199,,28259.6,41
43,2015,충청남도,115484,73719.0,279680,2077649,,32255.0,46
44,2015,전라남도,94368,103333.0,246168,1908996,,19216.7,22
45,2015,울산광역시,66134,21423.0,170473,1173534,,24057.9,32
46,2015,충청북도,85290,54884.0,213188,1583952,,21044.6,47
47,2015,대전광역시,89464,26419.0,241390,1518775,,27830.0,47
48,2015,강원도,78414,59260.0,222352,1549507,,15464.9,33
49,2015,제주특별자치도,38164,18475.0,83323,624395,,10191.0,20
50,2015,세종특별자치시,13353,16458.0,30950,210884,,5215.0,4
51,2016,경기도,727380,167830.0,1824976,12716780,,305720.4,269
52,2016,서울특별시,436121,94668.0,1655859,9930616,,544592.1,388
53,2016,경상남도,185325,98899.0,410180,3373871,,72333.0,64
54,2016,부산광역시,151207,85333.0,480407,3498529,,99122.7,70
55,2016,대구광역시,125541,36932.0,337488,2484557,,66966.8,87
56,2016,인천광역시,155590,52941.0,435869,2943069,,73804.8,65
57,2016,전라북도,97895,73696.0,252607,1864791,,27330.1,52
58,2016,경상북도,127825,107862.0,318803,2700398,,37300.0,56
59,2016,광주광역시,89095,29127.0,221074,1469214,,30354.2,39
60,2016,충청남도,115309,80152.0,271446,2096727,,33828.8,46
61,2016,전라남도,92981,102257.0,237337,1903914,,20060.0,22
62,2016,울산광역시,65629,20965.0,155812,1172304,,25364.2,32
63,2016,충청북도,84052,56014.0,197668,1591625,,22070.0,47
64,2016,대전광역시,85939,26238.0,229883,1514370,,29590.8,47
65,2016,강원도,76772,55709.0,221592,1550806,,16415.4,29
66,2016,제주특별자치도,38272,21469.0,92193,641597,,12548.2,21
67,2016,세종특별자치시,17910,10115.0,35236,243048,,6747.6,4
68,2017,경기도,733941,194981.0,1772162,12873895,9028.0,326152.3,269
69,2017,서울특별시,428333,93343.0,1571423,9857426,9690.0,569688.0,388
70,2017,경상남도,186619,120548.0,409200,3380404,6141.0,74494.8,64
71,2017,부산광역시,150863,94737.0,467471,3470653,5181.0,106819.1,65
72,2017,대구광역시,124708,44180.0,333118,2475231,6424.0,71095.8,86
73,2017,인천광역시,156470,57489.0,411135,2948542,6333.0,80147.3,62
74,2017,전라북도,97383,77631.0,239253,1854607,4121.0,28323.0,50
75,2017,경상북도,127642,126480.0,316642,2691706,4719.0,39225.6,55
76,2017,광주광역시,88189,33569.0,216256,1463770,4312.0,31038.5,38
77,2017,충청남도,116963,92110.0,269337,2116770,5941.0,35278.9,43
78,2017,전라남도,93233,109799.0,230551,1896424,4188.0,21010.3,21
79,2017,울산광역시,66016,26867.0,147116,1165132,7352.0,26949.2,32
80,2017,충청북도,84240,60881.0,194915,1594432,5195.0,23178.8,45
81,2017,대전광역시,84240,26994.0,227624,1502227,6158.0,31050.7,46
82,2017,강원도,75722,62109.0,209618,1550142,4153.0,17587.6,30
83,2017,제주특별자치도,38901,28629.0,91022,657083,5942.0,14707.9,21
84,2017,세종특별자치시,20764,14360.0,47383,280100,,7585.8,4
