"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"전국",15765275,16080992,16489107,16987634,17391932,17857511,18326619,18687694,19005339,19261292,19865179,20033142,20211770,20456588,20724094,21011152,21294009,21632851,22042947,22481466,23093108,23472895,23705814
"서울특별시",3540492,3570228,3623929,3714697,3780305,3871024,3978938,4046086,4097562,4116660,4224181,4192752,4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007,4446296
"종로구",69935,70085,70113,70288,70408,69982,70925,71968,74660,74315,77621,76688,75659,73693,73101,72645,72118,73594,73735,73947,75003,73494,72524
"중구",53964,55409,54521,54487,54419,55101,56642,57473,58174,58249,61468,61475,61546,60600,59960,59321,59651,60412,61502,62739,63686,63519,63139
"용산구",90547,92239,91735,93262,94788,97324,101479,104720,106966,107456,113204,112617,110706,109361,108429,107512,106607,107666,108974,110126,113093,111036,109805
"성동구",119842,121565,123394,126592,128964,131725,133864,135655,128658,126670,129644,126148,125848,126447,125814,126714,128727,132902,137209,135838,135870,134233,133305
"광진구",137934,139190,141367,144687,145430,147077,150736,154017,155676,156140,159675,158472,158534,159173,158524,158353,158390,160798,162606,164428,167427,167949,169291
"동대문구",136644,138849,143014,146457,148168,152613,155667,156777,156267,153437,158485,157823,157650,159256,159880,159941,159426,159938,161820,164191,167598,168219,169873
"중랑구",153386,152708,154085,156511,158283,159674,163509,167665,171183,171448,176096,175115,174313,174938,176714,176390,177400,179132,180511,181579,185920,185712,187413
"성북구",159916,158642,159810,167475,169704,177456,185805,187024,190713,192990,201489,199398,197992,196693,193359,190973,188304,187112,186601,192592,195396,195017,197082
"강북구",117886,119814,126252,129543,131995,132471,134490,135415,136300,136779,142711,142527,142150,141246,141246,141088,141229,142533,143395,144277,145896,144536,144313
"도봉구",118807,119856,122201,127264,131129,134308,136003,138156,139733,139010,140603,139348,138036,137714,136977,136903,136898,137378,138087,138508,139114,138656,138356
"노원구",201204,207842,209521,211144,212531,215166,218799,222109,225065,225000,228022,225104,222959,222132,221107,219768,219736,217619,217655,216966,218270,217378,217540
"은평구",158856,160274,164981,172761,177305,178816,180503,181551,182762,185701,196390,197582,200502,202487,202187,203410,201891,202839,205001,207681,213914,214711,213876
"서대문구",131473,132044,134023,134956,136146,138320,141869,144016,138295,137062,138473,134730,135104,135272,134780,135770,136766,137266,138549,140157,144838,143647,145797
"마포구",141862,140799,142790,149272,153994,159894,165036,167901,165978,165750,170531,168640,166722,166780,169492,171480,169432,169408,172505,175023,178482,179861,180084
"양천구",155521,156180,158639,163755,169326,174368,178984,181977,183002,182363,183718,182677,181135,180443,179069,179512,177434,176649,176498,177256,180633,181404,181187
"강서구",173789,175849,181422,189521,193973,202052,208347,213893,223026,221975,225313,223490,223708,226607,234378,238952,245045,254257,258503,262708,266982,271175,273697
"구로구",135896,140533,142342,146240,150568,154397,159991,163310,165750,167404,170317,171064,171498,171419,172594,172321,172220,171570,172457,176568,180531,180929,183655
"금천구",91827,91035,93056,95608,96632,98179,99193,99299,100138,100285,103412,103600,104357,104179,103940,103847,104483,106066,107971,110622,114715,117595,119583
"영등포구",143085,145093,147838,149948,154167,159762,164263,166087,168187,168099,171791,168850,167685,167761,168100,167863,165729,167355,171085,174806,184714,187020,188832
"동작구",144888,143095,144854,151694,154625,158192,161958,163600,163742,163344,167887,167099,169293,172700,172389,170495,172506,172995,177176,180753,184229,184812,185773
"관악구",186734,192531,197578,206087,214261,220879,230093,236544,241511,241873,247588,246979,247598,248006,248180,249191,251955,255352,262222,268559,274811,276597,283623
"서초구",137997,138387,138627,144165,148608,152245,158618,158880,159907,166405,170882,168988,168878,170594,173469,173007,173970,173594,172918,173199,173502,170244,167749
"강남구",193101,192505,193857,196628,201571,211338,222642,226149,227533,229431,234345,231983,230755,230645,237375,237373,234080,231612,228775,232981,234872,234233,232777
