시도,년도,활동,신생,소멸
서울,2013,1258829,168425,150812
부산,2013,370922,49110,43743
대구,2013,255803,33186,28898
인천,2013,278236,41563,37133
광주,2013,142802,22274,19665
대전,2013,151948,22390,20716
울산,2013,107882,15349,13323
세종,2013,11658,2285,1435
경기,2013,1278338,187835,162467
강원,2013,161152,19937,19940
충북,2013,160877,21984,20940
충남,2013,200020,28374,24974
전북,2013,171074,23150,20605
전남,2013,167320,21373,19645
경북,2013,260586,33938,29859
경남,2013,335284,47958,42146
제주,2013,64751,9560,7964
서울,2014,1285898,181516,187357
부산,2014,381957,55145,49300
대구,2014,264875,39148,34878
인천,2014,286863,45562,46934
광주,2014,147975,25014,22533
대전,2014,158252,27477,23216
울산,2014,112595,17821,16113
세종,2014,14500,3859,1864
경기,2014,1329135,208051,187472
강원,2014,163887,22065,20822
충북,2014,166442,26193,22041
충남,2014,207960,32520,28989
전북,2014,178892,28371,22729
전남,2014,173284,25232,22117
경북,2014,271397,39823,34020
경남,2014,347170,54236,47184
제주,2014,67685,10756,8947
서울,2015,1251731,170463,138643
부산,2015,383012,52489,42679
대구,2015,264637,36758,28626
인천,2015,282700,44950,35241
광주,2015,144550,23653,18533
대전,2015,156767,23243,19038
울산,2015,113449,17572,14010
세종,2015,17699,4839,2099
경기,2015,1341782,204842,157360
강원,2015,164455,22499,18375
충북,2015,168344,24341,19385
충남,2015,210211,32105,24934
전북,2015,182152,26835,20187
전남,2015,176148,26138,19336
경북,2015,275538,38942,30485
경남,2015,349440,51539,42977
제주,2015,70949,11994,8216
서울,2016,1289357,185666,133687
부산,2016,392807,53972,41256
대구,2016,273432,38815,28203
인천,2016,296108,49099,34913
광주,2016,149461,24604,17785
대전,2016,161327,24251,18835
울산,2016,117345,18207,13848
세종,2016,21233,5418,2395
경기,2016,1412281,226929,152974
강원,2016,170771,24542,18357
충북,2016,174379,25381,19007
충남,2016,218770,33544,24237
전북,2016,188930,27466,20148
전남,2016,184172,27251,19962
경북,2016,285833,40860,30602
경남,2016,360481,54359,41010
제주,2016,79309,16050,9030
서울,2017,1341759,194876,151234
부산,2017,405205,55497,44055
대구,2017,283123,38961,30533
인천,2017,309775,49625,38986
광주,2017,155837,24448,19352
대전,2017,166399,24582,19500
울산,2017,121588,18620,15370
세종,2017,26096,7069,3318
경기,2017,1502557,241291,171348
강원,2017,177905,25527,20820
충북,2017,182418,26974,21095
충남,2017,231187,36611,26908
전북,2017,195980,27719,22759
전남,2017,192084,27595,21912
경북,2017,297324,41934,34546
경남,2017,374215,55178,45861
제주,2017,87291,16833,10700
서울,2018,1372076,194628,146325
부산,2018,412641,53937,43857
대구,2018,288468,37788,30665
인천,2018,321747,52435,37431
광주,2018,164928,25624,19121
대전,2018,169835,23752,19246
울산,2018,122855,17485,15324
세종,2018,30225,7212,3774
경기,2018,1584941,254181,178541
강원,2018,183161,26326,19998
충북,2018,186439,25517,20128
충남,2018,239893,36374,27676
전북,2018,201013,28463,21341
전남,2018,196936,27300,20777
경북,2018,302289,39962,33296
경남,2018,379700,52830,43544
제주,2018,92637,15938,11039
서울,2019,1416145,203968,157419
부산,2019,425613,59057,46120
대구,2019,296026,39971,31954
인천,2019,349166,66264,44121
광주,2019,171046,26072,20168
대전,2019,175607,25967,20230
울산,2019,124994,18373,15227
세종,2019,34276,7712,4389
경기,2019,1678685,273263,192192
강원,2019,190426,27969,20767
충북,2019,194971,29192,21233
충남,2019,250195,38628,27463
전북,2019,211967,33252,22522
전남,2019,207370,31786,22044
경북,2019,311422,43204,33902
경남,2019,390210,55203,43808
제주,2019,98425,16898,12834
서울,2020,1461274,216971,167815
부산,2020,439033,61626,47941
대구,2020,303699,41361,31787
인천,2020,365175,62574,43775
광주,2020,176875,26695,19786
대전,2020,182770,28477,20898
울산,2020,127964,18979,15431
세종,2020,38435,8392,5165
경기,2020,1784184,299179,198673
강원,2020,199115,29874,21188
충북,2020,204172,30765,22474
충남,2020,265705,43398,29308
전북,2020,224779,35752,23203
전남,2020,219445,34249,22803
경북,2020,322277,44946,33437
경남,2020,403797,58729,45268
제주,2020,102151,16875,12269
