시도,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸
서울특별시,1258829,168425,150812,3168798.0,5.4,47929,5870,6229,24426,4488,4716,18641,1666,1389,28184,5989,4749,23485,4101,3098,50982,8306,5879,326126,33626,28504,10047,2554,2062,36545,6699,4883,137881,26113,25209,103449,8165,7232,319355,48097,45519,56983,5311,4902,500,27,27,163,45,9,74080,7362,6401,53,6,4
부산광역시,370922,49110,43743,2520222.0,2.7,17554,1892,2093,6967,1146,1292,5023,394,280,8354,1802,1510,6450,1299,960,7228,1193,717,66224,9079,7247,1511,274,332,2078,484,350,50039,9566,9043,49282,2836,2727,95755,13902,12841,18852,1983,1625,470,37,30,39,14,1,35083,3208,2694,13,1,1
대구광역시,255803,33186,28898,2315945.0,2.3,11126,1400,1301,5129,862,929,3773,245,192,6666,1326,1188,4004,860,588,4872,646,394,43427,4842,3852,932,207,189,1517,275,224,33923,6486,6444,29496,1971,1641,66423,9981,9033,14192,1408,958,341,22,24,86,11,1,29884,2640,1936,12,4,4
인천광역시,278236,41563,37133,2609457.0,4.0,12099,1931,1769,6050,1218,1283,3263,298,223,5995,1342,1192,4305,965,716,4449,759,554,55944,6988,6142,751,166,171,1848,485,327,36180,7887,7369,34236,2848,2296,65210,11522,10732,16532,1926,1727,521,49,35,54,10,2,30778,3168,2594,21,1,1
광주광역시,142802,22274,19665,2417477.0,4.2,7586,1086,1086,3430,782,841,2186,221,166,4819,1008,775,2553,550,402,2896,429,314,23002,3356,2915,508,105,125,940,199,149,20400,4765,4499,15452,1181,794,38634,6342,5961,10688,1121,818,166,14,7,151,62,5,9376,1051,808,15,2,0
대전광역시,151948,22390,20716,2722674.0,3.0,7663,1034,979,3570,748,745,2339,173,129,4663,953,890,2688,551,460,3211,526,368,28927,3337,3198,541,109,152,1455,294,214,21808,4822,4571,15518,1217,1064,40373,6740,6387,9832,959,861,137,6,11,35,8,0,9185,913,687,3,0,0
울산광역시,107882,15349,13323,2834007.0,-3.5,5455,638,622,2660,416,487,1382,117,83,3349,694,556,2133,396,331,2622,526,232,18438,2154,1752,274,49,76,351,62,47,18643,3807,3639,12115,786,654,23629,3700,3355,7928,815,606,226,24,12,23,3,0,8637,1161,867,17,1,4
세종특별자치시,11658,2285,1435,0.0,0.0,456,61,56,213,51,50,115,15,5,264,72,54,180,42,21,219,64,28,2222,596,284,14,3,2,53,17,8,1826,452,287,1428,148,100,2393,426,364,1173,209,90,39,4,1,14,3,0,1040,121,84,9,1,1
경기도,1278338,187835,162467,2735767.0,3.1,53177,7730,7235,25085,5060,5072,14695,1402,1141,33182,7576,6822,19544,4185,3241,24048,4132,2927,303103,35757,29408,2957,757,749,13174,2953,2207,153330,32332,30203,129515,11748,8624,284398,49143,45169,69088,8586,7059,2272,225,189,310,91,13,150356,16149,12398,104,9,10
강원도,161152,19937,19940,2437051.0,3.2,8753,814,955,3652,619,674,1682,129,114,4168,776,837,2403,410,381,2311,313,204,24245,2352,2667,341,80,91,663,139,112,35201,6113,5838,12622,883,833,39469,5355,5455,17051,1102,990,407,25,30,142,43,9,7877,773,734,165,11,16
