"시점",계,계,계,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주도,제주도,제주도
"시점",계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"2022",28089,15928,12161,5113,2759,2355,1679,935,744,1228,692,536,1614,922,692,750,422,328,794,455,339,566,346,220,197,116,81,7597,4419,3179,818,438,380,926,534,392,1226,718,507,968,535,433,1010,566,445,1462,850,612,1740,1009,732,402,215,187
"2021",27273,15548,11725,5055,2736,2319,1657,922,736,1217,689,528,1563,896,667,745,418,327,785,446,338,555,340,215,185,109,76,7150,4199,2951,809,440,369,897,515,382,1193,703,490,953,536,416,985,557,428,1410,829,581,1732,1005,726,383,207,176
"2020",26904,15381,11523,5051,2747,2305,1640,910,730,1184,679,505,1560,890,669,748,416,332,780,443,337,560,349,211,180,106,74,6909,4075,2834,795,439,356,890,511,379,1176,694,482,932,528,405,974,551,423,1418,832,587,1729,1011,719,378,203,176
"2019",27123,15463,11660,5086,2774,2313,1676,927,749,1219,690,529,1581,899,682,750,422,328,772,441,331,571,350,222,168,98,69,6952,4057,2895,811,446,365,880,508,372,1196,706,490,928,526,401,974,549,425,1430,834,596,1749,1027,721,382,209,173
"2018",26822,15372,11450,5080,2786,2295,1657,935,722,1226,680,546,1575,902,672,749,419,330,759,431,328,574,354,221,148,88,60,6790,3989,2802,789,436,353,876,512,365,1179,696,483,915,526,388,961,541,420,1427,834,593,1746,1040,706,372,204,168
"2017",26725,15368,11356,5152,2849,2304,1685,961,724,1239,691,548,1533,888,645,744,418,326,764,438,326,584,364,220,129,77,52,6685,3927,2758,790,437,352,861,493,368,1140,684,456,921,530,391,957,538,419,1447,848,599,1723,1025,698,374,201,173
"2016",26409,15241,11168,5146,2872,2274,1686,957,729,1247,709,538,1520,883,637,730,420,310,774,441,333,576,366,210,-,-,-,6504,3826,2678,749,416,333,845,481,364,1226,741,486,940,538,402,964,540,424,1443,846,597,1704,1015,689,355,192,163
"2015",26178,15156,11022,5165,2896,2269,1684,962,722,1246,715,532,1488,865,623,733,423,311,770,443,327,573,373,200,-,-,-,6393,3764,2629,741,414,327,839,481,359,1199,716,482,922,532,390,962,546,417,1433,839,594,1691,1003,687,339,186,154
"2014",25897,15057,10840,5209,2921,2288,1693,975,718,1227,702,524,1472,857,616,732,418,314,762,445,317,556,368,188,-,-,-,6272,3733,2539,721,411,309,823,474,349,1163,696,467,901,526,374,945,535,409,1441,837,605,1660,981,679,322,176,146
"2013",25299,14745,10554,5146,2891,2254,1670,959,711,1205,682,523,1448,844,604,706,402,305,734,431,303,554,364,190,-,-,-,6017,3614,2402,706,405,301,784,455,329,1141,685,457,895,523,373,942,533,409,1403,810,594,1641,979,662,309,169,140
"2012",24955,14568,10387,5145,2896,2249,1660,948,711,1208,683,525,1429,837,592,691,399,291,724,424,300,550,355,195,-,-,-,5857,3552,2305,707,406,301,760,439,322,1095,654,441,871,505,366,943,533,411,1395,798,598,1618,976,642,303,164,139
"2011",24527,14333,10193,5150,2915,2234,1615,934,681,1170,666,504,1380,819,561,687,390,297,709,418,291,539,340,199,-,-,-,5698,3460,2239,692,397,294,759,437,322,1063,637,426,862,497,365,922,518,404,1375,788,587,1613,955,658,294,161,133
"2010",24033,14041,9992,5059,2865,2193,1599,918,682,1163,662,501,1332,795,537,680,383,297,694,411,283,523,330,193,-,-,-,5556,3386,2170,683,391,293,743,429,314,1029,610,419,839,482,358,912,512,400,1370,785,586,1564,927,637,284,156,128
"2009",23688,13840,9847,4983,2846,2137,1593,915,678,1142,660,482,1300,772,528,662,382,280,688,404,284,514,326,188,-,-,-,5409,3280,2129,695,399,295,729,419,310,1005,596,409,843,475,367,934,520,414,1354,777,577,1550,912,638,289,156,132
"2008",23775,13835,9940,5077,2899,2178,1623,926,697,1135,655,480,1281,770,512,650,372,278,685,403,282,519,326,193,-,-,-,5408,3233,2176,689,396,293,719,421,297,1013,595,419,843,478,365,927,512,416,1360,783,577,1557,910,647,289,157,132
"2007",23561,13712,9849,5084,2904,2179,1644,939,705,1144,654,491,1265,761,504,643,364,279,670,393,277,502,325,177,-,-,-,5255,3152,2103,682,395,287,701,409,293,1027,598,428,842,473,369,931,517,415,1359,780,579,1523,895,628,287,152,135
"2006",23188,13481,9707,5015,2865,2150,1642,942,700,1148,649,499,1223,739,485,623,351,272,653,383,269,482,315,168,-,-,-,5121,3082,2039,687,393,294,688,397,291,994,578,416,829,463,366,935,523,413,1365,776,588,1497,873,624,289,153,136
"2005",22831,13323,9508,4959,2846,2114,1630,935,696,1158,655,503,1190,725,465,621,352,269,638,376,262,482,312,170,-,-,-,4960,3017,1943,676,391,286,682,397,285,954,560,394,823,468,355,939,520,419,1355,761,593,1480,861,620,284,149,135
"2004",22682,13276,9406,4917,2830,2087,1628,946,681,1168,671,497,1182,713,469,610,349,262,643,383,260,482,311,170,-,-,-,4833,2941,1892,681,393,288,682,401,281,943,555,388,829,480,349,949,524,426,1363,759,604,1492,871,621,281,150,131
"2003",22222,13090,9131,4811,2808,2003,1619,950,669,1143,658,485,1172,715,457,596,346,250,638,380,258,471,310,162,-,-,-,4607,2840,1768,670,389,282,668,396,272,908,532,376,839,482,357,969,532,437,1363,760,604,1466,843,623,282,152,130
"2002",22232,12988,9243,4807,2816,1991,1710,980,730,1153,659,494,1177,712,466,607,342,265,640,369,271,471,301,170,-,-,-,4490,2749,1742,687,393,294,684,396,288,911,517,394,843,481,362,988,531,456,1379,770,609,1412,830,582,273,142,131
