"시점","성별(1)",한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명),외국인주민자녀(출생) (명)
"시점","성별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"시점","성별(1)",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2015","합계",337116,44070,29282,67850,21592,19080,29860,4471,452632,18306,40758,71082,29930,34611,57565,90361,15146,102081,16424,11701,27507,7445,3313,13806,1923,213808,6255,19075,33720,11168,16824,29045,52900,6383,27573,6527,4549,8732,3154,3365,3042,524,39769,3666,4900,7836,5727,6773,7407,9249,2119,31129,6163,2852,2423,3406,5149,1004,522,9933,2057,2304,4159,2737,1227,4393,1671,1052,80707,3688,2330,9888,1690,1758,4936,495,77605,1595,5155,9429,1993,2209,4224,7040,1471,95626,11268,7850,19300,5897,5495,7072,1007,111517,4733,9324,15938,8305,7578,12496,19501,4121,40520,4853,3194,9820,2449,2245,2717,370,46558,2905,4226,6199,4510,4729,5579,7550,1327,30447,9157,6423,11845,5090,4561,4376,729,50313,6042,7089,10908,9744,11524,11775,14476,3051
"2016","합계",335167,46168,30492,71873,23701,19687,28792,4835,472699,19364,44901,77533,31549,36630,60706,92185,17476,85878,15934,11181,25628,7538,3079,11690,1876,204280,6533,19718,34044,11045,17409,28267,50113,7460,33139,6672,4793,9873,3298,3361,3332,598,46297,3547,4841,8020,5768,6645,7473,9554,2290,37178,7346,2844,2702,3577,5467,1067,556,11879,2358,2951,5032,3342,1301,5470,1770,1123,80712,3644,2637,11881,2173,1644,5150,604,88179,1584,6453,12263,1986,2223,4959,8125,1709,98260,12572,9037,21789,7115,6136,7553,1201,122064,5342,10938,18174,9408,9052,14537,22623,4894,40775,5181,3610,11115,2703,2538,2885,455,49551,3221,4592,6843,4800,5104,6167,8375,1532,28095,8523,6149,11682,4758,4431,4252,794,49134,5884,7167,11177,9487,11332,11466,14034,3094
"2017","합계",343927,48808,31365,79170,26052,20534,26601,5290,497089,20996,48237,84752,33764,37212,63978,91072,20400,70077,14901,10219,23783,7413,2826,9218,1886,189028,6528,19087,33806,10419,16689,26283,44877,8752,32061,6841,4943,10143,3372,3346,3346,691,47161,3538,5005,8162,5817,6514,7507,9738,2468,44150,9071,3240,3268,4271,6003,1171,606,14609,3288,3388,6149,5095,1512,7398,2559,1349,92060,3961,2986,14829,2652,1805,5091,770,106827,1779,7846,15100,2135,2238,5603,9157,1911,105579,14034,9977,27147,8344,6554,7775,1337,139464,5863,12911,21535,10298,10259,17187,24741,5920,41692,5496,3872,12483,2912,2760,2950,534,53368,3451,4877,7474,5083,5392,6483,8987,1721,28324,9841,7269,12788,5448,5110,4822,937,53152,6676,8132,12628,10993,12900,13437,16320,3525
"2018","합계",374425,55506,35280,88489,29833,22858,27162,6486,558197,24149,54835,95838,39131,42520,74071,97494,25287,80567,14779,9718,25539,7515,2903,8818,2013,205140,6553,20263,35275,10863,17737,26675,43665,10040,32677,6949,5154,10875,3413,3355,3373,758,50059,3645,5279,8564,5938,6489,7810,9927,2617,50488,11370,4248,3978,5203,6470,1446,1023,19101,4248,3919,7170,7001,2132,9983,3091,1886,93067,3911,3172,17295,2829,1821,4948,821,118760,1818,8883,17012,2158,2267,5922,9305,2034,117626,18497,12988,30802,10873,8309,8577,1871,165137,7885,16491,27817,13171,13895,23681,31506,8710,42040,5671,4022,13560,3042,2877,3038,593,57082,3567,5112,7832,5227,5551,6634,9179,1888,30008,10393,7715,13671,5823,5365,5049,1108,57512,6966,8694,13424,11582,13536,14168,17274,3857
"2019","합계",390177,60502,40092,100174,33286,25147,28604,7829,594795,27008,59783,104018,43960,47778,81840,105908,28017,75322,13855,9358,25209,7312,2879,8338,2117,199634,6550,20077,34757,11096,18839,26483,43162,10063,33281,7257,5382,11545,3635,3457,3503,824,52697,3873,5601,9089,6000,6684,8007,10305,2742,54647,12475,5960,6068,6156,7009,1704,1437,21200,4406,4408,7662,8234,2197,11117,3640,2290,91166,3815,3212,18942,2944,1798,4830,832,124647,1854,9342,17827,2177,2274,6085,9413,2087,135761,23100,16180,38410,13239,10004,10229,2619,196617,10325,20355,34683,16453,17784,30148,39388,10835,42208,5998,4330,14666,3297,3059,3145,666,60403,3786,5382,8234,5595,6038,7118,9691,2112,33500,11468,8601,15452,6470,5942,5535,1319,64892,7710,9715,14805,12596,14903,15638,19076,4344
"2020","합계",366454,54914,37398,99212,30573,22928,26895,7244,583462,24654,57094,99166,42366,45236,74547,96669,26831,63526,12711,8026,22450,6392,2838,6997,2020,176517,5830,18099,31406,10475,17792,23431,37628,9149,31661,7365,5474,11771,3723,3538,3461,878,52907,3927,5670,9032,6059,6755,7987,10661,2887,46925,10547,6128,5177,5576,5807,1662,1180,19501,3876,3822,6816,8251,2209,9626,3407,2059,102828,4197,3380,22213,3223,2033,5282,918,145609,2123,10466,19604,2413,2516,6194,9889,2222,121514,20094,14390,37601,11659,8712,9493,2248,188928,8898,19037,32308,15168,15964,27309,35084,10514,43769,6422,4669,16100,3483,3228,3382,729,65976,4064,5816,8946,5945,6393,7769,10117,2320,34220,11849,8833,16084,6659,6146,5719,1409,68462,7941,10154,15318,13005,15307,16250,19659,4631
"2021","합계",347080,53334,36956,100379,30497,23263,25388,6991,571204,24582,56631,98612,41047,44159,72798,91836,25210,49668,11811,7273,19718,5498,2624,6041,1908,151037,5398,16392,28266,9464,17007,21253,33341,8476,31098,7340,5421,12216,3709,3472,3394,880,54467,3868,5672,9129,5903,6685,7924,10525,2929,51854,11317,6968,5184,6184,6866,1649,1279,22358,4131,3864,7310,8593,2795,10268,3950,2037,103128,4219,3490,24953,4010,2075,5228,983,160110,2312,11637,21702,2543,2671,6964,10349,2207,111332,18647,13804,38308,11096,8226,9076,1941,183232,8873,19066,32205,14544,15001,26389,33671,9561,44768,6700,4902,17363,3675,3420,3494,803,70768,4367,6212,9801,6272,6769,8377,10721,2468,34895,12327,9282,16972,7009,6395,5918,1541,72525,8281,10686,16079,13365,15943,17022,20517,4965
