"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"1인","2018","서울특별시",396281,9505,6224,23236,5589,8180,3092,3152,162126,13627,9454,13802,8707,8442,8937,8644,6183
"1인","2018","부산광역시",15868,129444,3321,2059,757,1510,6455,519,11231,1308,1452,2141,978,2359,6523,32045,1887
"1인","2018","대구광역시",10997,3390,87376,1453,383,1379,1961,417,8609,1125,1383,1684,591,688,26519,5103,1008
"1인","2018","인천광역시",22480,1399,1023,99322,992,1617,538,554,35308,3253,2628,5140,2024,2067,2100,1703,1345
"1인","2018","광주광역시",8780,813,430,1391,59656,1017,256,450,6993,494,704,1400,3371,22323,579,835,734
"1인","2018","대전광역시",11018,1075,1024,1790,753,54700,387,6463,9581,1093,5329,9822,2310,1027,1775,1293,493
"1인","2018","울산광역시",5570,6681,2140,760,279,586,34555,162,4266,579,751,1031,479,713,5385,4891,495
"1인","2018","세종특별자치시",2619,282,225,434,214,3315,66,6823,2252,243,1606,2253,413,286,306,245,124
"1인","2018","경기도",143218,7575,5723,34016,5082,8523,2642,3170,473910,17073,14478,22366,9702,9418,10014,8243,5850
"1인","2018","강원도",16141,1295,1078,3498,447,1383,521,415,19214,59396,2952,1971,824,760,2242,1324,619
"1인","2018","충청북도",11002,1056,1027,2377,515,5661,399,2357,13897,2716,53445,3974,1156,781,2213,1110,575
"1인","2018","충청남도",15159,1428,1083,4535,968,10960,671,3034,21762,1698,3900,67992,3423,1752,2005,1705,689
"1인","2018","전라북도",12700,1018,599,2628,4216,3348,497,812,13048,852,1662,4313,79166,3758,939,1246,743
"1인","2018","전라남도",11406,2235,719,2579,24550,1396,624,477,11319,749,1055,2341,3632,64690,1091,2456,903
"1인","2018","경상북도",13322,6357,26577,2597,537,2453,4219,559,13814,2326,2969,2714,916,1116,84464,5600,975
"1인","2018","경상남도",14516,28020,5971,2259,936,1817,4541,516,11876,1432,1747,2537,1254,2996,6295,111826,1448
"1인","2018","제주특별자치도",5791,1366,732,1135,624,465,320,156,4759,511,523,623,625,813,714,1069,27354
"1인","2019","서울특별시",403407,9440,6041,23407,5507,7922,2934,3357,164089,13724,9147,13034,8331,8648,9140,8656,5646
"1인","2019","부산광역시",16468,132571,3228,2171,737,1527,6614,524,11579,1452,1397,2150,1059,2503,6669,31777,1853
"1인","2019","대구광역시",11848,3850,89977,1539,391,1530,2073,417,9334,1169,1579,1672,606,749,28517,5388,960
"1인","2019","인천광역시",23811,1445,1009,104354,975,1664,550,608,37321,3391,2690,5083,2062,2315,2285,1774,1265
"1인","2019","광주광역시",8846,853,343,1498,63248,1059,238,446,7126,520,710,1316,3453,22510,553,828,700
"1인","2019","대전광역시",11375,1226,979,1852,801,58384,425,6629,10525,1191,5615,10021,2436,1221,1967,1356,537
"1인","2019","울산광역시",5689,6799,2021,872,228,558,38203,181,4551,632,704,1032,443,746,5118,4604,473
"1인","2019","세종특별자치시",3041,312,265,514,282,3654,104,7252,2697,301,1754,2460,500,296,413,315,135
"1인","2019","경기도",147494,7649,5574,35547,5124,8827,2718,3204,493764,18045,14221,21856,9560,9590,10526,8497,5343
"1인","2019","강원도",15908,1248,989,3292,418,1331,459,345,18888,59148,3004,1794,783,954,2286,1227,512
"1인","2019","충청북도",11272,1078,1053,2532,539,5846,465,2317,14599,2894,55449,4251,1231,852,2593,1190,544
"1인","2019","충청남도",15911,1466,1098,4696,1011,10814,640,3059,22847,1637,4077,66510,3612,2002,2039,1758,685
"1인","2019","전라북도",12749,1025,581,2667,4208,3391,502,779,12840,936,1574,4347,78678,4067,962,1338,743
"1인","2019","전라남도",11506,2342,640,2541,25342,1460,659,425,11366,818,1101,2351,3758,66990,1109,2647,823
"1인","2019","경상북도",14080,7013,26098,2700,541,2608,4667,614,13849,2429,3009,2851,924,1240,86224,5809,908
"1인","2019","경상남도",15252,30235,5752,2451,815,1904,4669,484,12198,1556,1769,2488,1339,3298,6509,114708,1387
"1인","2019","제주특별자치도",6349,1541,717,1262,615,476,365,153,4913,465,550,679,742,834,833,1149,27327
"1인","2020","서울특별시",460952,9933,6935,24960,5712,8444,3215,3371,182216,14600,9754,14416,8792,8702,9137,8890,5936
"1인","2020","부산광역시",16913,155263,3682,2160,848,1613,6994,551,12469,1562,1460,2239,1155,2549,6864,33146,1878
"1인","2020","대구광역시",12355,4031,102594,1555,433,1684,2277,484,10351,1366,1572,1859,679,798,29506,5821,946
"1인","2020","인천광역시",26613,1694,1130,115029,1096,1814,630,633,41995,3611,2889,5512,2286,2303,2401,1900,1321
"1인","2020","광주광역시",9423,892,432,1414,68026,1122,258,482,7600,574,728,1456,3990,22734,567,852,763
"1인","2020","대전광역시",12136,1322,1162,1833,841,66676,488,5891,11056,1277,6099,11006,2806,1106,1848,1397,542
"1인","2020","울산광역시",5909,7855,2457,740,235,671,40492,185,4639,686,717,1121,436,781,5713,4853,472
"1인","2020","세종특별자치시",3361,365,319,486,310,4049,133,8424,3017,307,2463,2888,600,289,427,368,138
"1인","2020","경기도",156859,8247,6081,36331,5180,8768,2777,3204,552780,18210,14363,23377,9899,9388,10455,8641,5536
"1인","2020","강원도",15905,1325,1058,3246,440,1402,469,398,19448,62191,2942,1968,815,846,2141,1349,530
"1인","2020","충청북도",12054,1204,1119,2578,562,6302,473,2508,15600,3062,66062,4814,1299,966,2561,1296,535
"1인","2020","충청남도",16968,1592,1219,4906,1061,11862,665,3513,25353,1842,4643,75975,4045,1913,2093,1891,730
"1인","2020","전라북도",12678,1062,649,2619,4333,3523,478,891,13049,885,1681,4674,87157,3732,879,1257,766
"1인","2020","전라남도",11878,2524,796,2774,25584,1467,694,465,12137,1031,1187,2510,4160,75853,1258,3023,874
"1인","2020","경상북도",15088,7567,31236,2870,584,3010,4906,699,15943,2702,3484,3236,1034,1303,97896,6316,903
"1인","2020","경상남도",15601,34227,6924,2530,969,2118,4779,553,13444,1718,1813,2751,1511,3509,6633,125298,1448
"1인","2020","제주특별자치도",6534,1766,804,1204,719,510,362,148,5461,529,588,762,715,985,778,1186,29551
"1인","2021","서울특별시",440429,10331,6620,27042,5791,8701,3296,3534,185205,14914,9957,14735,9064,8466,10002,9153,6206
"1인","2021","부산광역시",16803,155110,3609,2072,874,1702,7120,580,12647,1549,1567,2325,1101,2414,7699,32687,1869
"1인","2021","대구광역시",11951,4067,95331,1538,497,1689,2290,513,10450,1319,1703,1892,697,753,30857,5905,915
"1인","2021","인천광역시",24906,1585,1045,116677,1095,1794,635,603,40995,3670,2841,5676,2219,2240,2590,1949,1397
"1인","2021","광주광역시",8728,913,411,1514,67691,1103,202,472,7679,596,816,1449,3925,21971,658,879,708
"1인","2021","대전광역시",11249,1362,1154,1829,887,62810,486,5571,11253,1307,6117,10817,2825,1160,2187,1502,569
"1인","2021","울산광역시",5612,7388,2192,775,282,638,40076,196,4993,699,805,1171,405,671,6350,4934,422
"1인","2021","세종특별자치시",3218,386,305,500,298,3819,121,9120,3096,344,2296,3041,613,316,466,357,136
"1인","2021","경기도",152206,8524,6166,39060,5314,9221,2932,3428,567129,19539,15329,24260,10183,9317,12074,9263,5740
