"시점","행정구역별",남 (명),여 (명)
"2010","서울특별시",5111259,5201286
"2010","부산광역시",1773170,1794740
"2010","대구광역시",1255245,1256431
"2010","인천광역시",1390356,1367940
"2010","광주광역시",721780,732856
"2010","대전광역시",753648,750016
"2010","울산광역시",579071,547227
"2010","세종특별자치시",-,-
"2010","경기도",5942454,5844168
"2010","강원도",769807,760011
"2010","충청북도",781301,768227
"2010","충청남도",1049363,1026151
"2010","전라북도",931481,937482
"2010","전라남도",958624,959861
"2010","경상북도",1351202,1338718
"2010","경상남도",1656042,1634494
"2010","제주특별자치도",285582,285673
"2011","서울특별시",5073899,5175780
"2011","부산광역시",1762848,1788115
"2011","대구광역시",1251577,1255694
"2011","인천광역시",1410980,1390294
"2011","광주광역시",725606,737858
"2011","대전광역시",759188,756415
"2011","울산광역시",583825,551669
"2011","세종특별자치시",-,-
"2011","경기도",6015357,5922058
"2011","강원도",773278,763170
"2011","충청북도",787981,774922
"2011","충청남도",1063012,1038272
"2011","전라북도",934002,940029
"2011","전라남도",956747,957592
"2011","경상북도",1355727,1343468
"2011","경상남도",1664755,1644010
"2011","제주특별자치도",288152,288004
"2012","서울특별시",5041336,5153982
"2012","부산광역시",1754479,1784005
"2012","대구광역시",1249320,1256324
"2012","인천광역시",1431593,1412388
"2012","광주광역시",728406,740810
"2012","대전광역시",763671,760912
"2012","울산광역시",590424,556832
"2012","세종특별자치시",57633,55484
"2012","경기도",6091035,6002264
"2012","강원도",774273,764357
"2012","충청북도",789286,776342
"2012","충청남도",1026812,1001965
"2012","전라북도",933386,939955
"2012","전라남도",954354,955264
"2012","경상북도",1355294,1343059
"2012","경상남도",1670545,1648769
"2012","제주특별자치도",292213,291500
"2013","서울특별시",5007869,5135776
"2013","부산광역시",1747000,1780635
"2013","대구광역시",1246071,1255517
"2013","인천광역시",1448835,1430947
"2013","광주광역시",730216,742694
"2013","대전광역시",767309,765502
"2013","울산광역시",595319,561161
"2013","세종특별자치시",62205,59948
"2013","경기도",6159193,6075437
"2013","강원도",776498,765765
"2013","충청북도",792862,779870
"2013","충청남도",1037421,1010210
"2013","전라북도",932894,940071
"2013","전라남도",952597,954575
"2013","경상북도",1355951,1343489
"2013","경상남도",1678592,1655228
"2013","제주특별자치도",297504,296302
"2014","서울특별시",4979768,5123465
"2014","부산광역시",1740417,1778984
"2014","대구광역시",1241119,1252145
"2014","인천광역시",1459074,1443534
"2014","광주광역시",731339,744545
"2014","대전광역시",766497,765312
"2014","울산광역시",600904,565473
"2014","세종특별자치시",78862,77263
"2014","경기도",6219813,6138017
"2014","강원도",778007,766435
"2014","충청북도",796141,782792
"2014","충청남도",1045892,1016381
"2014","전라북도",931536,940024
"2014","전라남도",951975,953805
"2014","경상북도",1356182,1344612
"2014","경상남도",1687114,1663143
"2014","제주특별자치도",304656,302690
"2015","서울특별시",4930943,5091238
"2015","부산광역시",1735570,1778207
"2015","대구광역시",1237291,1250538
"2015","인천광역시",1469869,1455946
"2015","광주광역시",729662,742537
"2015","대전광역시",759778,758997
"2015","울산광역시",604889,568645
"2015","세종특별자치시",105752,105132
"2015","경기도",6299812,6222794
"2015","강원도",781434,768073
"2015","충청북도",798896,785056
"2015","충청남도",1054439,1023210
"2015","전라북도",930255,939456
"2015","전라남도",953881,955115
"2015","경상북도",1357306,1345520
"2015","경상남도",1694981,1669721
"2015","제주특별자치도",313428,310967
"2016","서울특별시",4876789,5053827
"2016","부산광역시",1725607,1772922
"2016","대구광역시",1234169,1250388
"2016","인천광역시",1477671,1465398
"2016","광주광역시",728137,741077
"2016","대전광역시",757289,757081
"2016","울산광역시",603797,568507
"2016","세종특별자치시",121505,121543
"2016","경기도",6395453,6321327
"2016","강원도",781146,769660
"2016","충청북도",803240,788385
"2016","충청남도",1064765,1031962
"2016","전라북도",927505,937286
"2016","전라남도",951889,952025
"2016","경상북도",1356868,1343530
"2016","경상남도",1699219,1674652
"2016","제주특별자치도",322545,319052
"2017","서울특별시",4830206,5027220
"2017","부산광역시",1709508,1761145
"2017","대구광역시",1227814,1247417
"2017","인천광역시",1479597,1468945
"2017","광주광역시",725295,738475
"2017","대전광역시",750969,751258
"2017","울산광역시",599480,565652
"2017","세종특별자치시",139734,140366
"2017","경기도",6475323,6398572
"2017","강원도",780635,769507
"2017","충청북도",805091,789341
"2017","충청남도",1076270,1040500
"2017","전라북도",922307,932300
"2017","전라남도",948290,948134
"2017","경상북도",1353164,1338542
"2017","경상남도",1701413,1678991
"2017","제주특별자치도",330823,326260
"2018","서울특별시",4773899,4991724
"2018","부산광역시",1692421,1749032
"2018","대구광역시",1219342,1242427
"2018","인천광역시",1481844,1472798
"2018","광주광역시",722581,736755
"2018","대전광역시",744338,745598
"2018","울산광역시",593819,561804
"2018","세종특별자치시",156831,157295
"2018","경기도",6577501,6499652
"2018","강원도",776456,766596
"2018","충청북도",808971,790281
"2018","충청남도",1082009,1044273
"2018","전라북도",913297,923535
"2018","전라남도",943000,939970
"2018","경상북도",1346689,1330142
"2018","경상남도",1697412,1676576
"2018","제주특별자치도",335719,331472
"2019","서울특별시",4744059,4985048
"2019","부산광역시",1675417,1738424
"2019","대구광역시",1205286,1232745
"2019","인천광역시",1482249,1474777
"2019","광주광역시",720740,735728
"2019","대전광역시",736607,738263
"2019","울산광역시",589712,558307
"2019","세종특별자치시",169845,170730
"2019","경기도",6659995,6579671
