시점,병원,상급종합병원,종합병원,시도별
2009,167,17,42,서울
2009,103,4,22,부산
2009,98,4,7,대구
2009,50,2,12,인천
2009,49,2,17,광주
2009,34,2,6,대전
2009,36,0,4,울산
2009,244,5,48,경기
2009,40,2,14,강원
2009,38,1,9,충북
2009,48,2,9,충남
2009,65,2,12,전북
2009,75,0,19,전남
2009,73,0,18,경북
2009,137,1,24,경남
2009,5,0,6,제주
2010,171,17,42,서울
2010,109,4,24,부산
2010,101,4,8,대구
2010,55,2,12,인천
2010,53,2,19,광주
2010,35,2,6,대전
2010,37,0,4,울산
2010,253,5,49,경기
2010,45,2,13,강원
2010,39,1,9,충북
2010,54,2,9,충남
2010,66,2,12,전북
2010,75,0,20,전남
2010,77,0,18,경북
2010,140,1,23,경남
2010,5,0,6,제주
2011,187,17,40,서울
2011,121,4,23,부산
2011,106,4,8,대구
2011,56,2,13,인천
2011,68,2,19,광주
2011,35,2,6,대전
2011,39,0,4,울산
2011,263,5,48,경기
2011,48,2,13,강원
2011,41,1,10,충북
2011,51,2,10,충남
2011,67,2,12,전북
2011,76,0,22,전남
2011,75,0,18,경북
2011,137,1,23,경남
2011,5,0,6,제주
2012,200,17,41,서울
2012,119,4,23,부산
2012,109,4,8,대구
2012,51,2,14,인천
2012,69,2,19,광주
2012,38,1,7,대전
2012,43,0,4,울산
2012,1,0,0,세종
2012,281,5,50,경기
2012,49,2,13,강원
2012,38,1,10,충북
2012,50,2,10,충남
2012,72,2,11,전북
2012,78,1,21,전남
2012,77,0,18,경북
2012,140,1,23,경남
2012,6,0,6,제주
2013,212,17,40,서울
2013,124,4,23,부산
2013,108,4,7,대구
2013,51,2,15,인천
2013,68,2,20,광주
2013,39,1,8,대전
2013,42,0,4,울산
2013,1,0,0,세종
2013,291,5,50,경기
2013,47,1,14,강원
2013,40,1,10,충북
2013,49,2,10,충남
2013,75,2,11,전북
2013,76,1,21,전남
2013,81,0,18,경북
2013,141,1,23,경남
2013,6,0,7,제주
2014,210,17,40,서울
2014,132,4,23,부산
2014,111,4,7,대구
2014,52,2,17,인천
2014,74,2,20,광주
2014,41,1,8,대전
2014,39,0,6,울산
2014,1,0,0,세종
2014,283,5,50,경기
2014,46,1,15,강원
2014,41,1,10,충북
2014,50,2,10,충남
2014,76,2,11,전북
2014,82,1,22,전남
2014,85,0,19,경북
2014,144,1,22,경남
2014,7,0,7,제주
