"시점","시군구별(1)",산부인과,소아청소년과
"2006.12","서울",497,541
"2006.12","부산",130,173
"2006.12","대구",109,116
"2006.12","인천",92,114
"2006.12","광주",53,79
"2006.12","대전",70,70
"2006.12","울산",38,47
"2006.12","경기",368,572
"2006.12","강원",48,49
"2006.12","충북",59,51
"2006.12","충남",64,58
"2006.12","전북",68,80
"2006.12","전남",34,36
"2006.12","경북",76,75
"2006.12","경남",85,113
"2006.12","제주",27,24
"2007.12","서울",492,523
"2007.12","부산",121,168
"2007.12","대구",102,116
"2007.12","인천",85,114
"2007.12","광주",51,67
"2007.12","대전",68,73
"2007.12","울산",38,48
"2007.12","경기",349,552
"2007.12","강원",42,50
"2007.12","충북",52,54
"2007.12","충남",63,59
"2007.12","전북",60,77
"2007.12","전남",34,37
"2007.12","경북",73,71
"2007.12","경남",81,112
"2007.12","제주",26,24
"2008.12","서울",463,514
"2008.12","부산",117,164
"2008.12","대구",102,110
"2008.12","인천",82,118
"2008.12","광주",49,64
"2008.12","대전",61,71
"2008.12","울산",37,45
"2008.12","경기",341,547
"2008.12","강원",42,49
"2008.12","충북",54,52
"2008.12","충남",59,63
"2008.12","전북",60,72
"2008.12","전남",30,34
"2008.12","경북",70,73
"2008.12","경남",77,112
"2008.12","제주",25,23
"2009.4/4","서울",459,521
"2009.4/4","부산",107,167
"2009.4/4","대구",98,112
"2009.4/4","인천",80,119
"2009.4/4","광주",49,66
"2009.4/4","대전",58,69
"2009.4/4","울산",38,46
"2009.4/4","경기",336,552
"2009.4/4","강원",38,47
"2009.4/4","충북",52,50
"2009.4/4","충남",58,62
"2009.4/4","전북",60,71
"2009.4/4","전남",30,34
"2009.4/4","경북",65,73
"2009.4/4","경남",76,110
"2009.4/4","제주",24,23
"2010.4/4","서울",445,524
"2010.4/4","부산",101,165
"2010.4/4","대구",95,115
"2010.4/4","인천",77,119
"2010.4/4","광주",47,63
"2010.4/4","대전",55,72
"2010.4/4","울산",40,47
"2010.4/4","경기",324,582
"2010.4/4","강원",38,45
"2010.4/4","충북",49,50
"2010.4/4","충남",56,65
"2010.4/4","전북",57,70
"2010.4/4","전남",27,32
"2010.4/4","경북",62,74
"2010.4/4","경남",72,109
