"시점","시도별(1)",계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국
"2003.12","계",67960,42,241,871,-,23559,103,11556,70,152,8699,17,231,1270,1887,19262
"2003.12","서울",17479,20,43,122,-,6005,36,3632,5,34,2413,0,25,0,0,5144
"2003.12","부산",5298,4,23,75,-,2000,7,925,25,8,769,0,16,8,6,1432
"2003.12","대구",3777,3,9,59,-,1289,9,647,3,13,595,0,8,8,9,1125
"2003.12","인천",3055,2,12,34,-,1149,3,530,0,9,371,0,10,21,25,889
"2003.12","광주",2017,2,10,38,-,736,4,388,5,6,207,0,5,0,11,605
"2003.12","대전",2237,2,6,29,-,879,4,352,2,3,319,0,5,6,8,622
"2003.12","울산",1265,0,4,27,-,463,2,230,0,4,177,0,5,12,11,330
"2003.12","경기",12560,1,42,158,-,4517,22,2249,9,19,1502,1,38,123,163,3716
"2003.12","강원",1977,2,14,32,-,620,1,268,4,4,223,2,18,92,131,566
"2003.12","충북",2060,1,8,22,-,722,1,228,3,3,236,0,13,93,162,568
"2003.12","충남",2601,2,8,36,-,844,4,308,1,7,295,2,14,158,233,689
"2003.12","전북",2911,2,7,44,-,962,1,392,0,8,334,4,10,145,238,764
"2003.12","전남",2690,0,17,53,-,810,1,309,5,8,214,4,18,208,328,715
"2003.12","경북",3456,0,15,50,-,1028,5,429,0,18,442,3,22,217,309,918
"2003.12","경남",3828,1,17,90,-,1265,3,552,7,7,517,1,20,167,207,974
"2003.12","제주",749,0,6,2,-,270,0,117,1,1,85,0,4,12,46,205
"2004.12","계",70394,42,241,970,-,24301,108,12083,63,156,9176,17,232,1272,1895,19838
"2004.12","서울",18004,20,42,126,-,6122,42,3778,5,34,2546,0,25,0,0,5264
"2004.12","부산",5382,4,22,81,-,2021,6,943,21,9,789,0,16,8,6,1456
"2004.12","대구",3857,3,9,68,-,1319,8,662,3,12,618,0,8,8,9,1130
"2004.12","인천",3177,2,11,34,-,1200,3,552,0,11,381,0,10,21,25,927
"2004.12","광주",2080,2,11,42,-,770,4,399,4,6,222,0,5,0,10,605
