"시점","시도별(1)",계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국
"2009.4/4","계",80270,44,269,1262,777,-,27027,183,14242,49,158,11782,17,239,1292,1914,21015
"2009.4/4","서울",20560,17,42,167,65,-,7142,69,4395,6,29,3313,0,25,1,0,5289
"2009.4/4","부산",5864,4,22,103,97,-,2065,9,1025,13,7,958,0,16,10,5,1530
"2009.4/4","대구",4273,4,7,98,38,-,1460,17,709,1,8,734,0,8,9,9,1171
"2009.4/4","인천",3643,2,12,50,35,-,1313,3,676,1,12,502,0,10,23,24,980
"2009.4/4","광주",2370,2,17,49,17,-,826,6,475,4,16,299,0,5,0,10,644
"2009.4/4","대전",2594,2,6,34,34,-,964,6,437,1,5,416,0,5,8,8,668
"2009.4/4","울산",1547,0,4,36,28,-,516,4,310,0,2,255,0,5,10,11,366
"2009.4/4","경기",15904,5,48,244,139,-,5470,35,3102,9,35,2257,1,44,127,163,4225
"2009.4/4","강원",2226,2,14,40,18,-,660,2,307,4,2,305,2,18,95,131,626
"2009.4/4","충북",2336,1,9,38,25,-,764,1,295,3,3,311,0,13,94,161,618
"2009.4/4","충남",3191,2,9,48,45,-,993,8,421,0,6,413,2,14,158,240,832
"2009.4/4","전북",3296,2,12,65,59,-,1042,3,427,0,11,406,4,10,148,245,862
"2009.4/4","전남",3050,0,19,75,37,-,888,5,349,4,9,299,4,18,210,330,803
"2009.4/4","경북",3993,0,18,73,73,-,1169,7,490,0,10,547,3,22,219,313,1049
"2009.4/4","경남",4558,1,24,137,61,-,1457,8,682,2,2,648,1,20,170,218,1127
"2009.4/4","제주",865,0,6,5,6,-,298,0,142,1,1,119,0,6,10,46,225
"2010.4/4","계",81681,44,274,1315,867,-,27469,191,14681,46,168,12061,17,240,1296,1916,21096
"2010.4/4","서울",20887,17,42,171,76,-,7328,72,4522,7,33,3349,0,25,2,0,5243
"2010.4/4","부산",5943,4,24,109,113,-,2071,9,1057,10,7,972,0,16,11,5,1535
"2010.4/4","대구",4373,4,8,101,40,-,1496,16,734,1,8,744,0,8,9,9,1195
"2010.4/4","인천",3672,2,12,55,37,-,1321,3,693,1,11,509,0,10,23,24,971
"2010.4/4","광주",2430,2,19,53,19,-,839,6,492,4,26,303,0,5,0,10,652
"2010.4/4","대전",2622,2,6,35,37,-,957,5,447,1,5,438,0,5,8,8,668
"2010.4/4","울산",1588,0,4,37,30,-,532,4,319,0,3,267,0,5,8,11,368
"2010.4/4","경기",16331,5,49,253,166,-,5598,38,3211,9,34,2343,1,45,127,164,4288
"2010.4/4","강원",2248,2,13,45,20,-,667,2,313,4,2,309,2,18,96,131,624
"2010.4/4","충북",2372,1,9,39,29,-,769,1,309,3,3,317,0,13,94,161,624
"2010.4/4","충남",3260,2,9,54,47,-,1021,9,429,0,6,429,2,14,158,241,839
"2010.4/4","전북",3362,2,12,66,60,-,1051,4,440,0,13,428,4,10,148,245,879
"2010.4/4","전남",3079,0,20,75,42,-,889,5,367,4,6,306,4,18,212,330,801
"2010.4/4","경북",4026,0,18,77,77,-,1169,6,506,0,8,559,3,22,219,313,1049
"2010.4/4","경남",4611,1,23,140,68,-,1457,11,699,1,2,661,1,20,171,218,1138
"2010.4/4","제주",877,0,6,5,6,-,304,0,143,1,1,127,0,6,10,46,222
"2011.4/4","계",82948,44,275,1375,988,-,27837,199,15058,40,184,12401,17,240,1294,1917,21079
"2011.4/4","서울",20938,17,40,187,83,-,7388,73,4559,4,32,3407,0,25,2,0,5121
"2011.4/4","부산",6048,4,23,121,137,-,2091,10,1085,10,8,996,0,16,11,5,1531
"2011.4/4","대구",4463,4,8,106,38,-,1531,16,744,1,7,773,0,8,9,9,1209
"2011.4/4","인천",3757,2,13,56,39,-,1354,3,714,1,11,530,0,10,24,24,976
