"시점","시도별",데이터
"2000","전국",8694
"2000","서울특별시",9978
"2000","부산광역시",8296
"2000","대구광역시",8274
"2000","인천광역시",7651
"2000","광주광역시",7969
"2000","대전광역시",8230
"2000","울산광역시",10271
"2000","경기도",9142
"2000","강원도",7442
"2000","충청북도",7694
"2000","충청남도",8035
"2000","전라북도",7684
"2000","전라남도",7714
"2000","경상북도",8116
"2000","경상남도",8217
"2000","제주특별자치도",8259
"2001","전국",9120
"2001","서울특별시",10511
"2001","부산광역시",8584
"2001","대구광역시",8622
"2001","인천광역시",7997
"2001","광주광역시",8540
"2001","대전광역시",8658
"2001","울산광역시",11012
"2001","경기도",9422
"2001","강원도",7850
"2001","충청북도",8192
"2001","충청남도",8349
"2001","전라북도",8189
"2001","전라남도",8142
"2001","경상북도",8611
"2001","경상남도",8743
"2001","제주특별자치도",8729
"2002","전국",9820
"2002","서울특별시",11463
"2002","부산광역시",9330
"2002","대구광역시",9246
"2002","인천광역시",8700
"2002","광주광역시",9011
"2002","대전광역시",9288
"2002","울산광역시",11896
"2002","경기도",10122
"2002","강원도",8491
"2002","충청북도",8658
"2002","충청남도",8929
"2002","전라북도",8517
"2002","전라남도",8716
"2002","경상북도",9207
"2002","경상남도",9291
"2002","제주특별자치도",9314
"2003","전국",10389
"2003","서울특별시",12285
"2003","부산광역시",9685
"2003","대구광역시",9494
"2003","인천광역시",9280
"2003","광주광역시",9610
"2003","대전광역시",10072
"2003","울산광역시",12603
"2003","경기도",10608
"2003","강원도",8960
"2003","충청북도",9030
"2003","충청남도",9454
"2003","전라북도",9242
"2003","전라남도",9219
"2003","경상북도",9593
"2003","경상남도",9912
"2003","제주특별자치도",9679
"2004","전국",11063
"2004","서울특별시",13044
"2004","부산광역시",10164
"2004","대구광역시",10052
"2004","인천광역시",9937
"2004","광주광역시",10103
"2004","대전광역시",10563
"2004","울산광역시",13422
"2004","경기도",11299
"2004","강원도",9589
"2004","충청북도",9758
"2004","충청남도",10075
"2004","전라북도",9844
"2004","전라남도",10036
"2004","경상북도",10315
"2004","경상남도",10636
