"시점","시도별",데이터
"2000","전국",13860
"2000","서울특별시",17194
"2000","부산광역시",10933
"2000","대구광역시",10684
"2000","인천광역시",10633
"2000","광주광역시",10770
"2000","대전광역시",12425
"2000","울산광역시",25603
"2000","경기도",14940
"2000","강원도",10791
"2000","충청북도",11766
"2000","충청남도",13203
"2000","전라북도",10609
"2000","전라남도",13171
"2000","경상북도",13527
"2000","경상남도",12784
"2000","제주특별자치도",11154
"2001","전국",14908
"2001","서울특별시",19492
"2001","부산광역시",11932
"2001","대구광역시",11473
"2001","인천광역시",11530
"2001","광주광역시",11685
"2001","대전광역시",13329
"2001","울산광역시",26782
"2001","경기도",14948
"2001","강원도",11725
"2001","충청북도",13063
"2001","충청남도",14139
"2001","전라북도",11439
"2001","전라남도",14088
"2001","경상북도",14067
"2001","경상남도",13991
"2001","제주특별자치도",12163
"2002","전국",16444
"2002","서울특별시",21804
"2002","부산광역시",13090
"2002","대구광역시",12483
"2002","인천광역시",13481
"2002","광주광역시",12501
"2002","대전광역시",14491
"2002","울산광역시",29386
"2002","경기도",16720
"2002","강원도",12592
"2002","충청북도",13487
"2002","충청남도",15557
"2002","전라북도",11951
"2002","전라남도",15473
"2002","경상북도",15272
"2002","경상남도",14997
"2002","제주특별자치도",12969
"2003","전국",17548
"2003","서울특별시",23579
"2003","부산광역시",13755
"2003","대구광역시",12851
"2003","인천광역시",14614
"2003","광주광역시",13047
"2003","대전광역시",15826
"2003","울산광역시",29152
"2003","경기도",17493
"2003","강원도",13433
"2003","충청북도",14361
"2003","충청남도",17564
"2003","전라북도",12760
"2003","전라남도",16577
"2003","경상북도",17019
"2003","경상남도",15989
"2003","제주특별자치도",13580
"2004","전국",18995
"2004","서울특별시",25090
"2004","부산광역시",14293
"2004","대구광역시",13926
"2004","인천광역시",15795
"2004","광주광역시",13592
"2004","대전광역시",16696
"2004","울산광역시",32370
"2004","경기도",19172
"2004","강원도",14058
"2004","충청북도",16103
"2004","충청남도",19695
"2004","전라북도",13523
"2004","전라남도",18415
"2004","경상북도",19585
"2004","경상남도",17087
"2004","제주특별자치도",14859
"2005","전국",19762
"2005","서울특별시",26279
"2005","부산광역시",15263
"2005","대구광역시",14362
"2005","인천광역시",16779
"2005","광주광역시",14815
"2005","대전광역시",16138
"2005","울산광역시",32789
"2005","경기도",19343
"2005","강원도",15049
"2005","충청북도",16231
"2005","충청남도",20372
"2005","전라북도",14401
"2005","전라남도",19110
"2005","경상북도",21513
"2005","경상남도",18193
"2005","제주특별자치도",14762
"2006","전국",20817
"2006","서울특별시",27315
"2006","부산광역시",16272
"2006","대구광역시",15228
"2006","인천광역시",18100
"2006","광주광역시",15846
"2006","대전광역시",17010
"2006","울산광역시",34625
"2006","경기도",20593
"2006","강원도",16156
"2006","충청북도",17396
"2006","충청남도",21450
"2006","전라북도",15344
"2006","전라남도",20080
"2006","경상북도",21536
"2006","경상남도",19258
"2006","제주특별자치도",15659
"2007","전국",22399
"2007","서울특별시",30371
"2007","부산광역시",17592
"2007","대구광역시",15885
"2007","인천광역시",19729
"2007","광주광역시",17373
"2007","대전광역시",17867
"2007","울산광역시",38917
"2007","경기도",21415
"2007","강원도",17280
"2007","충청북도",18391
"2007","충청남도",22905
"2007","전라북도",16168
"2007","전라남도",21970
"2007","경상북도",22157
"2007","경상남도",20968
"2007","제주특별자치도",16350
"2008","전국",23643
"2008","서울특별시",31939
"2008","부산광역시",18716
"2008","대구광역시",16826
"2008","인천광역시",20358
"2008","광주광역시",17884
"2008","대전광역시",18467
"2008","울산광역시",41758
"2008","경기도",22099
"2008","강원도",17844
"2008","충청북도",19290
"2008","충청남도",24028
"2008","전라북도",17346
"2008","전라남도",22745
"2008","경상북도",25656
"2008","경상남도",23121
"2008","제주특별자치도",17358
"2009","전국",24455
"2009","서울특별시",32874
"2009","부산광역시",18996
"2009","대구광역시",17368
"2009","인천광역시",20897
"2009","광주광역시",18511
"2009","대전광역시",19901
"2009","울산광역시",41432
"2009","경기도",22937
"2009","강원도",18906
"2009","충청북도",20826
"2009","충청남도",26683
"2009","전라북도",18578
"2009","전라남도",24109
"2009","경상북도",25287
"2009","경상남도",23429
"2009","제주특별자치도",18437
"2010","전국",26828
"2010","서울특별시",36359
"2010","부산광역시",19724
"2010","대구광역시",18499
"2010","인천광역시",22945
"2010","광주광역시",19602
"2010","대전광역시",20855
"2010","울산광역시",48489
"2010","경기도",26528
"2010","강원도",19315
"2010","충청북도",22351
"2010","충청남도",28765
"2010","전라북도",19226
"2010","전라남도",26168
"2010","경상북도",26953
"2010","경상남도",24250
"2010","제주특별자치도",19613
"2011","전국",28074
"2011","서울특별시",38574
"2011","부산광역시",21394
"2011","대구광역시",19985
"2011","인천광역시",23937
"2011","광주광역시",20544
"2011","대전광역시",22288
"2011","울산광역시",49677
"2011","경기도",26697
"2011","강원도",20213
"2011","충청북도",23504
"2011","충청남도",30628
"2011","전라북도",20200
