"경제활동별(1)","시점","시도별(1)",실질
"지역내총생산(시장가격)","1985","서울특별시",77310769
"지역내총생산(시장가격)","1985","부산광역시",21773910
"지역내총생산(시장가격)","1985","대구광역시",13889560
"지역내총생산(시장가격)","1985","인천광역시",13731212
"지역내총생산(시장가격)","1985","경기도",35376012
"지역내총생산(시장가격)","1985","강원도",13811635
"지역내총생산(시장가격)","1985","충청북도",9306817
"지역내총생산(시장가격)","1985","충청남도",18357268
"지역내총생산(시장가격)","1985","전라북도",12210367
"지역내총생산(시장가격)","1985","전라남도",22969944
"지역내총생산(시장가격)","1985","경상북도",16624884
"지역내총생산(시장가격)","1985","경상남도",24375901
"지역내총생산(시장가격)","1985","제주특별자치도",3135822
"지역내총생산(시장가격)","1986","서울특별시",85661549
"지역내총생산(시장가격)","1986","부산광역시",23751051
"지역내총생산(시장가격)","1986","대구광역시",15391591
"지역내총생산(시장가격)","1986","인천광역시",15072642
"지역내총생산(시장가격)","1986","경기도",41139886
"지역내총생산(시장가격)","1986","강원도",14954820
"지역내총생산(시장가격)","1986","충청북도",9498358
"지역내총생산(시장가격)","1986","충청남도",20401171
"지역내총생산(시장가격)","1986","전라북도",13208204
"지역내총생산(시장가격)","1986","전라남도",24558114
"지역내총생산(시장가격)","1986","경상북도",19196053
"지역내총생산(시장가격)","1986","경상남도",26803117
"지역내총생산(시장가격)","1986","제주특별자치도",3246888
"지역내총생산(시장가격)","1987","서울특별시",97480930
"지역내총생산(시장가격)","1987","부산광역시",26214172
"지역내총생산(시장가격)","1987","대구광역시",17380068
"지역내총생산(시장가격)","1987","인천광역시",17114977
"지역내총생산(시장가격)","1987","광주광역시",7421376
"지역내총생산(시장가격)","1987","경기도",48500639
"지역내총생산(시장가격)","1987","강원도",16025537
"지역내총생산(시장가격)","1987","충청북도",10025030
"지역내총생산(시장가격)","1987","충청남도",21765224
"지역내총생산(시장가격)","1987","전라북도",13745742
"지역내총생산(시장가격)","1987","전라남도",20682782
"지역내총생산(시장가격)","1987","경상북도",21448162
"지역내총생산(시장가격)","1987","경상남도",29672028
"지역내총생산(시장가격)","1987","제주특별자치도",3665368
"지역내총생산(시장가격)","1988","서울특별시",107819304
"지역내총생산(시장가격)","1988","부산광역시",28703583
"지역내총생산(시장가격)","1988","대구광역시",18711134
"지역내총생산(시장가격)","1988","인천광역시",19699166
"지역내총생산(시장가격)","1988","광주광역시",8961220
"지역내총생산(시장가격)","1988","경기도",55559190
"지역내총생산(시장가격)","1988","강원도",16714920
"지역내총생산(시장가격)","1988","충청북도",11167116
"지역내총생산(시장가격)","1988","충청남도",24439952
"지역내총생산(시장가격)","1988","전라북도",15630632
"지역내총생산(시장가격)","1988","전라남도",23476717
"지역내총생산(시장가격)","1988","경상북도",24585565
"지역내총생산(시장가격)","1988","경상남도",33557592
"지역내총생산(시장가격)","1988","제주특별자치도",4011296
"지역내총생산(시장가격)","1989","서울특별시",116050168
"지역내총생산(시장가격)","1989","부산광역시",29096468
"지역내총생산(시장가격)","1989","대구광역시",19496616
"지역내총생산(시장가격)","1989","인천광역시",21144940
"지역내총생산(시장가격)","1989","광주광역시",9605593
"지역내총생산(시장가격)","1989","대전광역시",11575493
"지역내총생산(시장가격)","1989","경기도",61089225
"지역내총생산(시장가격)","1989","강원도",17524914
"지역내총생산(시장가격)","1989","충청북도",12347515
"지역내총생산(시장가격)","1989","충청남도",17899810
"지역내총생산(시장가격)","1989","전라북도",15630946
"지역내총생산(시장가격)","1989","전라남도",24028343
"지역내총생산(시장가격)","1989","경상북도",24720005
"지역내총생산(시장가격)","1989","경상남도",35595998
"지역내총생산(시장가격)","1989","제주특별자치도",4888045
"지역내총생산(시장가격)","1990","서울특별시",128022269
