,년도,시도,총 인구,남성 인구,여성 인구,1인당개인소득,1인당지역총소득,GRDP,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
0,2013,서울특별시,10143645,5007869,5135776,19525,39570,354319250,,,2826.0,,,,462443.1,532689.2,12980600
1,2013,부산광역시,3527635,1747000,1780635,15651,23500,77000292,,,7178.0,2061.0,,,77411.6,59554.5,3401445
2,2013,대구광역시,2501588,1246071,1255517,15320,21992,49036361,,,17717.0,,,,46578.5,37541.7,2148115
3,2013,인천광역시,2879782,1448835,1430947,14829,25483,75073082,,,12983.0,2423.0,,,62378.3,31197.4,2855673
4,2013,광주광역시,1472910,730216,742694,15454,22992,32859385,,,11816.0,,,,23082.8,18041.6,1220622
5,2013,대전광역시,1532811,767309,765502,16253,23858,35375467,,,9518.0,,,,23859.8,23975.3,1258482
6,2013,울산광역시,1156480,595319,561161,19782,48678,72322408,,,11997.0,947.0,,,19560.1,14588.0,1413522
7,2013,세종특별자치시,122153,62205,59948,17607,38657,6883305,,,,,,,2429.1,144173.5,216598
8,2013,경기도,12234630,6159193,6075437,16399,30631,346430719,,,133012.0,853.0,,,248468.3,13718.5,13301235
9,2013,강원도,1542263,776498,765765,14394,21884,38211948,,,71203.0,2666.0,,,13259.9,14145.8,1330566
10,2013,충청북도,1572732,792862,779870,14707,26094,49519653,,,78717.0,,,,17211.7,18654.6,1431512
11,2013,충청남도,2047631,1037421,1010210,14892,32911,97403497,,,144033.0,9385.0,,,26445.4,17957.6,2226001
12,2013,전라북도,1872965,932894,940071,14628,21691,45637671,,,105880.0,2386.0,,,22597.6,15924.7,1457454
13,2013,전라남도,1907172,952597,954575,14575,27940,68435908,,,164834.0,21747.0,,,15968.2,24216.2,1599464
14,2013,경상북도,2699440,1355951,1343489,15052,29128,98842637,,,195108.0,3760.0,,,28452.3,35242.6,2563701
15,2013,경상남도,3333820,1678592,1655228,15646,26455,104475348,,,136708.0,9346.0,,,57288.6,6703.3,3605279
16,2013,제주특별자치도,593806,297504,296302,14829,24020,14763437,,,38502.0,4752.0,,,7325.0,1360.9,768612
17,2014,서울특별시,10103233,4979768,5123465,19832,40577,359661759,,,2751.0,,,,494441.9,565416.1,14502519
18,2014,부산광역시,3519401,1740417,1778984,16147,24980,80258570,,,7070.0,1972.0,,,84345.8,67846.8,3973205
19,2014,대구광역시,2493264,1241119,1252145,16031,23391,50329551,,,17290.0,,,,53214.0,42203.2,2591818
20,2014,인천광역시,2902608,1459074,1443534,15507,26978,78694187,,,12928.0,2410.0,,,66365.0,32603.1,3220968
21,2014,광주광역시,1475884,731339,744545,16225,24674,34169569,,,11869.0,,,,24782.2,19139.3,1428496
22,2014,대전광역시,1531809,766497,765312,16946,25308,36081650,,,9357.0,,,,25804.7,25692.5,1549395
23,2014,울산광역시,1166377,600904,565473,20142,46025,72408971,,,11559.0,940.0,,,21981.2,14873.6,1611003
24,2014,세종특별자치시,156125,78862,77263,22944,49688,8635120,,,6072.0,,,,3535.0,153813.3,386816
25,2014,경기도,12357830,6219813,6138017,16969,30892,362159526,,,129904.0,850.0,,,268494.6,14808.7,15216198
26,2014,강원도,1544442,778007,766435,15152,23251,40077987,,,69887.0,2562.0,,,14184.7,15124.3,1473843
27,2014,충청북도,1578933,796141,782792,15558,27125,51596699,,,76436.0,,,,19076.8,19741.1,1684169
28,2014,충청남도,2062273,1045892,1016381,15509,32836,100199403,,,135335.0,9229.0,,,29451.1,18907.1,2624962
29,2014,전라북도,1871560,931536,940024,15548,22951,46567890,,,104036.0,2308.0,,,24625.9,17303.3,1641746
30,2014,전라남도,1905780,951975,953805,15039,28657,68405097,,,160142.0,21246.0,,,17164.0,25822.9,1751096
31,2014,경상북도,2700794,1356182,1344612,15738,30917,105901155,,,192583.0,3636.0,,,31642.7,37942.2,2963881
32,2014,경상남도,3350257,1687114,1663143,16272,28703,104843574,,,135112.0,9050.0,,,62681.3,7638.4,4195428
33,2014,제주특별자치도,607346,304656,302690,15329,25400,15785920,,,38444.0,4589.0,,,8312.3,1667.4,909470
34,2015,서울특별시,10022181,4930943,5091238,20857,41857,370167867,,,3911.0,,12474501.0,19456777.0,525529.1,600391.1,17038835
35,2015,부산광역시,3513777,1735570,1778207,17044,25773,82701497,,,8068.0,2203.0,2840121.0,5282920.0,92109.5,73156.4,4784818
