"시점","시도별",데이터
"2015","서울특별시",12474501
"2015","부산광역시",2840121
"2015","대구광역시",2007368
"2015","인천광역시",897004
"2015","광주광역시",897944
"2015","대전광역시",1082087
"2015","울산광역시",927968
"2015","경기도",5364602
"2015","경상남도",917963
"2015","제주도",0
"2016","서울특별시",12836869
"2016","부산광역시",2849223
"2016","대구광역시",1973796
"2016","인천광역시",844921
"2016","광주광역시",902751
"2016","대전광역시",1103478
"2016","울산광역시",876923
"2016","세종특별자치시",0
"2016","경기도",5962062
"2016","경상남도",940447
"2016","제주도",0
"2017","서울특별시",12200212
"2017","부산광역시",2820449
"2017","대구광역시",2198020
"2017","인천광역시",809522
"2017","광주광역시",889279
"2017","대전광역시",1108465
"2017","울산광역시",832284
"2017","세종특별자치시",0
"2017","경기도",5912434
"2017","경상남도",938153
"2017","제주도",0
"2018","서울특별시",12646197
"2018","부산광역시",2933155
"2018","대구광역시",2239553
"2018","인천광역시",774552
"2018","광주광역시",906047
"2018","대전광역시",1110360
"2018","울산광역시",797891
"2018","세종특별자치시",0
"2018","경기도",6056987
"2018","경상남도",902984
"2018","제주도",0
"2019","서울특별시",13046293
"2019","부산광역시",3090218
"2019","대구광역시",2307724
"2019","광주광역시",883421
"2019","대전광역시",1128107
"2019","울산광역시",779733
"2019","세종특별자치시",0
"2019","경기도",6088898
"2019","경상남도",910370
"2019","제주도",0
"2020","서울특별시",11969440
"2020","부산광역시",2885218
"2020","대구광역시",2039066
"2020","광주광역시",839159
"2020","대전광역시",996096
"2020","울산광역시",689253
"2020","세종특별자치시",0
"2020","경기도",5351854
"2020","경상남도",748723
"2020","제주도",0
"2021","서울특별시",14932635
"2021","부산광역시",3471702
"2021","대구광역시",2459525
"2021","광주광역시",1002968
"2021","대전광역시",1387741
"2021","울산광역시",766994
"2021","세종특별자치시",0
"2021","경기도",6574133
"2021","경상남도",838942
"2021","제주도",0
"2022 p)","서울특별시",16577899
"2022 p)","부산광역시",4002990
"2022 p)","대구광역시",2625615
"2022 p)","광주광역시",1098620
"2022 p)","대전광역시",1903531
"2022 p)","울산광역시",765342
"2022 p)","세종특별자치시",0
"2022 p)","경기도",7352841
"2022 p)","경상남도",957990
"2022 p)","제주도",0
