"시점","시도별",데이터
"2010","전국",65775
"2010","부산광역시",2469
"2010","인천광역시",2678
"2010","울산광역시",1021
"2010","경기도",844
"2010","강원도",3039
"2010","충청남도",11021
"2010","전라북도",2633
"2010","전라남도",21809
"2010","경상북도",4069
"2010","경상남도",10768
"2010","제주특별자치도",5393
"2011","전국",63251
"2011","부산광역시",2393
"2011","인천광역시",2663
"2011","울산광역시",966
"2011","경기도",862
"2011","강원도",2757
"2011","충청남도",10169
"2011","전라북도",2354
"2011","전라남도",21804
"2011","경상북도",4113
"2011","경상남도",10055
"2011","제주특별자치도",5116
"2012","전국",61493
"2012","부산광역시",2197
"2012","인천광역시",2575
"2012","울산광역시",922
"2012","경기도",861
"2012","강원도",2731
"2012","충청남도",9538
"2012","전라북도",2406
"2012","전라남도",21578
"2012","경상북도",3887
"2012","경상남도",9753
"2012","제주특별자치도",5046
"2013","전국",60325
"2013","부산광역시",2061
"2013","인천광역시",2423
"2013","울산광역시",947
"2013","경기도",853
"2013","강원도",2666
"2013","충청남도",9385
"2013","전라북도",2386
"2013","전라남도",21747
"2013","경상북도",3760
"2013","경상남도",9346
"2013","제주특별자치도",4752
"2014","전국",58791
"2014","부산광역시",1972
"2014","인천광역시",2410
"2014","울산광역시",940
"2014","경기도",850
"2014","강원도",2562
"2014","충청남도",9229
"2014","전라북도",2308
"2014","전라남도",21246
"2014","경상북도",3636
"2014","경상남도",9050
"2014","제주특별자치도",4589
"2015","전국",54793
"2015","부산광역시",2203
"2015","인천광역시",2172
"2015","울산광역시",905
"2015","경기도",762
"2015","강원도",2292
"2015","충청남도",8162
"2015","전라북도",2908
"2015","전라남도",18819
"2015","경상북도",3017
"2015","경상남도",9417
"2015","제주특별자치도",4116
"2016","전국",53221
"2016","부산광역시",2031
"2016","인천광역시",2097
"2016","울산광역시",832
"2016","경기도",696
"2016","강원도",2259
"2016","충청남도",8550
"2016","전라북도",2776
"2016","전라남도",18601
"2016","경상북도",2818
"2016","경상남도",8479
"2016","제주특별자치도",4082
"2017","전국",52808
"2017","부산광역시",1929
"2017","인천광역시",2052
"2017","울산광역시",791
"2017","경기도",685
"2017","강원도",2082
"2017","충청남도",8598
"2017","전라북도",2884
"2017","전라남도",18871
"2017","경상북도",2798
"2017","경상남도",8152
"2017","제주특별자치도",3966
"2018","전국",51494
"2018","부산광역시",1858
"2018","인천광역시",1965
"2018","울산광역시",739
"2018","경기도",643
"2018","강원도",2004
"2018","충청남도",8473
"2018","전라북도",2924
"2018","전라남도",18506
"2018","경상북도",2639
"2018","경상남도",7730
"2018","제주특별자치도",4013
"2019","전국",50909
"2019","부산광역시",1810
"2019","인천광역시",1879
"2019","울산광역시",726
"2019","경기도",581
"2019","강원도",1870
"2019","충청남도",8136
"2019","전라북도",2951
"2019","전라남도",18680
"2019","경상북도",2568
"2019","경상남도",7662
"2019","제주특별자치도",4046
"2020","전국",43149
"2020","부산광역시",1816
"2020","인천광역시",1575
"2020","울산광역시",630
"2020","경기도",561
"2020","강원도",1698
"2020","충청남도",6480
"2020","전라북도",2243
"2020","전라남도",15574
"2020","경상북도",2210
"2020","경상남도",7311
"2020","제주특별자치도",3001
"2021","전국",43327
"2021","부산광역시",1546
"2021","인천광역시",1657
"2021","울산광역시",568
"2021","경기도",582
"2021","강원도",1682
"2021","충청남도",6509
"2021","전라북도",2391
"2021","전라남도",15912
"2021","경상북도",2116
"2021","경상남도",7419
"2021","제주특별자치도",2944
