"시점","행정구역별",데이터
"1995","전국",154136.1
"1995","서울특별시",76028.6
"1995","부산광역시",11883.6
"1995","대구광역시",7821.2
"1995","인천광역시",6036.2
"1995","광주광역시",3362.2
"1995","대전광역시",3388.3
"1995","세종특별자치시",17738.6
"1995","경기도",2720.2
"1995","강원도",2306.1
"1995","충청북도",2641.5
"1995","충청남도",3375
"1995","전라북도",2541.1
"1995","전라남도",4675.1
"1995","경상북도",8519.3
"1995","경상남도",1099.3
"1996","전국",181720.8
"1996","서울특별시",89487.3
"1996","부산광역시",13764
"1996","대구광역시",9296.3
"1996","인천광역시",6875.3
"1996","광주광역시",4133.8
"1996","대전광역시",3899.4
"1996","세종특별자치시",22149.2
"1996","경기도",3118.2
"1996","강원도",2713.4
"1996","충청북도",3175.7
"1996","충청남도",3719.7
"1996","전라북도",3057.7
"1996","전라남도",5328.9
"1996","경상북도",9754.1
"1996","경상남도",1247.8
"1997","전국",198197.4
"1997","서울특별시",96831.7
"1997","부산광역시",15166.7
"1997","대구광역시",9751
"1997","인천광역시",7617.7
"1997","광주광역시",4177
"1997","대전광역시",4348.3
"1997","울산광역시",2532.3
"1997","세종특별자치시",25413.1
"1997","경기도",3388.7
"1997","강원도",3064.6
"1997","충청북도",3535.3
"1997","충청남도",4222
"1997","전라북도",3249.9
"1997","전라남도",5708.4
"1997","경상북도",7758.3
"1997","경상남도",1432.4
"1998","전국",251794.5
"1998","서울특별시",126275.2
"1998","부산광역시",18476.7
"1998","대구광역시",11572.8
"1998","인천광역시",9213.6
"1998","광주광역시",6229
"1998","대전광역시",6332
"1998","울산광역시",3077.1
"1998","세종특별자치시",30984.4
"1998","경기도",4155
"1998","강원도",3906.1
"1998","충청북도",4058.8
"1998","충청남도",5322.1
"1998","전라북도",4117.5
"1998","전라남도",6893.8
"1998","경상북도",9278.8
"1998","경상남도",1901.6
"1999","전국",323411.1
"1999","서울특별시",169419.7
"1999","부산광역시",22866.3
"1999","대구광역시",14412.8
"1999","인천광역시",10880.1
"1999","광주광역시",7681.6
"1999","대전광역시",7865.1
"1999","울산광역시",3705.7
"1999","세종특별자치시",39455.5
"1999","경기도",5057
"1999","강원도",4547.5
"1999","충청북도",4984.7
"1999","충청남도",6346.9
"1999","전라북도",4592.7
"1999","전라남도",8004.4
"1999","경상북도",11330.8
"1999","경상남도",2260.3
"2000","전국",404660.9
"2000","서울특별시",209820.4
"2000","부산광역시",28232.9
"2000","대구광역시",18227.5
"2000","인천광역시",13987.3
"2000","광주광역시",9343.7
"2000","대전광역시",10062.5
"2000","울산광역시",4536.1
"2000","세종특별자치시",51586.4
"2000","경기도",5979.8
"2000","강원도",5871
"2000","충청북도",6188.9
"2000","충청남도",7956.6
"2000","전라북도",5632.8
"2000","전라남도",10062.7
"2000","경상북도",14192.1
"2000","경상남도",2980.3
"2001","전국",455630.5
"2001","서울특별시",234525
"2001","부산광역시",30703.8
"2001","대구광역시",19358
"2001","인천광역시",16266.4
"2001","광주광역시",10617.8
"2001","대전광역시",12560.4
"2001","울산광역시",5437.6
"2001","세종특별자치시",60148.9
"2001","경기도",6600.4
"2001","강원도",6302.7
"2001","충청북도",7141.1
"2001","충청남도",8845.7
"2001","전라북도",6394.4
"2001","전라남도",11400.5
"2001","경상북도",16088.3
"2001","경상남도",3239.5
"2002","전국",512419.4
"2002","서울특별시",259354.6
"2002","부산광역시",34282.8
"2002","대구광역시",21409.9
"2002","인천광역시",19363.3
"2002","광주광역시",11985.4
"2002","대전광역시",12951.9
"2002","울산광역시",6514.5
"2002","세종특별자치시",70652.4
"2002","경기도",8052.8
"2002","강원도",6792.3
"2002","충청북도",8361.8
"2002","충청남도",9736.4
"2002","전라북도",6851.3
"2002","전라남도",13178.1
"2002","경상북도",19180.7
"2002","경상남도",3751.2
"2003","전국",548098.4
"2003","서울특별시",278291.9
"2003","부산광역시",35837.5
"2003","대구광역시",22857.5
"2003","인천광역시",19350.1
"2003","광주광역시",11720.9
"2003","대전광역시",14928.9
"2003","울산광역시",7297.8
"2003","세종특별자치시",76576.6
"2003","경기도",7942.5
"2003","강원도",7252.8
"2003","충청북도",9225.9
"2003","충청남도",10093.3
"2003","전라북도",7147.9
"2003","전라남도",13770.2
"2003","경상북도",21938.7
"2003","경상남도",3865.8
"2004","전국",540726.2
"2004","서울특별시",271587.8
"2004","부산광역시",34245.2
"2004","대구광역시",22295.8
"2004","인천광역시",19066.5
"2004","광주광역시",11491.5
"2004","대전광역시",14448.6
"2004","울산광역시",7236.1
"2004","세종특별자치시",76795.1
"2004","경기도",8354.6
"2004","강원도",7479.9
"2004","충청북도",9917.4
"2004","충청남도",10347.6
"2004","전라북도",8049.7
"2004","전라남도",14182.4
"2004","경상북도",21324.8
"2004","경상남도",3903
"2005","전국",561945.6
"2005","서울특별시",279343.7
"2005","부산광역시",35130.5
"2005","대구광역시",23859.3
"2005","인천광역시",19510.4
"2005","광주광역시",11059.6
"2005","대전광역시",14994.8
"2005","울산광역시",7599.4
"2005","세종특별자치시",82186.3
"2005","경기도",8287
"2005","강원도",7933.8
"2005","충청북도",10479.5
"2005","충청남도",10969.3
"2005","전라북도",9080.1
"2005","전라남도",15257.5
"2005","경상북도",22198.5
"2005","경상남도",4055.9
"2006","전국",592720.5
"2006","서울특별시",299425.1
"2006","부산광역시",34550.1
"2006","대구광역시",23365.7
"2006","인천광역시",20899.1
"2006","광주광역시",10918.7
"2006","대전광역시",15709.2
"2006","울산광역시",8030.5
"2006","세종특별자치시",87037.3
"2006","경기도",8902.9
"2006","강원도",8314.1
"2006","충청북도",12054.5
"2006","충청남도",11212.7
"2006","전라북도",9661.7
"2006","전라남도",15583.4
"2006","경상북도",22868.7
"2006","경상남도",4186.9
