"시점","행정구역별(1)",재정자립도(세입과목개편전),재정자립도(세입과목개편후)
"2001","전국",57.6,-
"2001","서울특별시",95.6,-
"2001","부산광역시",74.4,-
"2001","대구광역시",75.3,-
"2001","인천광역시",77.7,-
"2001","광주광역시",63.6,-
"2001","대전광역시",74.9,-
"2001","울산광역시",76.4,-
"2001","경기도",78.0,-
"2001","강원도",29.8,-
"2001","충청북도",36.5,-
"2001","충청남도",30.5,-
"2001","전라북도",27.7,-
"2001","전라남도",22.0,-
"2001","경상북도",31.3,-
"2001","경상남도",39.5,-
"2001","제주특별자치도",33.6,-
"2002","전국",54.8,-
"2002","서울특별시",95.6,-
"2002","부산광역시",69.7,-
"2002","대구광역시",69.2,-
"2002","인천광역시",74.4,-
"2002","광주광역시",61.6,-
"2002","대전광역시",73.6,-
"2002","울산광역시",67.1,-
"2002","경기도",76.5,-
"2002","강원도",28.0,-
"2002","충청북도",32.9,-
"2002","충청남도",28.4,-
"2002","전라북도",26.3,-
"2002","전라남도",20.8,-
"2002","경상북도",30.1,-
"2002","경상남도",36.3,-
"2002","제주특별자치도",36.6,-
"2003","전국",56.3,-
"2003","서울특별시",95.9,-
"2003","부산광역시",74.9,-
"2003","대구광역시",76.4,-
"2003","인천광역시",74.6,-
"2003","광주광역시",63.0,-
"2003","대전광역시",73.6,-
"2003","울산광역시",71.6,-
"2003","경기도",78.0,-
"2003","강원도",26.7,-
"2003","충청북도",31.4,-
"2003","충청남도",29.8,-
"2003","전라북도",25.6,-
"2003","전라남도",21.0,-
"2003","경상북도",29.2,-
"2003","경상남도",37.2,-
"2003","제주특별자치도",37.4,-
"2004","전국",57.2,-
"2004","서울특별시",95.5,-
"2004","부산광역시",75.6,-
"2004","대구광역시",73.2,-
"2004","인천광역시",75.9,-
"2004","광주광역시",59.8,-
"2004","대전광역시",74.4,-
"2004","울산광역시",69.6,-
"2004","경기도",78.8,-
"2004","강원도",28.9,-
"2004","충청북도",31.3,-
"2004","충청남도",30.5,-
"2004","전라북도",25.9,-
"2004","전라남도",21.1,-
"2004","경상북도",29.4,-
"2004","경상남도",38.3,-
"2004","제주특별자치도",34.7,-
"2005","전국",56.2,-
"2005","서울특별시",96.1,-
"2005","부산광역시",73.4,-
"2005","대구광역시",73.9,-
"2005","인천광역시",70.0,-
"2005","광주광역시",60.6,-
"2005","대전광역시",75.0,-
"2005","울산광역시",69.9,-
"2005","경기도",76.2,-
"2005","강원도",27.5,-
"2005","충청북도",31.7,-
"2005","충청남도",32.7,-
"2005","전라북도",25.1,-
"2005","전라남도",19.9,-
"2005","경상북도",29.6,-
"2005","경상남도",37.5,-
"2005","제주특별자치도",39.3,-
"2006","전국",54.4,-
"2006","서울특별시",94.3,-
"2006","부산광역시",70.2,-
"2006","대구광역시",70.7,-
"2006","인천광역시",69.2,-
"2006","광주광역시",57.5,-
"2006","대전광역시",72.8,-
"2006","울산광역시",65.7,-
"2006","경기도",75.2,-
"2006","강원도",26.7,-
"2006","충청북도",31.3,-
"2006","충청남도",35.3,-
"2006","전라북도",23.9,-
"2006","전라남도",20.2,-
"2006","경상북도",27.8,-
"2006","경상남도",38.8,-
"2006","제주특별자치도",33.8,-
"2007","전국",53.6,-
"2007","서울특별시",90.5,-
"2007","부산광역시",62.9,-
"2007","대구광역시",63.9,-
"2007","인천광역시",69.8,-
"2007","광주광역시",54.2,-
"2007","대전광역시",72.1,-
"2007","울산광역시",68.4,-
"2007","경기도",74.9,-
"2007","강원도",28.3,-
"2007","충청북도",33.3,-
"2007","충청남도",36.9,-
"2007","전라북도",23.5,-
"2007","전라남도",20.1,-
"2007","경상북도",28.9,-
"2007","경상남도",39.1,-
"2007","제주특별자치도",26.4,-
"2008","전국",53.9,-
"2008","서울특별시",88.3,-
"2008","부산광역시",60.5,-
"2008","대구광역시",59.5,-
"2008","인천광역시",71.0,-
"2008","광주광역시",52.6,-
"2008","대전광역시",66.4,-
"2008","울산광역시",69.9,-
"2008","경기도",76.3,-
"2008","강원도",28.2,-
"2008","충청북도",34.2,-
"2008","충청남도",37.8,-
"2008","전라북도",22.6,-
"2008","전라남도",21.4,-
"2008","경상북도",28.7,-
"2008","경상남도",39.4,-
"2008","제주특별자치도",26.3,-
"2009","전국",53.6,-
"2009","서울특별시",92.0,-
"2009","부산광역시",58.3,-
"2009","대구광역시",54.7,-
"2009","인천광역시",74.2,-
"2009","광주광역시",48.3,-
"2009","대전광역시",59.3,-
"2009","울산광역시",67.7,-
"2009","경기도",75.9,-
"2009","강원도",28.0,-
"2009","충청북도",33.3,-
"2009","충청남도",36.6,-
"2009","전라북도",23.6,-
"2009","전라남도",19.4,-
"2009","경상북도",27.7,-
"2009","경상남도",39.4,-
"2009","제주특별자치도",25.2,-
"2010","전국",52.2,-
"2010","서울특별시",85.8,-
"2010","부산광역시",57.6,-
"2010","대구광역시",56.3,-
"2010","인천광역시",70.4,-
"2010","광주광역시",47.5,-
"2010","대전광역시",56.3,-
"2010","울산광역시",67.2,-
"2010","경기도",72.8,-
"2010","강원도",27.1,-
"2010","충청북도",33.7,-
"2010","충청남도",36.6,-
"2010","전라북도",24.6,-
"2010","전라남도",20.6,-
"2010","경상북도",29.3,-
"2010","경상남도",42.9,-
"2010","제주특별자치도",26.1,-
"2011","전국",51.9,-
"2011","서울특별시",90.3,-
"2011","부산광역시",56.4,-
"2011","대구광역시",53.5,-
"2011","인천광역시",69.3,-
"2011","광주광역시",47.5,-
"2011","대전광역시",57.2,-
"2011","울산광역시",69.1,-
"2011","경기도",72.5,-
"2011","강원도",27.5,-
"2011","충청북도",32.7,-
"2011","충청남도",35.4,-
"2011","전라북도",24.5,-
"2011","전라남도",20.7,-
"2011","경상북도",28.1,-
"2011","경상남도",42.6,-
"2011","제주특별자치도",25.1,-
"2012","전국",52.3,-
"2012","서울특별시",90.2,-
"2012","부산광역시",57.4,-
"2012","대구광역시",52.8,-
"2012","인천광역시",71.0,-
"2012","광주광역시",46.6,-
"2012","대전광역시",58.3,-
"2012","울산광역시",71.2,-
"2012","경기도",72.6,-
"2012","강원도",26.9,-
"2012","충청북도",34.2,-
"2012","충청남도",35.5,-
"2012","전라북도",26.0,-
"2012","전라남도",21.4,-
"2012","경상북도",28.3,-
"2012","경상남도",43.3,-
"2012","제주특별자치도",28.5,-
"2013","전국",51.1,-
"2013","서울특별시",88.8,-
"2013","부산광역시",56.6,-
"2013","대구광역시",51.8,-
"2013","인천광역시",67.3,-
"2013","광주광역시",45.4,-
"2013","대전광역시",57.5,-
"2013","울산광역시",70.7,-
"2013","세종특별자치시",38.8,-
"2013","경기도",71.6,-
"2013","강원도",26.6,-
"2013","충청북도",34.2,-
"2013","충청남도",36.0,-
"2013","전라북도",25.7,-
"2013","전라남도",21.7,-
"2013","경상북도",28.0,-
"2013","경상남도",41.7,-
"2013","제주특별자치도",30.6,-
"2014","전국",50.3,44.8
"2014","서울특별시",84.2,80.0
"2014","부산광역시",57.4,51.4
"2014","대구광역시",51.7,46.1
"2014","인천광역시",66.9,62.6
"2014","광주광역시",46.0,41.9
"2014","대전광역시",54.9,49.4
"2014","울산광역시",70.2,61.4
"2014","세종특별자치시",50.6,47.6
"2014","경기도",67.7,61.2
"2014","강원도",26.6,22.2
"2014","충청북도",33.6,26.6
"2014","충청남도",35.6,30.2
"2014","전라북도",27.0,22.8
"2014","전라남도",22.2,17.4
"2014","경상북도",29.1,22.7
"2014","경상남도",42.4,36.0
"2014","제주특별자치도",34.0,30.1
"2015","전국",50.6,45.1
"2015","서울특별시",84.3,80.3
"2015","부산광역시",56.8,51.0
"2015","대구광역시",53.1,46.9
"2015","인천광역시",64.4,59.1
"2015","광주광역시",49.3,44.2
"2015","대전광역시",54.9,49.3
"2015","울산광역시",72.0,63.6
"2015","세종특별자치시",54.8,44.0
"2015","경기도",66.6,60.7
"2015","강원도",25.9,21.5
"2015","충청북도",34.8,28.1
"2015","충청남도",35.2,30.4
"2015","전라북도",27.6,22.1
"2015","전라남도",22.8,17.8
"2015","경상북도",30.0,24.3
"2015","경상남도",43.3,37.4
"2015","제주특별자치도",36.4,30.3
"2016","전국",52.5,46.6
"2016","서울특별시",84.7,80.7
"2016","부산광역시",60.1,50.9
"2016","대구광역시",57.1,50.6
