"시점","행정구역별(1)",재정자주도(세입과목개편전),재정자주도(세입과목개편후)
"2001","전국",84.4,-
"2001","서울특별시",95.6,-
"2001","부산광역시",83.2,-
"2001","대구광역시",83.4,-
"2001","인천광역시",85.8,-
"2001","광주광역시",77.0,-
"2001","대전광역시",85.9,-
"2001","울산광역시",90.2,-
"2001","경기도",89.5,-
"2001","강원도",83.9,-
"2001","충청북도",83.7,-
"2001","충청남도",76.1,-
"2001","전라북도",77.3,-
"2001","전라남도",73.7,-
"2001","경상북도",81.6,-
"2001","경상남도",80.2,-
"2001","제주특별자치도",69.8,-
"2002","전국",84.1,-
"2002","서울특별시",95.6,-
"2002","부산광역시",79.3,-
"2002","대구광역시",77.7,-
"2002","인천광역시",83.9,-
"2002","광주광역시",76.7,-
"2002","대전광역시",84.7,-
"2002","울산광역시",89.4,-
"2002","경기도",90.8,-
"2002","강원도",83.1,-
"2002","충청북도",83.3,-
"2002","충청남도",77.1,-
"2002","전라북도",79.7,-
"2002","전라남도",72.8,-
"2002","경상북도",82.5,-
"2002","경상남도",79.5,-
"2002","제주특별자치도",76.5,-
"2003","전국",84.9,-
"2003","서울특별시",95.9,-
"2003","부산광역시",83.2,-
"2003","대구광역시",87.9,-
"2003","인천광역시",83.9,-
"2003","광주광역시",78.1,-
"2003","대전광역시",85.3,-
"2003","울산광역시",90.6,-
"2003","경기도",90.8,-
"2003","강원도",81.7,-
"2003","충청북도",81.8,-
"2003","충청남도",76.3,-
"2003","전라북도",79.3,-
"2003","전라남도",73.6,-
"2003","경상북도",81.8,-
"2003","경상남도",80.2,-
"2003","제주특별자치도",80.5,-
"2004","전국",84.9,-
"2004","서울특별시",95.5,-
"2004","부산광역시",83.6,-
"2004","대구광역시",84.9,-
"2004","인천광역시",84.6,-
"2004","광주광역시",74.9,-
"2004","대전광역시",84.8,-
"2004","울산광역시",86.8,-
"2004","경기도",90.4,-
"2004","강원도",82.6,-
"2004","충청북도",82.3,-
"2004","충청남도",78.1,-
"2004","전라북도",77.8,-
"2004","전라남도",75.0,-
"2004","경상북도",81.5,-
"2004","경상남도",80.7,-
"2004","제주특별자치도",76.3,-
"2005","전국",81.6,-
"2005","서울특별시",96.1,-
"2005","부산광역시",81.3,-
"2005","대구광역시",87.3,-
"2005","인천광역시",77.0,-
"2005","광주광역시",77.1,-
"2005","대전광역시",86.6,-
"2005","울산광역시",81.7,-
"2005","경기도",86.1,-
"2005","강원도",75.9,-
"2005","충청북도",78.2,-
"2005","충청남도",75.2,-
"2005","전라북도",72.1,-
"2005","전라남도",69.6,-
"2005","경상북도",77.5,-
"2005","경상남도",76.1,-
"2005","제주특별자치도",76.0,-
"2006","전국",80.2,-
"2006","서울특별시",95.4,-
"2006","부산광역시",80.7,-
"2006","대구광역시",84.7,-
"2006","인천광역시",76.5,-
"2006","광주광역시",75.1,-
"2006","대전광역시",83.9,-
"2006","울산광역시",82.6,-
"2006","경기도",85.7,-
"2006","강원도",75.3,-
"2006","충청북도",76.4,-
"2006","충청남도",74.1,-
"2006","전라북도",70.1,-
"2006","전라남도",67.8,-
"2006","경상북도",76.2,-
"2006","경상남도",75.0,-
"2006","제주특별자치도",72.9,-
"2007","전국",79.5,-
"2007","서울특별시",94.4,-
"2007","부산광역시",76.9,-
"2007","대구광역시",80.8,-
"2007","인천광역시",79.7,-
"2007","광주광역시",75.9,-
"2007","대전광역시",83.1,-
"2007","울산광역시",84.6,-
"2007","경기도",85.1,-
"2007","강원도",75.8,-
"2007","충청북도",76.9,-
"2007","충청남도",73.3,-
"2007","전라북도",69.8,-
"2007","전라남도",67.0,-
"2007","경상북도",75.9,-
"2007","경상남도",74.8,-
"2007","제주특별자치도",63.7,-
"2008","전국",79.5,-
"2008","서울특별시",93.6,-
"2008","부산광역시",75.4,-
"2008","대구광역시",78.4,-
"2008","인천광역시",80.3,-
"2008","광주광역시",74.2,-
"2008","대전광역시",80.1,-
"2008","울산광역시",82.6,-
"2008","경기도",85.2,-
"2008","강원도",75.8,-
"2008","충청북도",76.1,-
"2008","충청남도",73.5,-
