"시점","행정구역별",데이터
"2006","전국",335288
"2006","서울특별시",61883
"2006","부산광역시",28021
"2006","대구광역시",23543
"2006","인천광역시",20855
"2006","광주광역시",7524
"2006","대전광역시",6506
"2006","울산광역시",5154
"2006","경기도",85985
"2006","강원도",6695
"2006","충청북도",9145
"2006","충청남도",12254
"2006","전라북도",9817
"2006","전라남도",11366
"2006","경상북도",18960
"2006","경상남도",25501
"2006","제주특별자치도",2079
"2007","전국",335402
"2007","서울특별시",59717
"2007","부산광역시",27890
"2007","대구광역시",23368
"2007","인천광역시",20950
"2007","광주광역시",7592
"2007","대전광역시",6537
"2007","울산광역시",5129
"2007","경기도",87205
"2007","강원도",6668
"2007","충청북도",9264
"2007","충청남도",12364
"2007","전라북도",9953
"2007","전라남도",11245
"2007","경상북도",19253
"2007","경상남도",26185
"2007","제주특별자치도",2082
"2008","전국",327982
"2008","서울특별시",56118
"2008","부산광역시",27059
"2008","대구광역시",23004
"2008","인천광역시",20118
"2008","광주광역시",7446
"2008","대전광역시",6470
"2008","울산광역시",5052
"2008","경기도",86336
"2008","강원도",6574
"2008","충청북도",9224
"2008","충청남도",12306
"2008","전라북도",9750
"2008","전라남도",11009
"2008","경상북도",19217
"2008","경상남도",26222
"2008","제주특별자치도",2077
"2009","전국",328565
"2009","서울특별시",54852
"2009","부산광역시",26908
"2009","대구광역시",23076
"2009","인천광역시",19788
"2009","광주광역시",7518
"2009","대전광역시",6497
"2009","울산광역시",5031
"2009","경기도",87386
"2009","강원도",6572
"2009","충청북도",9397
"2009","충청남도",12439
"2009","전라북도",10030
"2009","전라남도",11030
"2009","경상북도",19495
"2009","경상남도",26413
"2009","제주특별자치도",2133
"2010","전국",336908
"2010","서울특별시",54411
"2010","부산광역시",27006
"2010","대구광역시",23858
"2010","인천광역시",20518
"2010","광주광역시",7488
"2010","대전광역시",6618
"2010","울산광역시",5285
"2010","경기도",92814
"2010","강원도",6560
"2010","충청북도",9539
"2010","충청남도",12693
"2010","전라북도",10065
"2010","전라남도",10995
"2010","경상북도",19974
"2010","경상남도",27017
"2010","제주특별자치도",2067
"2011","전국",351346
"2011","서울특별시",56617
"2011","부산광역시",27693
"2011","대구광역시",24445
"2011","인천광역시",21219
"2011","광주광역시",7702
"2011","대전광역시",6792
"2011","울산광역시",5555
"2011","경기도",97711
"2011","강원도",6717
"2011","충청북도",9959
"2011","충청남도",13417
"2011","전라북도",10362
"2011","전라남도",11329
"2011","경상북도",20952
"2011","경상남도",28770
"2011","제주특별자치도",2106
"2012","전국",371906
"2012","서울특별시",59870
"2012","부산광역시",28851
"2012","대구광역시",25603
"2012","인천광역시",22539
"2012","광주광역시",7902
"2012","대전광역시",7145
"2012","울산광역시",5903
"2012","세종특별자치시",703
"2012","경기도",104623
"2012","강원도",6977
"2012","충청북도",10337
"2012","충청남도",13505
"2012","전라북도",10774
"2012","전라남도",11632
"2012","경상북도",22353
"2012","경상남도",30987
"2012","제주특별자치도",2202
"2013","전국",382575
"2013","서울특별시",59263
"2013","부산광역시",29123
"2013","대구광역시",25932
"2013","인천광역시",22566
"2013","광주광역시",8092
"2013","대전광역시",7324
"2013","울산광역시",6319
"2013","세종특별자치시",784
"2013","경기도",108722
"2013","강원도",7332
"2013","충청북도",11135
"2013","충청남도",14258
"2013","전라북도",11218
"2013","전라남도",12125
"2013","경상북도",23994
"2013","경상남도",32103
"2013","제주특별자치도",2285
"2014","전국",409232
"2014","서울특별시",61652
"2014","부산광역시",30369
"2014","대구광역시",26574
"2014","인천광역시",23667
"2014","광주광역시",8547
"2014","대전광역시",7667
"2014","울산광역시",6725
"2014","세종특별자치시",913
"2014","경기도",118630
"2014","강원도",8007
"2014","충청북도",12118
"2014","충청남도",15792
"2014","전라북도",12303
"2014","전라남도",13024
"2014","경상북도",26346
"2014","경상남도",34543
"2014","제주특별자치도",2355
"2015","전국",428643
"2015","서울특별시",63389
"2015","부산광역시",31458
"2015","대구광역시",27551
"2015","인천광역시",24762
"2015","광주광역시",8770
"2015","대전광역시",8044
"2015","울산광역시",7159
"2015","세종특별자치시",988
"2015","경기도",126428
"2015","강원도",8107
"2015","충청북도",12698
"2015","충청남도",16610
"2015","전라북도",12661
"2015","전라남도",13309
"2015","경상북도",27756
"2015","경상남도",36504
"2015","제주특별자치도",2449
"2016","전국",430948
"2016","서울특별시",62150
"2016","부산광역시",31277
"2016","대구광역시",27511
"2016","인천광역시",24738
"2016","광주광역시",8870
"2016","대전광역시",7992
"2016","울산광역시",7193
"2016","세종특별자치시",1015
"2016","경기도",128564
"2016","강원도",8232
"2016","충청북도",12905
"2016","충청남도",17150
"2016","전라북도",12588
"2016","전라남도",13313
"2016","경상북도",28346
"2016","경상남도",36679
"2016","제주특별자치도",2425
"2017","전국",433684
"2017","서울특별시",61583
"2017","부산광역시",31012
"2017","대구광역시",27387
"2017","인천광역시",24826
"2017","광주광역시",8983
"2017","대전광역시",8114
"2017","울산광역시",7227
"2017","세종특별자치시",1093
"2017","경기도",130282
"2017","강원도",8346
"2017","충청북도",13190
"2017","충청남도",17694
"2017","전라북도",12709
"2017","전라남도",13489
"2017","경상북도",28663
"2017","경상남도",36668
"2017","제주특별자치도",2418
"2018","전국",437024
"2018","서울특별시",58970
"2018","부산광역시",30656
"2018","대구광역시",26961
"2018","인천광역시",25235
"2018","광주광역시",9105
"2018","대전광역시",8220
"2018","울산광역시",7299
"2018","세종특별자치시",1233
"2018","경기도",132785
"2018","강원도",8584
"2018","충청북도",13786
"2018","충청남도",18422
"2018","전라북도",12933
"2018","전라남도",14014
"2018","경상북도",29217
"2018","경상남도",37048
"2018","제주특별자치도",2556
"2019","전국",440766
"2019","서울특별시",57321
"2019","부산광역시",30630
"2019","대구광역시",26600
"2019","인천광역시",25190
"2019","광주광역시",9266
"2019","대전광역시",8380
"2019","울산광역시",7729
"2019","세종특별자치시",1300
"2019","경기도",133317
"2019","강원도",8889
"2019","충청북도",14273
"2019","충청남도",19050
"2019","전라북도",13288
"2019","전라남도",14537
"2019","경상북도",29986
"2019","경상남도",38352
"2019","제주특별자치도",2658
"2020","전국",579645
"2020","서울특별시",78642
"2020","부산광역시",38222
"2020","대구광역시",33258
"2020","인천광역시",33657
"2020","광주광역시",11535
"2020","대전광역시",11049
"2020","울산광역시",10235
"2020","세종특별자치시",1764
"2020","경기도",184016
"2020","강원도",10497
"2020","충청북도",18488
"2020","충청남도",24423
"2020","전라북도",16219
"2020","전라남도",17079
"2020","경상북도",37730
"2020","경상남도",49208
"2020","제주특별자치도",3623
