"시점","행정구역별",데이터
"1972","서울특별시",21064
"1972","부산광역시",5043
"1972","경기도",4130
"1972","강원도",1051
"1972","충청북도",1053
"1972","충청남도",2346
"1972","전라북도",2002
"1972","전라남도",2586
"1972","경상북도",4395
"1972","경상남도",2487
"1972","제주특별자치도",451
"1973","서울특별시",32245
"1973","부산광역시",8112
"1973","경기도",6613
"1973","강원도",1700
"1973","충청북도",1734
"1973","충청남도",3671
"1973","전라북도",3202
"1973","전라남도",3975
"1973","경상북도",8126
"1973","경상남도",4038
"1973","제주특별자치도",718
"1974","서울특별시",46001
"1974","부산광역시",12345
"1974","경기도",10002
"1974","강원도",2335
"1974","충청북도",2459
"1974","충청남도",5329
"1974","전라북도",4754
"1974","전라남도",5698
"1974","경상북도",11080
"1974","경상남도",6979
"1974","제주특별자치도",1004
"1975","서울특별시",70282
"1975","부산광역시",15994
"1975","경기도",15254
"1975","강원도",3457
"1975","충청북도",3877
"1975","충청남도",8404
"1975","전라북도",7282
"1975","전라남도",8561
"1975","경상북도",15020
"1975","경상남도",9209
"1975","제주특별자치도",1450
"1976","서울특별시",97149
"1976","부산광역시",22106
"1976","경기도",22050
"1976","강원도",4729
"1976","충청북도",5507
"1976","충청남도",11822
"1976","전라북도",10012
"1976","전라남도",12938
"1976","경상북도",19574
"1976","경상남도",12725
"1976","제주특별자치도",1954
"1977","서울특별시",151529
"1977","부산광역시",35371
"1977","경기도",34071
"1977","강원도",6359
"1977","충청북도",7992
"1977","충청남도",17256
"1977","전라북도",13884
"1977","전라남도",18659
"1977","경상북도",28460
"1977","경상남도",20273
"1977","제주특별자치도",2721
"1978","서울특별시",203982
"1978","부산광역시",45355
"1978","경기도",50762
"1978","강원도",7853
"1978","충청북도",9003
"1978","충청남도",19953
"1978","전라북도",16200
"1978","전라남도",21227
"1978","경상북도",38233
"1978","경상남도",26788
"1978","제주특별자치도",3895
"1979","서울특별시",251113
"1979","부산광역시",66770
"1979","경기도",73181
"1979","강원도",11950
"1979","충청북도",13091
"1979","충청남도",29050
"1979","전라북도",22604
"1979","전라남도",32233
"1979","경상북도",54748
"1979","경상남도",38527
"1979","제주특별자치도",5932
"1980","서울특별시",300431
"1980","부산광역시",85503
"1980","경기도",107700
"1980","강원도",15925
"1980","충청북도",16314
"1980","충청남도",39417
"1980","전라북도",31567
"1980","전라남도",43416
"1980","경상북도",68777
"1980","경상남도",50931
"1980","제주특별자치도",7712
"1981","서울특별시",354295
"1981","부산광역시",96015
"1981","대구광역시",47091
"1981","인천광역시",37618
"1981","경기도",89800
"1981","강원도",20763
"1981","충청북도",20131
"1981","충청남도",45449
"1981","전라북도",36622
"1981","전라남도",48286
"1981","경상북도",45417
"1981","경상남도",63715
"1981","제주특별자치도",9170
"1982","서울특별시",458391
"1982","부산광역시",113204
"1982","대구광역시",57790
"1982","인천광역시",43871
"1982","경기도",109921
"1982","강원도",25002
"1982","충청북도",23280
"1982","충청남도",55394
"1982","전라북도",42272
"1982","전라남도",56723
"1982","경상북도",50608
"1982","경상남도",74660
"1982","제주특별자치도",8090
"1983","서울특별시",592412
"1983","부산광역시",129517
"1983","대구광역시",69102
"1983","인천광역시",56519
"1983","경기도",150058
"1983","강원도",28852
"1983","충청북도",25698
"1983","충청남도",65215
"1983","전라북도",47493
"1983","전라남도",67600
"1983","경상북도",60749
"1983","경상남도",91410
"1983","제주특별자치도",12542
"1984","서울특별시",607364
"1984","부산광역시",144218
"1984","대구광역시",74989
"1984","인천광역시",67908
"1984","경기도",171498
"1984","강원도",32453
"1984","충청북도",30728
"1984","충청남도",74303
"1984","전라북도",50548
"1984","전라남도",74134
"1984","경상북도",67275
"1984","경상남도",100335
"1984","제주특별자치도",12601
"1985","서울특별시",656688
"1985","부산광역시",153831
"1985","대구광역시",79415
"1985","인천광역시",76410
"1985","경기도",204948
"1985","강원도",37806
"1985","충청북도",35454
"1985","충청남도",79334
"1985","전라북도",47337
"1985","전라남도",77879
"1985","경상북도",76618
"1985","경상남도",114656
"1985","제주특별자치도",14260
"1986","서울특별시",706010
"1986","부산광역시",168963
"1986","대구광역시",92141
"1986","인천광역시",80330
"1986","광주광역시",5977
"1986","경기도",235014
"1986","강원도",40410
"1986","충청북도",37780
"1986","충청남도",87021
"1986","전라북도",48518
"1986","전라남도",81492
"1986","경상북도",83971
"1986","경상남도",127087
"1986","제주특별자치도",15039
