"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",º≠øÔ,∫ŒªÍ,¥Î±∏,¿Œ√µ,±§¡÷,¥Î¿¸,øÔªÍ,∞Ê±‚,ºº¡æ,∞≠ø¯,√Ê∫œ,√Ê≥≤,¿¸∫œ,¿¸≥≤,∞Ê∫œ,∞Ê≥≤,¡¶¡÷
"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë
"2013.01","√—∞Ë","∞Ë",2973804,1179301,1013157,1057205,553428,596532,473018,4420350,48477,632672,656427,859321,758453,770345,1178103,1474403,298472
"2013.02","√—∞Ë","∞Ë",2973781,1180723,1014528,1062127,554748,597593,474159,4428850,49143,633452,657736,861777,759739,772471,1180862,1475433,301744
"2013.03","√—∞Ë","∞Ë",2973218,1181556,1016803,1068044,556356,598727,475904,4438193,49717,635081,659386,864711,761198,775765,1184543,1476200,305467
"2013.04","√—∞Ë","∞Ë",2973735,1182472,1019496,1076638,558003,599639,476975,4448288,50147,636701,661504,868178,763401,778989,1188580,1477864,309466
"2013.05","√—∞Ë","∞Ë",2975744,1182081,1023376,1083230,559364,600745,477946,4457536,50547,638285,663338,870741,765049,782152,1191658,1479566,313034
"2013.06","√—∞Ë","∞Ë",2976043,1183223,1025408,1090648,560903,601518,479305,4468494,50817,639688,665319,873672,767581,785407,1194931,1480939,316441
"2013.07","√—∞Ë","∞Ë",2979258,1185549,1028439,1100216,562691,602791,480945,4483484,51093,641748,667784,876401,770152,788377,1198763,1483383,321515
"2013.08","√—∞Ë","∞Ë",2977324,1185367,1030265,1108757,563761,603613,482067,4491882,51384,642846,669296,878633,771641,790363,1201316,1486504,324275
"2013.09","√—∞Ë","∞Ë",2978495,1186300,1032590,1115419,564825,604152,482846,4499540,51636,644090,670547,880749,773127,792379,1203901,1487319,326012
"2013.10","√—∞Ë","∞Ë",2979834,1186967,1035397,1124770,566547,605272,484016,4511082,51990,645595,672309,884235,774706,795033,1206954,1489200,328933
"2013.11","√—∞Ë","∞Ë",2978969,1183775,1038204,1134565,567699,605956,485346,4521388,52243,647113,673876,886545,780688,797935,1209957,1491071,331863
"2013.12","√—∞Ë","∞Ë",2973877,1183679,1039225,1142351,568054,606283,485184,4525170,52996,646532,674138,887083,780844,799385,1210986,1490651,334426
"2014.01","√—∞Ë","∞Ë",2981263,1188369,1044199,1152151,570306,608924,488193,4547955,54019,648816,677138,891707,784102,804328,1216330,1495458,338928
"2014.02","√—∞Ë","∞Ë",2982658,1190499,1045966,1158949,571894,609775,489580,4557909,54903,649948,678799,894788,786029,807115,1219718,1496447,342808
"2014.03","√—∞Ë","∞Ë",2983448,1192662,1049019,1170010,572907,611087,491012,4570775,55487,651962,681049,898576,788394,811435,1223633,1497934,346931
"2014.04","√—∞Ë","∞Ë",2987197,1194778,1052424,1180179,574463,612675,492512,4585245,56241,653995,683864,902024,791165,816248,1228032,1499291,352717
"2014.05","√—∞Ë","∞Ë",2990011,1196452,1054989,1188651,576828,613869,494244,4599329,57051,655785,685692,905364,793231,819025,1231435,1501499,356261
"2014.06","√—∞Ë","∞Ë",2994260,1200981,1057448,1198043,578917,614921,495848,4614442,57663,657458,688089,908201,794643,821352,1234705,1499648,362963
"2014.07","√—∞Ë","∞Ë",2999673,1203312,1060776,1209648,581483,616444,497455,4630536,58202,659686,690682,911243,797508,824965,1238444,1501558,369316
