,시점,지역,사설학원수,대학교_숫자,중학생인원수변화,초등학생인원수변화,고등학생인원수변화,유치원원아수변화,대학생숫자
0,2007,경기도,15591,61,489548,951908,411732,135245,485552
1,2007,서울특별시,11549,50,375937,665227,355193,82461,541288
2,2007,경상남도,5844,19,138629,264776,137276,44188,139584
3,2007,부산광역시,4779,22,144991,242193,106501,37921,265238
4,2007,대구광역시,2929,11,113962,199471,105396,27908,124318
5,2007,인천광역시,2684,9,121864,214671,119431,29950,78372
6,2007,전라북도,3264,21,78859,149721,70584,19320,136767
7,2007,경상북도,3355,38,101636,196170,95208,32761,234466
8,2007,광주광역시,2420,16,71033,132619,61746,17300,120389
9,2007,충청남도,2660,23,78026,153984,67989,21028,228429
10,2007,전라남도,2637,21,76055,148376,69373,19325,94681
11,2007,울산광역시,2346,3,55201,99281,48604,16702,31744
12,2007,충청북도,2221,15,64291,120998,60828,15997,125061
13,2007,대전광역시,2128,15,67626,125583,56073,21270,147231
14,2007,강원도,2315,18,59834,114973,54504,14904,128006
15,2007,제주특별자치도,927,6,25667,50047,20936,5270,29593
16,2007,세종특별자치시,0,0,0,0,0,0,0
17,2008,경기도,16566,62,488203,920586,436635,136558,499789
18,2008,서울특별시,12006,49,365579,633486,361942,82144,527195
19,2008,경상남도,6055,19,138290,254368,139134,43158,136814
20,2008,부산광역시,4751,22,139913,227494,111480,36833,266666
21,2008,대구광역시,2978,11,112708,189585,107627,27329,124567
22,2008,인천광역시,2879,9,118916,205781,124398,31368,78175
23,2008,전라북도,3313,20,78526,143293,72218,18834,134131
24,2008,경상북도,3306,36,100182,187309,96807,31883,232864
25,2008,광주광역시,2760,16,71092,127758,64359,17091,116577
26,2008,충청남도,2825,23,78437,150382,70264,21498,231473
27,2008,전라남도,2727,21,75460,141424,72153,18593,90902
28,2008,울산광역시,2495,3,54737,94111,50725,16245,31913
29,2008,충청북도,2276,15,64261,116711,63038,15359,125438
30,2008,대전광역시,2134,15,67431,120881,58398,21491,147020
31,2008,강원도,2322,18,59168,110747,55496,14422,128506
32,2008,제주특별자치도,936,5,25708,48291,22304,5016,29253
33,2008,세종특별자치시,0,0,0,0,0,0,0
34,2009,경기도,17613,62,484656,880141,456897,137566,504165
35,2009,서울특별시,12086,49,355838,598514,368075,79704,533420
36,2009,경상남도,6059,19,137403,240129,140623,44273,129953
37,2009,부산광역시,4751,22,134976,210826,114382,36652,270828
38,2009,대구광역시,3435,11,110449,178029,110245,27570,123998
39,2009,인천광역시,2853,9,115198,193210,129551,31858,79547
40,2009,전라북도,3479,20,77765,135336,74716,19130,132779
41,2009,경상북도,3446,36,98685,175577,98328,31747,232813
42,2009,광주광역시,2211,16,70471,121590,67089,17193,116786
43,2009,충청남도,2902,23,78369,143961,72268,22098,235383
44,2009,전라남도,2829,21,75119,132503,75306,18099,90337
45,2009,울산광역시,2649,4,53625,87693,52664,15978,32982
46,2009,충청북도,2393,16,63516,110757,64931,15263,126112
47,2009,대전광역시,2208,14,66925,114621,60598,20899,146316
48,2009,강원도,2393,18,58605,105480,56683,14343,126994
49,2009,제주특별자치도,935,5,25372,46028,23436,4988,28806
50,2009,세종특별자치시,0,0,0,0,0,0,0
51,2010,경기도,18146,62,482170,848135,461461,141626,502722
52,2010,서울특별시,13168,49,345413,566149,362466,78789,553674
53,2010,경상남도,6291,20,135600,227813,136665,43958,129357
54,2010,부산광역시,4860,22,129285,197397,113247,36433,274946
55,2010,대구광역시,3910,11,108082,167548,109300,27178,125759
56,2010,인천광역시,2924,8,112142,183261,130009,32521,78511
57,2010,전라북도,3842,20,76583,126869,75708,19677,132730
58,2010,경상북도,3572,36,97491,164230,97767,31263,234786
59,2010,광주광역시,2476,16,70352,115827,67750,17165,117771
60,2010,충청남도,3077,23,78580,138404,72493,22693,240699
61,2010,전라남도,2897,21,74251,123912,76857,17736,90228
62,2010,울산광역시,2632,4,52213,81678,52424,15421,34125
63,2010,충청북도,2489,16,63120,105026,64794,14924,128410
64,2010,대전광역시,2218,14,65904,109013,60897,20323,147387
65,2010,강원도,2456,18,58408,99797,56711,14137,131027
66,2010,제주특별자치도,994,5,25204,44035,23807,4743,29150
67,2010,세종특별자치시,0,0,0,0,0,0,0
68,2011,경기도,18674,63,472878,814927,462456,150966,509167
69,2011,서울특별시,13477,49,330219,535948,353632,81237,555787
70,2011,경상남도,5970,20,131677,215383,131894,45297,130948
71,2011,부산광역시,5026,22,121918,184983,110409,38310,276245
72,2011,대구광역시,3746,11,102493,157693,108190,28669,126260
73,2011,인천광역시,2831,8,107234,173598,130026,34592,79155
74,2011,전라북도,3956,20,74593,119592,75599,21057,134272
75,2011,경상북도,3735,36,93999,155146,96602,32719,238438
76,2011,광주광역시,2281,17,68761,109760,68049,18549,118071
77,2011,충청남도,2944,23,77771,132962,72350,24095,242988
78,2011,전라남도,2891,21,71837,115550,77453,17854,89915
79,2011,울산광역시,2600,4,49934,76596,51943,16225,35026
80,2011,충청북도,2435,16,61590,99902,64132,15317,130699
81,2011,대전광역시,2168,15,63791,103852,60674,20874,153845
82,2011,강원도,2474,19,57321,94442,56520,14226,134822
83,2011,제주특별자치도,957,5,24556,42143,23869,4847,29708
84,2011,세종특별자치시,0,0,0,0,0,0,0
85,2012,경기도,18530,62,463600,775163,462490,166705,498389
86,2012,서울특별시,13688,48,315241,502000,344391,87997,574067
87,2012,경상남도,5916,20,127510,202320,126984,47731,130688
88,2012,부산광역시,4859,22,114936,172069,107592,41246,277133
89,2012,대구광역시,3542,11,98316,146899,105968,31657,126354
90,2012,인천광역시,3338,7,103593,164928,129209,38162,75089
91,2012,전라북도,4005,20,72040,112640,75006,22250,134813
92,2012,경상북도,3696,36,91614,144918,95917,35433,235751
93,2012,광주광역시,2038,17,66937,102912,67576,20445,116977
94,2012,충청남도,2738,23,76604,127260,72106,25767,243667
95,2012,전라남도,2845,19,69647,107133,78005,18519,86621
96,2012,울산광역시,2535,4,47785,71544,50964,17649,35944
97,2012,충청북도,2393,16,59452,94507,63496,16792,132588
98,2012,대전광역시,2167,15,61598,98665,60067,23179,153324
99,2012,강원도,2335,19,56162,88865,56519,15158,137281
100,2012,제주특별자치도,980,4,24059,40172,23797,5059,29482
101,2012,세종특별자치시,90,0,0,0,0,0,0
102,2013,경기도,18134,62,458220,739619,460580,182231,499221
103,2013,서울특별시,13405,48,304251,469392,334123,92400,570583
