,시점,지역,고등학생인원수변화
0,2000,경기도,341998
1,2000,서울특별시,334121
2,2000,경상남도,329606
3,2000,부산광역시,340105
4,2000,인천광역시,352116
5,2000,경상북도,369764
6,2000,대구광역시,385461
7,2000,충청남도,411732
8,2000,전라북도,436635
9,2000,전라남도,456897
10,2000,광주광역시,461461
11,2000,대전광역시,462456
12,2000,충청북도,462490
13,2000,강원도,460580
14,2000,울산광역시,452698
15,2000,제주특별자치도,444554
16,2000,세종특별자치시,440319
17,2001,경기도,422839
18,2001,서울특별시,393008
19,2001,경상남도,364168
20,2001,부산광역시,350199
21,2001,인천광역시,345024
22,2001,경상북도,340895
23,2001,대구광역시,453068
24,2001,충청남도,410341
25,2001,전라북도,378168
26,2001,전라남도,366556
27,2001,광주광역시,356157
28,2001,대전광역시,353023
29,2001,충청북도,349154
30,2001,강원도,355193
31,2001,울산광역시,361942
32,2001,제주특별자치도,368075
33,2001,세종특별자치시,362466
34,2002,경기도,353632
35,2002,서울특별시,344391
36,2002,경상남도,334123
37,2002,부산광역시,320398
38,2002,인천광역시,308306
39,2002,경상북도,299556
40,2002,대구광역시,282968
41,2002,충청남도,259554
42,2002,전라북도,236689
43,2002,전라남도,224316
44,2002,광주광역시,216319
45,2002,대전광역시,207388
46,2002,충청북도,136580
47,2002,강원도,125590
48,2002,울산광역시,117448
49,2002,제주특별자치도,114502
50,2002,세종특별자치시,112438
51,2003,경기도,113156
52,2003,서울특별시,114155
53,2003,경상남도,119431
54,2003,부산광역시,124398
55,2003,인천광역시,129551
56,2003,경상북도,130009
57,2003,대구광역시,130026
58,2003,충청남도,129209
59,2003,전라북도,127457
60,2003,전라남도,123853
61,2003,광주광역시,120084
62,2003,대전광역시,117575
63,2003,충청북도,111618
64,2003,강원도,102461
65,2003,울산광역시,93849
66,2003,제주특별자치도,89026
67,2003,세종특별자치시,86627
68,2004,경기도,84613
69,2004,서울특별시,177255
70,2004,경상남도,159488
71,2004,부산광역시,146617
72,2004,인천광역시,140932
73,2004,경상북도,137315
74,2004,대구광역시,136641
