,시점,지역,유치원원아수변화
0,2000,경기도,113474
1,2000,서울특별시,94690
2,2000,경상남도,42499
3,2000,부산광역시,40694
4,2000,경상북도,36841
5,2000,대구광역시,27490
6,2000,인천광역시,26811
7,2000,전라남도,24704
8,2000,충청남도,21440
9,2000,전라북도,21416
10,2000,대전광역시,19733
11,2000,울산광역시,19601
12,2000,충청북도,18450
13,2000,강원도,17045
14,2000,광주광역시,14472
15,2000,제주특별자치도,5903
16,2000,세종특별자치시,0
17,2001,경기도,115805
18,2001,서울특별시,94051
19,2001,경상남도,43226
20,2001,부산광역시,40442
21,2001,경상북도,35768
22,2001,대구광역시,27575
23,2001,인천광역시,26962
24,2001,전라남도,24156
25,2001,충청남도,21227
26,2001,전라북도,21047
27,2001,대전광역시,20081
28,2001,울산광역시,18983
29,2001,충청북도,18183
30,2001,강원도,16465
31,2001,광주광역시,15140
32,2001,제주특별자치도,6031
33,2001,세종특별자치시,0
34,2002,경기도,121007
35,2002,서울특별시,93015
36,2002,경상남도,44788
37,2002,부산광역시,40163
38,2002,경상북도,36197
39,2002,대구광역시,28300
40,2002,인천광역시,27455
41,2002,전라남도,23173
42,2002,충청남도,21050
43,2002,전라북도,21054
44,2002,대전광역시,20203
45,2002,울산광역시,18774
46,2002,충청북도,17626
47,2002,강원도,16657
48,2002,광주광역시,14936
49,2002,제주특별자치도,5858
50,2002,세종특별자치시,0
51,2003,경기도,123587
52,2003,서울특별시,89232
53,2003,경상남도,43956
54,2003,부산광역시,39803
55,2003,경상북도,35801
56,2003,대구광역시,29212
57,2003,인천광역시,27274
58,2003,전라남도,22205
59,2003,충청남도,20714
60,2003,전라북도,21513
61,2003,대전광역시,20609
62,2003,울산광역시,18445
63,2003,충청북도,17140
64,2003,강원도,16276
65,2003,광주광역시,14794
66,2003,제주특별자치도,5970
67,2003,세종특별자치시,0
68,2004,경기도,125828
69,2004,서울특별시,87468
70,2004,경상남도,43844
71,2004,부산광역시,39336
72,2004,경상북도,35283
73,2004,대구광역시,28604
74,2004,인천광역시,26656
75,2004,전라남도,21438
76,2004,충청남도,20302
77,2004,전라북도,21448
78,2004,대전광역시,19551
79,2004,울산광역시,17936
80,2004,충청북도,16915
81,2004,강원도,15921
82,2004,광주광역시,15643
83,2004,제주특별자치도,5540
84,2004,세종특별자치시,0
85,2005,경기도,129531
86,2005,서울특별시,85302
87,2005,경상남도,44447
88,2005,부산광역시,38514
89,2005,경상북도,35562
90,2005,대구광역시,28261
91,2005,인천광역시,26136
92,2005,전라남도,21078
93,2005,충청남도,20821
94,2005,전라북도,20558
95,2005,대전광역시,20099
96,2005,울산광역시,17718
97,2005,충청북도,16298
98,2005,강원도,15595
99,2005,광주광역시,15977
100,2005,제주특별자치도,5706
101,2005,세종특별자치시,0
102,2006,경기도,133034
103,2006,서울특별시,85764
104,2006,경상남도,44268
105,2006,부산광역시,38345
106,2006,경상북도,35079
107,2006,대구광역시,28488
108,2006,인천광역시,28337
109,2006,전라남도,20111
110,2006,충청남도,21141
111,2006,전라북도,19743
112,2006,대전광역시,21346
113,2006,울산광역시,16605
114,2006,충청북도,16250
115,2006,강원도,15275
116,2006,광주광역시,16354
117,2006,제주특별자치도,5672
118,2006,세종특별자치시,0
119,2007,경기도,135245
120,2007,서울특별시,82461
121,2007,경상남도,44188
122,2007,부산광역시,37921
123,2007,경상북도,32761
124,2007,대구광역시,27908
125,2007,인천광역시,29950
126,2007,전라남도,19325
127,2007,충청남도,21028
128,2007,전라북도,19320
129,2007,대전광역시,21270
130,2007,울산광역시,16702
131,2007,충청북도,15997
132,2007,강원도,14904
133,2007,광주광역시,17300
134,2007,제주특별자치도,5270
135,2007,세종특별자치시,0
136,2008,경기도,136558
137,2008,서울특별시,82144
138,2008,경상남도,43158
139,2008,부산광역시,36833
140,2008,경상북도,31883
141,2008,대구광역시,27329
142,2008,인천광역시,31368
143,2008,전라남도,18593
144,2008,충청남도,21498
145,2008,전라북도,18834
146,2008,대전광역시,21491
147,2008,울산광역시,16245
148,2008,충청북도,15359
149,2008,강원도,14422
150,2008,광주광역시,17091
151,2008,제주특별자치도,5016
152,2008,세종특별자치시,0
153,2009,경기도,137566
154,2009,서울특별시,79704
155,2009,경상남도,44273
156,2009,부산광역시,36652
157,2009,경상북도,31747
158,2009,대구광역시,27570
159,2009,인천광역시,31858
160,2009,전라남도,18099
161,2009,충청남도,22098
162,2009,전라북도,19130
163,2009,대전광역시,20899
164,2009,울산광역시,15978
165,2009,충청북도,15263
166,2009,강원도,14343
167,2009,광주광역시,17193
168,2009,제주특별자치도,4988
169,2009,세종특별자치시,0
170,2010,경기도,141626
171,2010,서울특별시,78789
172,2010,경상남도,43958
173,2010,부산광역시,36433
174,2010,경상북도,31263
175,2010,대구광역시,27178
176,2010,인천광역시,32521
177,2010,전라남도,17736
178,2010,충청남도,22693
179,2010,전라북도,19677
180,2010,대전광역시,20323
181,2010,울산광역시,15421
182,2010,충청북도,14924
183,2010,강원도,14137
184,2010,광주광역시,17165
185,2010,제주특별자치도,4743
186,2010,세종특별자치시,0
187,2011,경기도,150966
188,2011,서울특별시,81237
189,2011,경상남도,45297
190,2011,부산광역시,38310
191,2011,경상북도,32719
192,2011,대구광역시,28669
