,시점,지역,초등학생인원수변화
0,2000,경기도,359220
1,2000,서울특별시,367867
2,2000,부산광역시,384591
3,2000,경상남도,402500
4,2000,인천광역시,433314
5,2000,경상북도,463457
6,2000,대구광역시,487357
7,2000,전라남도,489548
8,2000,전라북도,488203
9,2000,충청남도,484656
10,2000,광주광역시,482170
11,2000,대전광역시,472878
12,2000,충청북도,463600
13,2000,강원도,458220
14,2000,울산광역시,439888
15,2000,제주특별자치도,409810
16,2000,세종특별자치시,381082
17,2001,경기도,366856
18,2001,서울특별시,358438
19,2001,부산광역시,353032
20,2001,경상남도,362917
21,2001,인천광역시,378472
22,2001,경상북도,380345
23,2001,대구광역시,375605
24,2001,전라남도,364688
25,2001,전라북도,361244
26,2001,충청남도,359457
27,2001,광주광역시,370551
28,2001,대전광역시,379188
29,2001,충청북도,384977
30,2001,강원도,375937
31,2001,울산광역시,365579
32,2001,제주특별자치도,355838
33,2001,세종특별자치시,345413
34,2002,경기도,330219
35,2002,서울특별시,315241
36,2002,부산광역시,304251
37,2002,경상남도,286826
38,2002,인천광역시,263466
39,2002,경상북도,239912
40,2002,대구광역시,227001
41,2002,전라남도,216330
42,2002,전라북도,207413
43,2002,충청남도,207081
44,2002,광주광역시,209749
45,2002,대전광역시,205387
46,2002,충청북도,122943
47,2002,강원도,120808
48,2002,울산광역시,120998
49,2002,제주특별자치도,121832
50,2002,세종특별자치시,127439
51,2003,경기도,132949
52,2003,서울특별시,138384
53,2003,부산광역시,138629
54,2003,경상남도,138290
55,2003,인천광역시,137403
56,2003,경상북도,135600
57,2003,대구광역시,131677
58,2003,전라남도,127510
59,2003,전라북도,124566
60,2003,충청남도,118400
61,2003,광주광역시,108732
62,2003,대전광역시,99401
63,2003,충청북도,93843
64,2003,강원도,90851
65,2003,울산광역시,88668
66,2003,제주특별자치도,91164
67,2003,세종특별자치시,94538
68,2004,경기도,95037
69,2004,서울특별시,105546
70,2004,부산광역시,106012
71,2004,경상남도,107810
72,2004,인천광역시,109493
73,2004,경상북도,114670
74,2004,대구광역시,119834
75,2004,전라남도,123135
76,2004,전라북도,121864
77,2004,충청남도,118916
78,2004,광주광역시,115198
79,2004,대전광역시,112142
80,2004,충청북도,107234
81,2004,강원도,103593
82,2004,울산광역시,100776
83,2004,제주특별자치도,96490
84,2004,세종특별자치시,89337
85,2005,경기도,82893
86,2005,서울특별시,78826
87,2005,부산광역시,76565
88,2005,경상남도,74458
89,2005,인천광역시,76346
90,2005,경상북도,78333
91,2005,대구광역시,78827
92,2005,전라남도,150783
93,2005,전라북도,144935
94,2005,충청남도,143244
95,2005,광주광역시,141010
96,2005,대전광역시,144092
97,2005,충청북도,146491
98,2005,강원도,148618
99,2005,울산광역시,144991
100,2005,제주특별자치도,139913
101,2005,세종특별자치시,134976
102,2006,경기도,129285
103,2006,서울특별시,121918
104,2006,부산광역시,114936
105,2006,경상남도,110454
106,2006,인천광역시,104128
107,2006,경상북도,95020
108,2006,대구광역시,86650
109,2006,전라남도,80719
110,2006,전라북도,77021
111,2006,충청남도,73338
112,2006,광주광역시,73749
113,2006,대전광역시,75357
114,2006,충청북도,74941
115,2006,강원도,102583
116,2006,울산광역시,99548
117,2006,제주특별자치도,98199
118,2006,세종특별자치시,96960
119,2007,경기도,98613
120,2007,서울특별시,100807
121,2007,부산광역시,102754
122,2007,경상남도,101636
123,2007,인천광역시,100182
124,2007,경상북도,98685
125,2007,대구광역시,97491
126,2007,전라남도,93999
127,2007,전라북도,91614
128,2007,충청남도,89128
129,2007,광주광역시,85118
130,2007,대전광역시,77581
131,2007,충청북도,70468
132,2007,강원도,65906
133,2007,울산광역시,63540
134,2007,제주특별자치도,61393
135,2007,세종특별자치시,62499
136,2008,경기도,63732
137,2008,서울특별시,63810
138,2008,부산광역시,105198
139,2008,경상남도,103813
140,2008,인천광역시,105561
141,2008,경상북도,106094
142,2008,대구광역시,110385
143,2008,전라남도,112661
144,2008,전라북도,115325
145,2008,충청남도,113962
146,2008,광주광역시,112708
147,2008,대전광역시,110449
148,2008,충청북도,108082
149,2008,강원도,102493
150,2008,울산광역시,98316
151,2008,제주특별자치도,94394
152,2008,세종특별자치시,89291
153,2009,경기도,80982
154,2009,서울특별시,73925
155,2009,부산광역시,68893
156,2009,경상남도,66165
157,2009,인천광역시,62539
158,2009,경상북도,62563
159,2009,대구광역시,62755
160,2009,전라남도,61975
161,2009,전라북도,73993
162,2009,충청남도,71934
163,2009,광주광역시,70521
164,2009,대전광역시,69328
165,2009,충청북도,71099
166,2009,강원도,74102
167,2009,울산광역시,77201
168,2009,제주특별자치도,78026
169,2009,세종특별자치시,78437
170,2010,경기도,78369
171,2010,서울특별시,78580
172,2010,부산광역시,77771
173,2010,경상남도,76604
174,2010,인천광역시,72867
175,2010,경상북도,70209
176,2010,대구광역시,65223
177,2010,전라남도,60196
178,2010,전라북도,57544
179,2010,충청남도,56595
180,2010,광주광역시,56031
181,2010,대전광역시,57541
182,2010,충청북도,59514
183,2010,강원도,59883
184,2010,울산광역시,78855
185,2010,제주특별자치도,75524
186,2010,세종특별자치시,74163
187,2011,경기도,72900
188,2011,서울특별시,74161
189,2011,부산광역시,75975
190,2011,경상남도,78238
191,2011,인천광역시,78859
192,2011,경상북도,78526
193,2011,대구광역시,77765
194,2011,전라남도,76583
195,2011,전라북도,74593
196,2011,충청남도,72040
197,2011,광주광역시,70602
198,2011,대전광역시,67182
199,2011,충청북도,62444
200,2011,강원도,56923
201,2011,울산광역시,53303
202,2011,제주특별자치도,50859
203,2011,세종특별자치시,48648
204,2012,경기도,48873
205,2012,서울특별시,49347
206,2012,부산광역시,49084
207,2012,경상남도,79535
208,2012,인천광역시,74918
209,2012,경상북도,72478
210,2012,대구광역시,70707
211,2012,전라남도,71739
212,2012,전라북도,74105
213,2012,충청남도,76075
214,2012,광주광역시,76055
215,2012,대전광역시,75460
216,2012,충청북도,75119
217,2012,강원도,74251
218,2012,울산광역시,71837
219,2012,제주특별자치도,69647
220,2012,세종특별자치시,67888
221,2013,경기도,64300
222,2013,서울특별시,58806
223,2013,부산광역시,53181
224,2013,경상남도,49642
225,2013,인천광역시,47270
226,2013,경상북도,45663
227,2013,대구광역시,46050
228,2013,전라남도,46971
229,2013,전라북도,46826
230,2013,충청남도,58783
231,2013,광주광역시,58350
232,2013,대전광역시,59823
233,2013,충청북도,61201
234,2013,강원도,64660
235,2013,울산광역시,67938
236,2013,제주특별자치도,70639
237,2013,세종특별자치시,71033
238,2014,경기도,71092
239,2014,서울특별시,70471
240,2014,부산광역시,70352
241,2014,경상남도,68761
242,2014,인천광역시,66937
243,2014,경상북도,65124
244,2014,대구광역시,61682
245,2014,전라남도,56563
246,2014,전라북도,51511
247,2014,충청남도,47900
248,2014,광주광역시,45437
249,2014,대전광역시,43068
250,2014,충청북도,43415
251,2014,강원도,43942
252,2014,울산광역시,43586
253,2014,제주특별자치도,60603
254,2014,세종특별자치시,58828
255,2015,경기도,57591
256,2015,서울특별시,57150
257,2015,부산광역시,58853
258,2015,경상남도,61447
259,2015,인천광역시,63839
260,2015,경상북도,64291
261,2015,대구광역시,64261
262,2015,전라남도,63516
263,2015,전라북도,63120
264,2015,충청남도,61590
265,2015,광주광역시,59452
266,2015,대전광역시,57623
267,2015,충청북도,54970
268,2015,강원도,50707
269,2015,울산광역시,46287
270,2015,제주특별자치도,43530
271,2015,세종특별자치시,41869
272,2016,경기도,40839
273,2016,서울특별시,41458
274,2016,부산광역시,42438
275,2016,경상남도,42601
276,2016,인천광역시,60020
277,2016,경상북도,59423
278,2016,대구광역시,59748
279,2016,전라남도,60236
280,2016,전라북도,63037
281,2016,충청남도,65474
282,2016,광주광역시,67542
283,2016,대전광역시,67626
284,2016,충청북도,67431
285,2016,강원도,66925
286,2016,울산광역시,65904
287,2016,제주특별자치도,63791
288,2016,세종특별자치시,61598
289,2017,경기도,59997
290,2017,서울특별시,56765
291,2017,부산광역시,52215
292,2017,경상남도,47646
293,2017,인천광역시,44961
294,2017,경상북도,42675
295,2017,대구광역시,40732
296,2017,전라남도,40694
297,2017,전라북도,41158
298,2017,충청남도,40303
299,2017,광주광역시,61002
300,2017,대전광역시,59026
301,2017,충청북도,57806
302,2017,강원도,56816
303,2017,울산광역시,57523
304,2017,제주특별자치도,58972
305,2017,세종특별자치시,60318
306,2018,경기도,59834
307,2018,서울특별시,59168
308,2018,부산광역시,58605
309,2018,경상남도,58408
310,2018,인천광역시,57321
311,2018,경상북도,56162
312,2018,대구광역시,54755
313,2018,전라남도,51976
314,2018,전라북도,48073
315,2018,충청남도,43999
316,2018,광주광역시,41274
317,2018,대전광역시,39391
318,2018,충청북도,37701
319,2018,강원도,37836
320,2018,울산광역시,37887
321,2018,제주특별자치도,37922
322,2018,세종특별자치시,45333
323,2019,경기도,45515
324,2019,서울특별시,47075
325,2019,부산광역시,48238
326,2019,경상남도,51200
327,2019,인천광역시,53448
328,2019,경상북도,55657
329,2019,대구광역시,55201
330,2019,전라남도,54737
331,2019,전라북도,53625
332,2019,충청남도,52213
333,2019,광주광역시,49934
334,2019,대전광역시,47785
335,2019,충청북도,45860
336,2019,강원도,43150
337,2019,울산광역시,39040
338,2019,제주특별자치도,35343
339,2019,세종특별자치시,32931
340,2020,경기도,31906
341,2020,서울특별시,30935
342,2020,부산광역시,31797
343,2020,경상남도,32766
344,2020,인천광역시,32966
345,2020,경상북도,20537
346,2020,대구광역시,19963
347,2020,전라남도,20178
348,2020,전라북도,20719
349,2020,충청남도,22207
350,2020,광주광역시,23856
351,2020,대전광역시,25252
352,2020,충청북도,25667
353,2020,강원도,25708
354,2020,울산광역시,25372
355,2020,제주특별자치도,25204
356,2020,세종특별자치시,24556
357,2021,경기도,24059
358,2021,서울특별시,23887
359,2021,부산광역시,23380
360,2021,경상남도,22051
361,2021,인천광역시,20629
362,2021,경상북도,19603
363,2021,대구광역시,19306
