년도,시도,사설학원수,대학교_숫자,중학생인원수변화,초등학생인원수변화,고등학생인원수변화,유치원원아수변화,대학생숫자,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,주택수,빈집수,자동차등록대수,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸,총_인구,남성_인구,여성_인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
2013,경기도,18134,62,458220,739619,460580,182231,499221,5876,291,50,5,17089.0,4613.0,3443.0,6870.0,22158.0,7434.0,,,73393515,1278338,187835,162467,2735767.0,3.1,53177,7730,7235,25085,5060,5072,14695,1402,1141,33182,7576,6822,19544,4185,3241,24048,4132,2927,303103,35757,29408,2957,757,749,13174,2953,2207,153330,32332,30203,129515,11748,8624,284398,49143,45169,69088,8586,7059,2272,225,189,310,91,13,150356,16149,12398,104,9,10,12234630,6159193,6075437,,,133012.0,853.0,,,248468.3,13718.5,13301235.0
2013,서울특별시,13405,48,304251,469392,334123,92400,570583,7505,212,40,17,27055.0,6643.0,4492.0,8284.0,35179.0,5985.0,,,38005651,1258829,168425,150812,3168798.0,5.4,47929,5870,6229,24426,4488,4716,18641,1666,1389,28184,5989,4749,23485,4101,3098,50982,8306,5879,326126,33626,28504,10047,2554,2062,36545,6699,4883,137881,26113,25209,103449,8165,7232,319355,48097,45519,56983,5311,4902,500,27,27,163,45,9,74080,7362,6401,53,6,4,10143645,5007869,5135776,,,2826.0,,,,462443.1,532689.2,12980600.0
2013,경상남도,5662,20,124566,190166,122060,50370,129823,1481,141,23,1,4614.0,1161.0,1074.0,1720.0,8470.0,2187.0,,,21770014,335284,47958,42146,2612430.0,2.5,15770,1978,1933,5832,1070,1178,3638,290,246,8877,1949,1530,4935,1056,774,6089,1152,623,48870,6033,5327,752,158,190,1128,193,156,58947,11663,10912,31279,2001,1817,78392,12612,11214,24845,1926,1532,804,65,72,252,74,12,44769,5724,4611,105,14,19,3333820,1678592,1655228,,,136708.0,9346.0,,,57288.6,6703.3,3605279.0
2013,부산광역시,4638,22,110454,160821,105310,44217,274955,2119,124,23,4,7152.0,1554.0,1465.0,2406.0,11547.0,2644.0,,,17380896,370922,49110,43743,2520222.0,2.7,17554,1892,2093,6967,1146,1292,5023,394,280,8354,1802,1510,6450,1299,960,7228,1193,717,66224,9079,7247,1511,274,332,2078,484,350,50039,9566,9043,49282,2836,2727,95755,13902,12841,18852,1983,1625,470,37,30,39,14,1,35083,3208,2694,13,1,1,3527635,1747000,1780635,,,7178.0,2061.0,,,77411.6,59554.5,3401445.0
2013,대구광역시,3639,11,94394,136309,103666,34550,130792,1576,108,7,4,5114.0,1143.0,968.0,1793.0,8189.0,1891.0,,,14583073,255803,33186,28898,2315945.0,2.3,11126,1400,1301,5129,862,929,3773,245,192,6666,1326,1188,4004,860,588,4872,646,394,43427,4842,3852,932,207,189,1517,275,224,33923,6486,6444,29496,1971,1641,66423,9981,9033,14192,1408,958,341,22,24,86,11,1,29884,2640,1936,12,4,4,2501588,1246071,1255517,,,17717.0,,,,46578.5,37541.7,2148115.0
2013,인천광역시,3198,7,100776,157918,127457,41594,75060,1384,51,15,2,3936.0,1041.0,761.0,1483.0,5476.0,1834.0,,,20097823,278236,41563,37133,2609457.0,4.0,12099,1931,1769,6050,1218,1283,3263,298,223,5995,1342,1192,4305,965,716,4449,759,554,55944,6988,6142,751,166,171,1848,485,327,36180,7887,7369,34236,2848,2296,65210,11522,10732,16532,1926,1727,521,49,35,54,10,2,30778,3168,2594,21,1,1,2879782,1448835,1430947,,,12983.0,2423.0,,,62378.3,31197.4,2855673.0
2013,전라북도,3933,20,70602,105135,74621,23266,131655,1080,75,11,2,3279.0,785.0,841.0,1260.0,5073.0,1649.0,,,11461086,171074,23150,20605,2406045.0,0.6,8602,924,974,2954,557,579,2402,198,123,4678,884,732,2536,478,342,2679,348,247,22675,2829,2721,404,117,113,645,111,91,25971,5158,4822,20078,1247,1041,47122,6935,6518,16214,1354,1032,378,30,32,1544,617,57,12096,1357,1166,96,6,15,1872965,932894,940071,,,105880.0,2386.0,,,22597.6,15924.7,1457454.0
2013,경상북도,3594,35,89128,135237,95018,37230,226828,1168,81,18,0,3362.0,789.0,889.0,1398.0,6722.0,1723.0,,,17878739,260586,33938,29859,2617508.0,2.8,13005,1434,1361,5037,844,893,2783,192,165,5983,1193,987,4039,806,647,3468,449,300,32705,4128,3449,472,111,100,942,199,148,46085,8132,7725,27937,1897,1566,63413,9127,8441,23728,1724,1328,776,71,49,342,88,10,29671,3525,2663,200,18,27,2699440,1355951,1343489,,,195108.0,3760.0,,,28452.3,35242.6,2563701.0
2013,광주광역시,3368,17,65124,96055,67374,22676,116534,864,68,20,2,3112.0,867.0,602.0,1071.0,5430.0,1233.0,,,8351445,142802,22274,19665,2417477.0,4.2,7586,1086,1086,3430,782,841,2186,221,166,4819,1008,775,2553,550,402,2896,429,314,23002,3356,2915,508,105,125,940,199,149,20400,4765,4499,15452,1181,794,38634,6342,5961,10688,1121,818,166,14,7,151,62,5,9376,1051,808,15,2,0,1472910,730216,742694,,,11816.0,,,,23082.8,18041.6,1220622.0
2013,충청남도,2684,20,72867,116216,71790,26411,215353,991,49,10,2,2766.0,768.0,706.0,1163.0,3774.0,1210.0,,,13976063,200020,28374,24974,2734718.0,4.8,10160,1216,1171,3818,744,785,2393,197,175,4499,974,854,3189,719,552,2823,471,280,31735,4260,3527,373,88,93,726,173,121,34273,6578,6059,18759,1676,1382,50392,7662,7052,18473,1442,1242,500,33,36,285,80,9,17483,2047,1610,139,14,26,2047631,1037421,1010210,,,144033.0,9385.0,,,26445.4,17957.6,2226001.0
