,년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,빈집수,"협회 및 단체, 수리 및 기타 개인서비스업 소멸",도매 및 소매업 신생,교육서비스업 소멸,예금은행대출금액,예금액
0,2013,경기도,12234630,1821303,112129,286,739619,,7235,49143,6822,248468.3,13718.5
1,2013,서울특별시,10143645,1620640,84066,395,469392,,6229,48097,4749,462443.1,532689.2
2,2013,경상남도,3333820,423864,29504,65,190166,,1933,12612,1530,57288.6,6703.3
3,2013,부산광역시,3527635,496161,25831,82,160821,,2093,13902,1510,77411.6,59554.5
4,2013,대구광역시,2501588,363224,19340,86,136309,,1301,9981,1188,46578.5,37541.7
5,2013,인천광역시,2879782,439578,25560,69,157918,,1769,11522,1192,62378.3,31197.4
6,2013,전라북도,1872965,260395,14555,52,105135,,974,6935,732,22597.6,15924.7
7,2013,경상북도,2699440,330983,22206,57,135237,,1361,9127,987,28452.3,35242.6
8,2013,광주광역시,1472910,229288,12729,45,96055,,1086,6342,775,23082.8,18041.6
9,2013,충청남도,2047631,268053,18628,47,116216,,1171,7662,854,26445.4,17957.6
10,2013,전라남도,1907172,246635,15401,24,99206,,973,6356,594,15968.2,24216.2
11,2013,울산광역시,1156480,157185,11330,31,67156,,622,3700,556,19560.1,14588.0
12,2013,충청북도,1572732,212860,13658,49,88860,,1014,6185,724,17211.7,18654.6
13,2013,대전광역시,1532811,230547,14099,52,93398,,979,6740,890,23859.8,23975.3
14,2013,강원도,1542263,214931,10980,34,83187,,955,5355,837,13259.9,14145.8
15,2013,제주특별자치도,593806,81028,5328,21,38235,,438,2633,241,7325.0,1360.9
16,2013,세종특별자치시,122153,15109,1111,2,7090,,56,426,54,2429.1,144173.5
17,2014,경기도,12357830,1834379,112169,277,732307,,7309,51661,5368,268494.6,14808.7
18,2014,서울특별시,10103233,1661425,83711,392,457517,,6262,50223,4388,494441.9,565416.1
19,2014,경상남도,3350257,456164,29763,64,186973,,1965,12751,1725,62681.3,7638.4
20,2014,부산광역시,3519401,500802,26190,77,155754,,2107,14569,1263,84345.8,67846.8
21,2014,대구광역시,2493264,365739,19361,85,131765,,1453,10744,1064,53214.0,42203.2
22,2014,인천광역시,2902608,442973,25786,67,156740,,1698,11938,1049,66365.0,32603.1
23,2014,전라북도,1871560,276900,14231,54,101860,,1036,7545,763,24625.9,17303.3
24,2014,경상북도,2700794,338029,22062,55,131307,,1492,9728,972,31642.7,37942.2
25,2014,광주광역시,1475884,246043,12729,43,93163,,1090,6781,911,24782.2,19139.3
26,2014,충청남도,2062273,279817,18200,46,115056,,1259,8001,749,29451.1,18907.1
27,2014,전라남도,1905780,260874,14817,23,95720,,990,6799,568,17164.0,25822.9
28,2014,울산광역시,1166377,173229,11556,31,65810,,696,4020,558,21981.2,14873.6
29,2014,충청북도,1578933,213577,13366,47,86508,,1001,6539,548,19076.8,19741.1
30,2014,대전광역시,1531809,248397,13962,50,91599,,971,7085,838,25804.7,25692.5
31,2014,강원도,1544442,226284,10662,32,80458,,1036,5432,630,14184.7,15124.3
32,2014,제주특별자치도,607346,81396,5526,20,37915,,404,2581,215,8312.3,1667.4
33,2014,세종특별자치시,156125,23070,1344,3,8057,,57,653,65,3535.0,153813.3
34,2015,경기도,12522606,1898312,113495,273,733359,144893.0,6834,49285,5418,284496.7,15664.1
35,2015,서울특별시,10022181,1726687,83005,389,450675,79049.0,5614,44599,4307,525529.1,600391.1
36,2015,경상남도,3364702,450279,29537,66,187075,98680.0,1816,11822,1584,68619.5,8886.4
37,2015,부산광역시,3513777,520591,26645,74,154283,86626.0,1992,13133,1366,92109.5,73156.4
38,2015,대구광역시,2487829,364364,19438,85,129583,29610.0,1302,9664,973,61642.8,46861.6
39,2015,인천광역시,2925815,463685,25491,65,157099,47402.0,1553,11394,1013,69059.0,35680.0
40,2015,전라북도,1869711,264662,14087,53,100260,73869.0,942,7183,626,26242.4,19700.1
41,2015,경상북도,2702826,345307,22310,55,129743,108114.0,1324,9675,858,35582.2,39657.4
42,2015,광주광역시,1472199,233875,12441,41,91862,26705.0,1030,6342,693,28259.6,21419.9
43,2015,충청남도,2077649,279680,18604,46,115484,73719.0,1137,7772,755,32255.0,20055.2
44,2015,전라남도,1908996,246168,15061,22,94368,103333.0,931,6819,602,19216.7,28207.6
45,2015,울산광역시,1173534,170473,11732,32,66134,21423.0,569,3714,546,24057.9,15505.6
46,2015,충청북도,1583952,213188,13563,47,85290,54884.0,886,5944,690,21044.6,22462.1
47,2015,대전광역시,1518775,241390,13774,47,89464,26419.0,935,6128,793,27830.0,28045.8
48,2015,강원도,1549507,222352,10929,33,78414,59260.0,925,5570,604,15464.9,16285.4
49,2015,제주특별자치도,624395,83323,5600,20,38164,18475.0,351,2526,243,10191.0,2533.3
50,2015,세종특별자치시,210884,30950,2708,4,13353,16458.0,62,712,104,5215.0,169215.4
51,2016,경기도,12716780,1824976,105643,269,727380,167830.0,7115,52487,5381,305720.4,22669.9
52,2016,서울특별시,9930616,1655859,75536,388,436121,94668.0,5667,44997,4121,544592.1,628071.1
53,2016,경상남도,3373871,410180,27138,64,185325,98899.0,1862,12066,1370,72333.0,9587.6
54,2016,부산광역시,3498529,480407,24906,70,151207,85333.0,2061,13686,1271,99122.7,79929.2
55,2016,대구광역시,2484557,337488,18298,87,125541,36932.0,1358,10049,1077,66966.8,47164.2
56,2016,인천광역시,2943069,435869,23609,65,155590,52941.0,1716,12107,1044,73804.8,40274.6
57,2016,전라북도,1864791,252607,12698,52,97895,73696.0,941,7233,755,27330.1,20112.5
58,2016,경상북도,2700398,318803,20616,56,127825,107862.0,1431,9740,1009,37300.0,42454.8
59,2016,광주광역시,1469214,221074,11580,39,89095,29127.0,1018,6228,832,30354.2,24067.4
60,2016,충청남도,2096727,271446,17302,46,115309,80152.0,1091,7956,742,33828.8,21020.7
61,2016,전라남도,1903914,237337,13980,22,92981,102257.0,903,7205,551,20060.0,30487.5
62,2016,울산광역시,1172304,155812,10910,32,65629,20965.0,638,3813,479,25364.2,16080.5
63,2016,충청북도,1591625,197668,12742,47,84052,56014.0,892,6105,589,22070.0,22611.6
64,2016,대전광역시,1514370,229883,12436,47,85939,26238.0,991,6406,754,29590.8,28605.4
65,2016,강원도,1550806,221592,10058,29,76772,55709.0,932,5631,622,16415.4,17522.2
66,2016,제주특별자치도,641597,92193,5494,21,38272,21469.0,376,2886,288,12548.2,5708.1
67,2016,세종특별자치시,243048,35236,3297,4,17910,10115.0,83,838,123,6747.6,184606.3
68,2017,경기도,12873895,1772162,94088,269,733941,194981.0,8152,52606,6139,326152.3,23775.3
69,2017,서울특별시,9857426,1571423,65389,388,428333,93343.0,6267,44574,4492,569688.0,664687.0
