"지역별","산업별(10차)대분류",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"지역별","산업별(10차)대분류",전체,소상공인,소기업,중기업,중소기업,대기업,전체,소상공인,소기업,중기업,중소기업,대기업
"전국","전산업",6898958,6445316,344611,100276,6890203,8755,7295393,6842959,338865,104199,7286023,9370
"전국","A. 농업, 임업 및 어업(01~03)",88516,83950,4303,193,88446,70,95548,90686,4557,226,95469,79
"전국","B. 광업(05~08)",2656,2357,202,88,2647,9,2597,2292,206,87,2585,12
"전국","C. 제조업(10~34)",579197,504101,59526,12947,576574,2623,587778,513192,59192,12767,585151,2627
"전국","D. 전기, 가스, 증기 및 공기조절 공급업(35)",94357,93934,211,43,94188,169,110625,110194,201,43,110438,187
"전국","E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",11366,7188,2679,1427,11294,72,12173,7834,2763,1494,12091,82
"전국","F. 건설업(41~42)",484809,451572,26797,5901,484270,539,512952,480293,26252,5841,512386,566
"전국","G. 도매 및 소매업(45~47)",1663218,1551768,79512,30622,1661902,1316,1787072,1675994,77689,31944,1785627,1445
"전국","H. 운수 및 창고업(49~52)",614574,606040,6457,1696,614193,381,628113,618115,7785,1813,627713,400
"전국","I. 숙박 및 음식점업(55~56)",816355,752478,52375,11331,816184,171,840508,784621,45096,10617,840334,174
"전국","J. 정보통신업(58~63)",125794,108142,14749,2247,125138,656,144732,125071,16483,2470,144024,708
"전국","K. 금융 및 보험업(64~66)",54151,50401,2384,595,53380,771,56504,52522,2471,638,55631,873
"전국","L. 부동산업(68)",1168182,1154308,7757,5193,1167258,924,1236630,1221800,8174,5611,1235585,1045
"전국","M. 전문, 과학 및 기술 서비스업(70~73)",222501,188326,29657,4095,222078,423,251673,214761,31643,4788,251192,481
"전국","N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",150702,130792,15853,3664,150309,393,173135,152957,15880,3866,172703,432
"전국","P. 교육 서비스업(85)",223640,215552,5884,2142,223578,62,236725,228345,6019,2299,236663,62
"전국","Q. 보건업 및 사회복지 서비스업(86~87)",77740,41379,23038,13314,77731,9,79580,42777,22204,14584,79565,15
"전국","R. 예술, 스포츠 및 여가관련 서비스업(90~91)",145448,140586,4197,543,145326,122,150439,146116,3651,538,150305,134
"전국","S. 협회및단체,수리및기타개인서비스업(94~96)",375752,362442,9030,4235,375707,45,388609,375389,8599,4573,388561,48
"서울","전산업",1477925,1359306,83044,31604,1473954,3971,1557659,1440174,80474,32723,1553371,4288
