시도,년도,상용_월평균_임금,임금상승률
서울특별시,2013,3168798.0,5.4
부산광역시,2013,2520222.0,2.7
대구광역시,2013,2315945.0,2.3
인천광역시,2013,2609457.0,4.0
광주광역시,2013,2417477.0,4.2
대전광역시,2013,2722674.0,3.0
울산광역시,2013,2834007.0,-3.5
세종특별자치시,2013,0.0,0.0
경기도,2013,2735767.0,3.1
강원도,2013,2437051.0,3.2
충청북도,2013,2513146.0,4.3
충청남도,2013,2734718.0,4.8
전라북도,2013,2406045.0,0.6
전라남도,2013,2723586.0,2.3
경상북도,2013,2617508.0,2.8
경상남도,2013,2612430.0,2.5
제주특별자치도,2013,2217146.0,3.8
서울특별시,2014,3199814.0,1.0
부산광역시,2014,2558970.0,1.5
대구광역시,2014,2352273.0,1.6
인천광역시,2014,2637047.0,1.1
광주광역시,2014,2493312.0,3.1
대전광역시,2014,2805150.0,3.0
울산광역시,2014,2952210.0,4.2
세종특별자치시,2014,0.0,0.0
경기도,2014,2784899.0,1.8
강원도,2014,2483529.0,1.9
충청북도,2014,2535148.0,0.9
충청남도,2014,2841711.0,3.9
전라북도,2014,2462123.0,2.3
전라남도,2014,2780187.0,2.1
경상북도,2014,2703967.0,3.3
경상남도,2014,2678468.0,2.5
제주특별자치도,2014,2244777.0,1.2
서울특별시,2015,3261561.0,1.9
부산광역시,2015,2620611.0,2.4
대구광역시,2015,2415995.0,2.7
인천광역시,2015,2723424.0,3.3
광주광역시,2015,2562254.0,2.8
대전광역시,2015,2857131.0,1.9
울산광역시,2015,3084932.0,4.5
세종특별자치시,2015,0.0,0.0
경기도,2015,2853670.0,2.5
강원도,2015,2569139.0,3.4
충청북도,2015,2631387.0,3.8
충청남도,2015,2937394.0,3.4
전라북도,2015,2547426.0,3.5
전라남도,2015,2856750.0,2.8
경상북도,2015,2776589.0,2.7
경상남도,2015,2765647.0,3.3
제주특별자치도,2015,2293505.0,2.2
서울특별시,2016,3364470.0,3.2
부산광역시,2016,2694140.0,2.8
대구광역시,2016,2472297.0,2.3
인천광역시,2016,2839944.0,4.3
광주광역시,2016,2630845.0,2.7
대전광역시,2016,2985356.0,4.5
울산광역시,2016,3122883.0,1.2
세종특별자치시,2016,0.0,0.0
경기도,2016,2970904.0,4.1
강원도,2016,2727782.0,6.2
충청북도,2016,2774278.0,5.4
충청남도,2016,3073036.0,4.6
전라북도,2016,2616967.0,2.7
전라남도,2016,2938553.0,2.9
경상북도,2016,2916120.0,5.0
경상남도,2016,2889391.0,4.5
제주특별자치도,2016,2389239.0,4.2
서울특별시,2017,3445867.0,2.4
부산광역시,2017,2786616.0,3.4
대구광역시,2017,2634209.0,6.5
인천광역시,2017,2913439.0,2.6
광주광역시,2017,2731776.0,3.8
대전광역시,2017,3071837.0,2.9
울산광역시,2017,3169771.0,1.5
세종특별자치시,2017,0.0,0.0
경기도,2017,3102230.0,4.4
강원도,2017,2804556.0,2.8
충청북도,2017,2888651.0,4.1
충청남도,2017,3139647.0,2.2
전라북도,2017,2750571.0,5.1
전라남도,2017,2996396.0,2.0
경상북도,2017,2986091.0,2.4
경상남도,2017,2943459.0,1.9
제주특별자치도,2017,2456978.0,2.8
서울특별시,2018,3563940.0,3.4
부산광역시,2018,2962069.0,6.3
대구광역시,2018,2766527.0,5.0
인천광역시,2018,3013149.0,3.4
광주광역시,2018,2803147.0,2.6
대전광역시,2018,3189820.0,3.8
울산광역시,2018,3279013.0,3.4
세종특별자치시,2018,0.0,0.0
경기도,2018,3236256.0,4.3
강원도,2018,2931838.0,4.5
충청북도,2018,3035381.0,5.1
충청남도,2018,3246198.0,3.4
전라북도,2018,2901251.0,5.5
전라남도,2018,3145992.0,5.0
경상북도,2018,3151486.0,5.5
경상남도,2018,3054555.0,3.8
제주특별자치도,2018,2584690.0,5.2
서울특별시,2019,3704202.0,3.9
부산광역시,2019,3050186.0,3.0
대구광역시,2019,2908433.0,5.1
인천광역시,2019,3121843.0,3.6
광주광역시,2019,2942622.0,5.0
대전광역시,2019,3287005.0,3.0
울산광역시,2019,3377777.0,3.0
세종특별자치시,2019,0.0,0.0
경기도,2019,3384598.0,4.6
강원도,2019,3049958.0,4.0
충청북도,2019,3142720.0,3.5
충청남도,2019,3372295.0,3.9
