시도별,시점,산부인과,소아청소년과
서울특별시,2006,497,541
부산광역시,2006,130,173
대구광역시,2006,109,116
인천광역시,2006,92,114
광주광역시,2006,53,79
대전광역시,2006,70,70
울산광역시,2006,38,47
경기도,2006,368,572
강원도,2006,48,49
충청북도,2006,59,51
충청남도,2006,64,58
전라북도,2006,68,80
전라남도,2006,34,36
경상북도,2006,76,75
경상남도,2006,85,113
제주특별자치도,2006,27,24
서울특별시,2007,492,523
부산광역시,2007,121,168
대구광역시,2007,102,116
인천광역시,2007,85,114
광주광역시,2007,51,67
대전광역시,2007,68,73
울산광역시,2007,38,48
경기도,2007,349,552
강원도,2007,42,50
충청북도,2007,52,54
충청남도,2007,63,59
전라북도,2007,60,77
전라남도,2007,34,37
경상북도,2007,73,71
경상남도,2007,81,112
제주특별자치도,2007,26,24
서울특별시,2008,463,514
부산광역시,2008,117,164
대구광역시,2008,102,110
인천광역시,2008,82,118
광주광역시,2008,49,64
대전광역시,2008,61,71
울산광역시,2008,37,45
경기도,2008,341,547
강원도,2008,42,49
충청북도,2008,54,52
충청남도,2008,59,63
전라북도,2008,60,72
전라남도,2008,30,34
경상북도,2008,70,73
경상남도,2008,77,112
제주특별자치도,2008,25,23
서울특별시,2009,459,521
부산광역시,2009,107,167
대구광역시,2009,98,112
인천광역시,2009,80,119
광주광역시,2009,49,66
대전광역시,2009,58,69
울산광역시,2009,38,46
경기도,2009,336,552
강원도,2009,38,47
충청북도,2009,52,50
충청남도,2009,58,62
전라북도,2009,60,71
전라남도,2009,30,34
경상북도,2009,65,73
경상남도,2009,76,110
제주특별자치도,2009,24,23
서울특별시,2010,445,524
부산광역시,2010,101,165
대구광역시,2010,95,115
인천광역시,2010,77,119
광주광역시,2010,47,63
대전광역시,2010,55,72
울산광역시,2010,40,47
경기도,2010,324,582
강원도,2010,38,45
충청북도,2010,49,50
충청남도,2010,56,65
전라북도,2010,57,70
전라남도,2010,27,32
경상북도,2010,62,74
