시도별,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,시점
서울특별시,7142,167,42,17,,,,,,,2009
부산광역시,2065,103,22,4,,,,,,,2009
대구광역시,1460,98,7,4,,,,,,,2009
인천광역시,1313,50,12,2,,,,,,,2009
광주광역시,826,49,17,2,,,,,,,2009
대전광역시,964,34,6,2,,,,,,,2009
울산광역시,516,36,4,0,,,,,,,2009
경기도,5470,244,48,5,,,,,,,2009
강원도,660,40,14,2,,,,,,,2009
충청북도,764,38,9,1,,,,,,,2009
충청남도,993,48,9,2,,,,,,,2009
전라북도,1042,65,12,2,,,,,,,2009
전라남도,888,75,19,0,,,,,,,2009
경상북도,1169,73,18,0,,,,,,,2009
경상남도,1457,137,24,1,,,,,,,2009
제주특별자치도,298,5,6,0,,,,,,,2009
서울특별시,7328,171,42,17,23077.0,5933.0,3937.0,7667.0,28634.0,4553.0,2010
부산광역시,2071,109,24,4,6247.0,1300.0,1134.0,2194.0,9268.0,1894.0,2010
대구광역시,1496,101,8,4,4597.0,1055.0,840.0,1679.0,6143.0,1280.0,2010
인천광역시,1321,55,12,2,3212.0,874.0,606.0,1356.0,4364.0,1375.0,2010
광주광역시,839,53,19,2,2723.0,783.0,393.0,951.0,4538.0,870.0,2010
대전광역시,957,35,6,2,2910.0,587.0,545.0,978.0,3874.0,1002.0,2010
울산광역시,532,37,4,0,1262.0,396.0,306.0,540.0,2192.0,499.0,2010
경기도,5598,253,49,5,14288.0,3930.0,2716.0,6101.0,18406.0,5302.0,2010
강원도,667,45,13,2,2254.0,557.0,425.0,820.0,3966.0,742.0,2010
충청북도,769,39,9,1,1959.0,435.0,450.0,863.0,2589.0,867.0,2010
충청남도,1021,54,9,2,2506.0,720.0,604.0,1094.0,3264.0,1166.0,2010
전라북도,1051,66,12,2,2967.0,724.0,684.0,1180.0,4356.0,1241.0,2010
전라남도,889,75,20,0,2534.0,586.0,524.0,1075.0,5173.0,1474.0,2010
경상북도,1169,77,18,0,2995.0,700.0,767.0,1306.0,5732.0,1361.0,2010
경상남도,1457,140,23,1,4011.0,926.0,858.0,1471.0,6427.0,1630.0,2010
제주특별자치도,304,5,6,0,783.0,172.0,142.0,299.0,1751.0,348.0,2010
서울특별시,7388,187,40,17,24791.0,6491.0,4366.0,8660.0,29804.0,5179.0,2011
부산광역시,2091,121,23,4,6765.0,1418.0,1318.0,2498.0,10144.0,2246.0,2011
대구광역시,1531,106,8,4,4837.0,1099.0,917.0,1862.0,6458.0,1533.0,2011
인천광역시,1354,56,13,2,3605.0,956.0,697.0,1560.0,4689.0,1551.0,2011
광주광역시,837,68,19,2,2991.0,846.0,517.0,1075.0,5159.0,1049.0,2011
대전광역시,965,35,6,2,3029.0,652.0,618.0,1109.0,4056.0,1144.0,2011
울산광역시,537,39,4,0,1420.0,426.0,363.0,617.0,2390.0,527.0,2011
경기도,5704,263,48,5,15750.0,4354.0,3155.0,7129.0,20228.0,6427.0,2011
