"지역별(1)","시점",구급차 (대),구급차 (대),구급차 (대),인력 (명),인력 (명),인력 (명),인력 (명)
"지역별(1)","시점",소계,특수,일반,소계,1급 응급구조사,2급 응급구조사,의사/간호사
"전체","2014",7654,3363,4291,8296,4441,3855,-
"전체","2015",7800,3417,4383,9044,5047,3997,-
"전체","2016",7763,3600,4163,28022,5684,4218,18120
"전체","2017",7764,3502,4262,24077,6177,4364,13536
"전체","2018",7800,3578,4222,20878,6484,4015,10379
"전체","2019",7740,3427,4313,21594,7243,3721,10630
"전체","2020",7668,3746,3922,21919,7394,3881,10644
"전체","2021",7569,3823,3746,21667,7332,3734,10601
"서울","2014",893,314,579,1065,646,419,-
"서울","2015",896,347,549,1140,764,376,-
"서울","2016",801,335,466,2102,722,610,770
"서울","2017",807,349,458,2219,832,475,912
"서울","2018",830,359,471,2234,807,535,892
"서울","2019",803,363,440,2196,803,553,840
"서울","2020",791,381,410,2231,834,566,831
"서울","2021",813,409,404,2239,822,594,823
"부산","2014",414,121,293,318,127,191,-
"부산","2015",419,125,294,332,162,170,-
"부산","2016",381,122,259,1488,216,145,1127
"부산","2017",401,116,285,1660,241,202,1217
"부산","2018",416,129,287,1475,216,257,1002
"부산","2019",432,135,297,1433,231,207,995
"부산","2020",432,138,294,1712,242,209,1261
"부산","2021",411,137,274,1526,207,204,1115
"대구","2014",331,86,245,337,128,209,-
"대구","2015",312,81,231,370,170,200,-
"대구","2016",300,84,216,1531,208,391,932
"대구","2017",303,88,215,1196,215,239,742
"대구","2018",302,97,205,786,203,210,373
"대구","2019",309,103,206,1004,246,165,593
"대구","2020",314,108,206,1089,258,188,643
"대구","2021",303,109,194,1100,248,163,689
"인천","2014",319,131,188,383,295,88,-
"인천","2015",307,132,175,456,368,88,-
"인천","2016",316,141,175,1089,394,82,613
"인천","2017",332,135,197,1112,458,106,548
"인천","2018",331,140,191,983,454,76,453
"인천","2019",332,127,205,1109,517,96,496
"인천","2020",306,136,170,1021,520,111,390
"인천","2021",301,145,156,908,496,111,301
"광주","2014",245,81,164,318,233,85,-
"광주","2015",221,70,151,285,217,68,-
"광주","2016",228,73,155,2404,261,63,2080
"광주","2017",235,73,162,976,307,58,611
"광주","2018",241,72,169,792,317,56,419
"광주","2019",246,75,171,737,317,43,377
"광주","2020",261,89,172,740,324,47,369
"광주","2021",242,85,157,736,332,37,367
"대전","2014",202,57,145,204,131,73,-
"대전","2015",211,61,150,268,151,117,-
"대전","2016",184,55,129,946,179,81,686
"대전","2017",191,56,135,1399,220,106,1073
"대전","2018",194,58,136,625,217,81,327
"대전","2019",181,60,121,947,221,73,653
"대전","2020",193,64,129,881,229,86,566
"대전","2021",195,65,130,832,211,85,536
"울산","2014",129,54,75,153,83,70,-
"울산","2015",132,56,76,168,88,80,-
"울산","2016",122,57,65,516,92,100,324
"울산","2017",127,53,74,524,91,76,357
"울산","2018",131,57,74,415,103,63,249
"울산","2019",126,52,74,470,103,62,305
"울산","2020",124,57,67,530,108,71,351
"울산","2021",119,62,57,544,114,67,363
"세종","2014",37,14,23,41,24,17,-
"세종","2015",40,19,21,48,37,11,-
"세종","2016",44,21,23,112,41,8,63
"세종","2017",38,17,21,107,46,7,54
"세종","2018",33,15,18,107,47,11,49
"세종","2019",43,24,19,146,63,14,69
"세종","2020",37,22,15,155,62,15,78
"세종","2021",38,22,16,122,60,10,52
"경기","2014",1908,925,983,1424,923,501,-
"경기","2015",1918,902,1016,1471,934,537,-
"경기","2016",1936,926,1010,7448,1204,571,5673
"경기","2017",1979,945,1034,4953,1146,565,3242
"경기","2018",1956,955,1001,4264,1250,445,2569
"경기","2019",1846,783,1063,4041,1540,363,2138
"경기","2020",1739,885,854,3899,1562,320,2017
"경기","2021",1679,901,778,3863,1543,326,1994
"강원","2014",869,519,350,529,141,388,-
"강원","2015",879,525,354,565,178,387,-
"강원","2016",855,514,341,1474,199,361,914
"강원","2017",840,509,331,1312,223,491,598
"강원","2018",835,518,317,1181,284,428,469
"강원","2019",906,506,400,1113,293,419,401
"강원","2020",894,570,324,1221,293,429,499
"강원","2021",917,590,327,1233,330,414,489
"충북","2014",280,116,164,379,229,150,-
"충북","2015",284,121,163,443,264,179,-
"충북","2016",261,117,144,1136,216,100,820
"충북","2017",266,120,146,679,271,78,330
"충북","2018",269,123,146,768,303,96,369
"충북","2019",281,129,152,793,406,71,316
"충북","2020",277,130,147,798,421,83,294
"충북","2021",279,130,149,748,403,95,250
"충남","2014",338,153,185,506,270,236,-
"충남","2015",371,152,219,639,383,256,-
"충남","2016",374,155,219,1521,479,220,822
"충남","2017",376,152,224,1190,517,283,390
"충남","2018",382,156,226,1231,608,213,410
"충남","2019",369,162,207,1224,675,180,369
"충남","2020",372,174,198,1331,708,208,415
"충남","2021",357,173,184,1299,671,195,433
"전북","2014",311,105,206,469,184,285,-
"전북","2015",332,121,211,506,168,338,-
"전북","2016",313,128,185,1064,218,340,506
"전북","2017",325,134,191,851,215,325,311
"전북","2018",318,134,184,873,199,334,340
"전북","2019",330,149,181,976,236,367,373
"전북","2020",326,156,170,1094,237,462,395
"전북","2021",319,154,165,1134,246,418,470
"전남","2014",336,193,143,566,353,213,-
"전남","2015",379,199,180,654,398,256,-
"전남","2016",497,308,189,1223,387,199,637
"전남","2017",386,203,183,1242,413,226,603
"전남","2018",388,204,184,1283,473,227,583
"전남","2019",392,215,177,1333,453,230,650
"전남","2020",422,234,188,1312,503,207,602
"전남","2021",410,233,177,1329,509,209,611
"경북","2014",486,252,234,836,264,572,-
"경북","2015",471,224,247,733,278,455,-
"경북","2016",541,277,264,1861,336,509,1016
"경북","2017",522,269,253,1899,285,582,1032
"경북","2018",521,272,249,1665,277,563,825
"경북","2019",491,254,237,1770,341,490,939
"경북","2020",521,305,216,1849,342,549,958
"경북","2021",517,300,217,1950,358,532,1060
"경남","2014",485,192,293,558,273,285,-
"경남","2015",557,240,317,758,349,409,-
"경남","2016",533,240,293,1899,447,368,1084
"경남","2017",558,235,323,2420,556,479,1385
"경남","2018",573,240,333,1907,559,402,946
"경남","2019",568,238,330,1998,626,354,1018
"경남","2020",571,243,328,1727,572,311,844
"경남","2021",580,253,327,1722,594,260,868
"제주","2014",71,50,21,210,137,73,-
"제주","2015",71,42,29,208,138,70,-
"제주","2016",77,47,30,208,85,70,53
"제주","2017",78,48,30,338,141,66,131
"제주","2018",80,49,31,289,167,18,104
"제주","2019",85,52,33,304,172,34,98
