"시점","지역별(1)",계,30분 미만,30분~2시간,2~4시간,4~6시간,6~8시간,8~12시간,12~24시간,24시간 이상,미상/미입력
"2014","전체",5204708,503727,1341453,570460,319079,217099,298757,497914,1350502,105717
"2014","서울",1335698,131423,319257,135643,78965,55240,78141,127967,403988,5074
"2014","부산",231385,16504,68664,27905,14973,8897,11538,18476,61603,2825
"2014","대구",189112,13834,45679,23813,13001,8428,11356,19152,49261,4588
"2014","인천",303653,30273,97346,31267,17094,11792,16582,25574,72433,1292
"2014","광주",154716,15120,31661,19649,10662,7087,9723,12703,46715,1396
"2014","대전",198119,23607,50143,22202,12485,8535,11583,18937,49058,1569
"2014","울산",76252,5913,20938,9232,4946,3004,3921,11404,16888,6
"2014","경기",1285308,121776,343748,142842,80821,55290,76389,132067,310694,21681
"2014","강원",169686,17737,39506,19151,10305,6727,9352,17201,48311,1396
"2014","충북",114360,13416,33341,12286,6611,4358,5862,9054,28782,650
"2014","충남",211267,19561,56594,23082,12548,8502,11029,17538,44162,18251
"2014","전북",153194,12976,36074,16487,9113,6024,7760,13325,40840,10595
"2014","전남",102019,11921,26820,12203,6601,4547,6048,9050,24295,534
"2014","경북",270572,31405,75798,30466,16341,11397,15676,25440,61634,2415
"2014","경남",268871,20344,56467,28476,15813,11321,14406,25686,64380,31978
"2014","제주",140496,17917,39417,15756,8800,5950,9391,14340,27458,1467
"2015","전체",5117892,486595,1349233,569743,322479,218701,297182,502555,1314856,56548
"2015","서울",1259797,121894,307434,127234,74648,52327,71742,125679,375456,3383
"2015","부산",224924,15103,65888,27249,15058,8323,10511,19936,61129,1727
"2015","대구",189583,14394,46280,22250,12326,7869,11687,21807,47362,5608
"2015","인천",326577,31787,105478,36610,19899,13459,18486,27852,72592,414
"2015","광주",158269,16136,33791,20395,11014,7090,10174,15093,43882,694
"2015","대전",190989,21327,47658,21338,12102,8268,11303,18894,48563,1536
"2015","울산",80018,5685,21460,9445,5137,3306,4410,11879,18689,7
"2015","경기",1245029,112453,339319,140582,80375,55344,75576,125722,300545,15113
"2015","강원",182124,17090,42459,19546,10942,7260,9831,17741,48116,9139
"2015","충북",112216,14148,33127,11522,6565,4570,5664,10126,26246,248
"2015","충남",208899,19708,58516,23836,13561,9227,12645,19629,45916,5861
"2015","전북",158063,13821,39550,18379,10238,6787,8813,15378,43206,1891
"2015","전남",107244,12003,28639,12838,7242,4988,6475,9684,25158,217
"2015","경북",264354,31129,76560,30678,16712,11262,15328,24748,56568,1369
"2015","경남",262941,22193,60734,30360,16897,11960,15228,24861,72323,8385
"2015","제주",146865,17724,42340,17481,9763,6661,9309,13526,29105,956
"2016","전체",5586586,502388,1450578,616974,347929,238242,323723,578362,1407342,121048
"2016","서울",1365315,124148,326296,136094,80073,56006,77161,150661,401174,13702
"2016","부산",221394,16002,68926,27502,13868,7955,9917,17964,56003,3257
"2016","대구",217772,13270,53559,23411,13053,8778,12272,25004,50609,17816
"2016","인천",355014,31420,113908,42126,22743,15496,20847,32308,75408,758
"2016","광주",164953,17900,34681,20967,11236,7663,10384,16514,44762,846
"2016","대전",209772,22683,51601,23334,13326,9056,12191,22452,55057,72
"2016","울산",82502,5692,22104,10058,5432,3362,4494,12623,18706,31
"2016","경기",1355595,113965,365783,152211,86816,60047,83843,149430,334385,9115
"2016","강원",192048,17686,46651,21855,12017,8093,10993,20188,51994,2571
"2016","충북",122280,14639,38059,12374,7101,4764,6428,12323,26460,132
"2016","충남",283273,28166,72291,29983,16902,11646,15893,25414,59025,23953
"2016","전북",215054,16435,43163,20264,11404,7695,10067,16922,45457,43647
"2016","전남",107974,10497,29263,13627,7463,5029,6708,9728,25112,547
"2016","경북",267845,29917,77126,32204,17699,12188,16418,25740,55555,998
"2016","경남",259531,20620,59484,30754,17373,12509,15205,25426,75083,3077
"2016","제주",166264,19348,47683,20210,11423,7955,10902,15665,32552,526
"2017","전체",5591404,528169,1490968,646504,356747,243983,322041,560992,1381643,60357
"2017","서울",1368390,130195,337399,141466,82946,57226,77072,137847,402099,2140
"2017","부산",208775,12094,63330,28084,12365,8770,8892,13475,58911,2854
"2017","대구",225670,17479,53330,26085,14651,9789,13160,34197,54459,2520
"2017","인천",371256,34427,117577,43237,22250,15491,20920,32186,70573,14595
"2017","광주",164529,17106,37068,21518,11834,7698,10413,14826,43717,349
"2017","대전",204628,23052,51702,23486,13419,9110,11955,20736,51162,6
"2017","울산",81219,6064,23499,10872,5794,3553,4440,12670,14294,33
"2017","경기",1314645,120212,359803,157591,86518,58470,79656,139075,308635,4685
"2017","강원",202152,18936,52514,24408,13123,8845,11539,19763,50932,2092
"2017","충북",120014,15390,37972,12594,7091,4709,6286,12016,23815,141
"2017","충남",269894,31126,78399,31741,17391,11999,16819,26316,55507,596
"2017","전북",248885,22154,59511,26730,14960,10282,13314,21782,56333,23819
"2017","전남",110773,11161,30405,14053,7677,5045,6545,9636,25315,936
"2017","경북",259858,28950,76053,31364,17166,11724,15496,25045,53533,527
"2017","경남",273698,21083,63220,33219,18486,13590,15231,26144,77943,4782
"2017","제주",167018,18740,49186,20056,11076,7682,10303,15278,34415,282
"2018","전체",5794793,505625,1523397,659753,369474,253863,342616,593824,1527918,18323
"2018","서울",1439029,124356,348807,146522,85729,60433,80282,141345,450046,1509
"2018","부산",210506,10146,72763,24470,11749,8493,9414,14307,56464,2700
"2018","대구",238731,18048,55668,27574,16150,10771,14763,30056,63917,1784
"2018","인천",380219,30012,123142,42897,23933,16761,23010,37442,82722,300
"2018","광주",170088,14320,37772,21904,12240,8170,10783,16625,47795,479
"2018","대전",211549,22632,53419,23681,13161,9149,12484,22076,54945,2
"2018","울산",84090,6421,20672,10074,5532,3413,4749,13034,20194,1
"2018","경기",1376578,118066,356794,165068,90673,61213,84603,151813,347134,1214
"2018","강원",211381,18380,55358,25425,13674,9377,12435,21142,54027,1563
"2018","충북",124053,15138,36773,13021,7471,4939,6964,12616,26960,171
"2018","충남",277642,30081,79127,31988,17867,12326,17601,28204,59811,637
"2018","전북",233274,18717,56639,27401,15404,10608,14324,23192,60990,5999
"2018","전남",115365,11497,31031,14738,8321,5513,6966,10006,27072,221
"2018","경북",265999,29716,75776,31384,17390,11752,16307,26855,56551,268
"2018","경남",287029,21076,70928,33453,18778,13139,17387,29025,82048,1195
"2018","제주",169260,17019,48728,20153,11402,7806,10544,16086,37242,280
"2019","전체",5937569,497714,1559684,685670,376360,258292,344925,599208,1578935,36781
"2019","서울",1383982,109223,325873,143540,82238,56643,75910,136715,452144,1696
"2019","부산",235707,12141,67204,31963,14378,10537,11728,19792,65996,1968
"2019","대구",246780,18685,57859,27780,16275,11131,14817,29124,70115,994
"2019","인천",390872,27388,126537,42635,24453,16777,23239,38979,90457,407
"2019","광주",182436,12869,39548,21929,12295,8735,12026,18918,54860,1256
"2019","대전",203632,20444,50942,22994,12705,8566,11603,21040,55335,3
"2019","울산",82288,6892,21319,9469,5153,3386,4579,11894,19596,-
"2019","경기",1488891,127083,400586,179741,96506,66346,88836,158056,369045,2692
"2019","강원",211083,16381,55977,26182,13664,9158,11881,20135,55691,2014
"2019","충북",156992,19225,45855,17134,9473,6453,8410,13696,36235,511
"2019","충남",273457,28808,80071,31780,17685,11804,16488,26690,59883,248
"2019","전북",271530,21234,66264,30283,16387,11278,15246,23821,63790,23227
"2019","전남",115038,10129,32494,15796,8386,5354,6701,10123,25865,190
"2019","경북",257419,30326,75771,30496,16697,11679,15425,25382,51354,289
"2019","경남",273035,21279,64506,34374,18897,12912,17085,29117,73871,994
"2019","제주",164427,15607,48878,19574,11168,7533,10951,15726,34698,292
"2020","전체",4644231,355049,1292304,548170,294884,199524,269333,458539,1167541,58887
"2020","서울",1093564,81257,265752,116957,65449,44864,66889,114112,335912,2372
"2020","부산",206589,8440,57348,23608,10954,7500,10129,17668,48543,22399
"2020","대구",184440,11615,46653,21868,12369,8445,11022,21354,50441,673
"2020","인천",309621,19578,113048,33134,18369,12339,16642,27805,68536,170
"2020","광주",140056,9548,33571,18144,9844,6884,9427,14435,38133,70
"2020","대전",154941,12766,41467,18524,9843,6686,8496,16219,40937,3
"2020","울산",68075,5568,18847,8788,3845,2616,3534,9217,15660,-
"2020","세종",10006,560,1794,817,453,285,378,625,1479,3615
"2020","경기",1093766,84001,308906,136311,72210,49805,63737,110069,251421,17306
"2020","강원",177957,12536,50345,22091,11457,7369,9460,15890,46388,2421
"2020","충북",120027,12799,35983,13938,7740,4910,6294,10807,26882,674
"2020","충남",209273,21145,64685,24477,13341,8901,12305,19776,44184,459
"2020","전북",232001,18437,64279,27978,15105,9969,13352,20661,55379,6841
"2020","전남",105867,8296,31415,14173,7880,4923,6031,8988,24020,141
"2020","경북",195905,20190,62603,24124,12594,8512,10670,17909,38360,943
"2020","경남",213356,17108,53405,27651,15048,9876,12740,20980,55968,580
"2020","제주",128787,11205,42203,15587,8383,5640,8227,12024,25298,220
"2021","전체",4812100,337040,1352042,582178,307670,205574,272353,480666,1208550,66027
"2021","서울",1109324,81792,267513,120884,66169,44523,60550,115048,341856,10989
"2021","부산",204755,9561,60730,24185,12037,8051,11835,20032,48879,9445
"2021","대구",209957,10624,50274,25088,14018,9492,11865,24346,61263,2987
"2021","인천",330256,19001,127397,35953,18819,12487,16460,27660,69441,3038
"2021","광주",143820,9929,34169,18697,10435,7118,10159,15878,37135,300
"2021","대전",153436,10990,40862,19105,9838,6549,8593,15424,42010,65
"2021","울산",70860,5392,20133,7780,3993,2749,3714,9624,17475,-
"2021","세종",27538,2055,7789,3447,1854,1298,1613,2690,6792,-
"2021","경기",1146462,81437,327018,144299,76169,51061,66446,117740,265117,17175
"2021","강원",178243,9284,50345,24632,12305,7686,9716,16080,45058,3137
"2021","충북",128447,10336,42056,18396,7930,5306,6475,11014,26187,747
"2021","충남",226212,20635,68727,26970,14396,9802,13441,21611,46583,4047
"2021","전북",222777,16278,61330,26920,14304,9550,12905,20440,53227,7823
"2021","전남",103722,8006,30175,14764,7767,4873,5739,9301,22960,137
"2021","경북",209135,17227,66702,27197,14119,9344,11937,19404,41823,1382
"2021","경남",217151,14938,53134,28605,15608,10321,13069,20712,57202,3562
"2021","제주",130005,9555,43688,15256,7909,5364,7836,13662,25542,1193
