"시도별(1)","시점",총계,총계,일반진료중심(광역 이상),일반진료중심(광역 이상),일반진료중심(단일 혹은 복수 기초자치단체),일반진료중심(단일 혹은 복수 기초자치단체),특수대상중심,특수대상중심,특수질환중심,특수질환중심,노인병원,노인병원
"시도별(1)","시점",기관수 (개소),비율 (%),기관수 (개소),비율 (%),기관수 (개소),비율 (%),기관수 (개소),비율 (%),기관수 (개소),비율 (%),기관수 (개소),비율 (%)
"전국","2015",212,100.0,17,100.0,43,100.0,36,100.0,38,100.0,78,100.0
"전국","2016",220,100.0,18,100.0,44,100.0,36,100.0,40,100.0,82,100.0
"전국","2017",221,100.0,18,100.0,44,100.0,36,100.0,40,100.0,83,100.0
"전국","2018",224,100.0,17,100.0,46,100.0,37,100.0,41,100.0,83,100.0
"전국","2019",221,100.0,17,100.0,46,100.0,36,100.0,39,100.0,83,100.0
"전국","2020",230,100.0,18,100.0,48,100.0,41,100.0,41,100.0,82,100.0
"전국","2021",229,100.0,18,100.0,54,100.0,35,100.0,42,100.0,80,100.0
"서울","2015",21,9.9,2,11.8,5,11.6,3,8.3,8,21.1,3,3.8
"서울","2016",21,9.5,2,11.1,5,11.4,3,8.3,8,20.0,3,3.7
"서울","2017",21,9.5,2,11.1,5,11.4,3,8.3,8,20.0,3,3.6
"서울","2018",21,9.4,2,11.8,5,10.9,3,8.1,8,19.5,3,3.6
"서울","2019",21,9.5,2,11.8,5,10.9,3,8.3,8,20.5,3,3.6
"서울","2020",23,10.0,2,11.1,6,12.5,4,9.8,8,19.5,3,3.7
"서울","2021",26,11.4,2,11.1,8,14.8,4,11.4,9,21.4,3,3.8
"부산","2015",10,4.7,1,5.9,1,2.3,2,5.6,2,5.3,4,5.1
"부산","2016",10,4.5,1,5.6,1,2.3,2,5.6,2,5.0,4,4.9
"부산","2017",10,4.5,1,5.6,1,2.3,2,5.6,2,5.0,4,4.8
"부산","2018",10,4.5,1,5.9,1,2.2,2,5.4,2,4.9,4,4.8
"부산","2019",10,4.5,1,5.9,1,2.2,2,5.6,2,5.1,4,4.8
"부산","2020",9,3.9,1,5.6,1,2.1,1,2.4,2,4.9,4,4.9
"부산","2021",9,3.9,1,5.6,1,1.9,1,2.9,2,4.8,4,5.0
"대구","2015",8,3.8,2,11.8,1,2.3,2,5.6,1,2.6,2,2.6
"대구","2016",9,4.1,2,11.1,1,2.3,2,5.6,2,5.0,2,2.4
"대구","2017",9,4.1,2,11.1,1,2.3,2,5.6,2,5.0,2,2.4
"대구","2018",9,4.0,2,11.8,1,2.2,2,5.4,2,4.9,2,2.4
"대구","2019",9,4.1,2,11.8,1,2.2,2,5.6,2,5.1,2,2.4
"대구","2020",9,3.9,2,11.1,1,2.1,2,4.9,2,4.9,2,2.4
"대구","2021",9,3.9,2,11.1,1,1.9,2,5.7,2,4.8,2,2.5
"인천","2015",7,3.3,0,0.0,3,7.0,1,2.8,1,2.6,2,2.6
"인천","2016",7,3.2,0,0.0,3,6.8,1,2.8,1,2.5,2,2.4
"인천","2017",7,3.2,0,0.0,3,6.8,1,2.8,1,2.5,2,2.4
"인천","2018",8,3.6,0,0.0,3,6.5,2,5.4,1,2.4,2,2.4
"인천","2019",8,3.6,0,0.0,3,6.5,2,5.6,1,2.6,2,2.4
"인천","2020",8,3.5,0,0.0,3,6.3,2,4.9,1,2.4,2,2.4
"인천","2021",8,3.5,0,0.0,3,5.6,2,5.7,1,2.4,2,2.5
"광주","2015",8,3.8,2,11.8,0,0.0,1,2.8,3,7.9,2,2.6
"광주","2016",8,3.6,2,11.1,0,0.0,1,2.8,3,7.5,2,2.4
"광주","2017",8,3.6,2,11.1,0,0.0,1,2.8,3,7.5,2,2.4
"광주","2018",8,3.6,1,5.9,0,0.0,1,2.7,4,9.8,2,2.4
"광주","2019",8,3.6,1,5.9,0,0.0,1,2.8,4,10.3,2,2.4
"광주","2020",9,3.9,1,5.6,0,0.0,2,4.9,4,9.8,2,2.4
"광주","2021",9,3.9,1,5.6,0,0.0,2,5.7,4,9.5,2,2.5
"대전","2015",7,3.3,1,5.9,0,0.0,3,8.3,1,2.6,2,2.6
"대전","2016",7,3.2,1,5.6,0,0.0,3,8.3,1,2.5,2,2.4
"대전","2017",7,3.2,1,5.6,0,0.0,3,8.3,1,2.5,2,2.4
"대전","2018",7,3.1,1,5.9,0,0.0,3,8.1,1,2.4,2,2.4
"대전","2019",7,3.2,1,5.9,0,0.0,3,8.3,1,2.6,2,2.4
"대전","2020",8,3.5,1,5.6,0,0.0,4,9.8,1,2.4,2,2.4
"대전","2021",8,3.5,1,5.6,0,0.0,4,11.4,1,2.4,2,2.5
"울산","2015",1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3
"울산","2016",1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
"울산","2017",1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
"울산","2018",1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
"울산","2019",1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
"울산","2020",1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
"울산","2021",1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3
"세종","2015",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"세종","2016",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"세종","2017",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"세종","2018",1,0.4,0,0.0,1,2.2,0,0.0,0,0.0,0,0.0
"세종","2019",1,0.5,0,0.0,1,2.2,0,0.0,0,0.0,0,0.0
"세종","2020",2,0.9,1,5.6,1,2.1,0,0.0,0,0.0,0,0.0
"세종","2021",1,0.4,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0
"경기","2015",30,14.2,2,11.8,6,14.0,7,19.4,7,18.4,8,10.3
"경기","2016",30,13.6,2,11.1,6,13.6,7,19.4,7,17.5,8,9.8
"경기","2017",30,13.6,2,11.1,6,13.6,7,19.4,7,17.5,8,9.6
"경기","2018",30,13.4,2,11.8,6,13.0,7,18.9,7,17.1,8,9.6
"경기","2019",28,12.7,2,11.8,6,13.0,7,19.4,5,12.8,8,9.6
"경기","2020",30,13.0,2,11.1,7,14.6,7,17.1,6,14.6,8,9.8
"경기","2021",32,14.0,2,11.1,9,16.7,7,20.0,6,14.3,8,10.0
"강원","2015",19,9.0,1,5.9,5,11.6,8,22.2,3,7.9,2,2.6
"강원","2016",20,9.1,1,5.6,6,13.6,8,22.2,3,7.5,2,2.4
"강원","2017",20,9.0,1,5.6,6,13.6,8,22.2,3,7.5,2,2.4
"강원","2018",20,8.9,1,5.9,6,13.0,8,21.6,3,7.3,2,2.4
"강원","2019",19,8.6,1,5.9,6,13.0,7,19.4,3,7.7,2,2.4
"강원","2020",19,8.3,1,5.6,6,12.5,7,17.1,3,7.3,2,2.4
"강원","2021",18,7.9,1,5.6,6,11.1,6,17.1,3,7.1,2,2.5
"충북","2015",9,4.2,1,5.9,2,4.7,1,2.8,0,0.0,5,6.4
"충북","2016",10,4.5,1,5.6,2,4.5,1,2.8,0,0.0,6,7.3
"충북","2017",10,4.5,1,5.6,2,4.5,1,2.8,0,0.0,6,7.2
"충북","2018",10,4.5,1,5.9,2,4.3,1,2.7,0,0.0,6,7.2
"충북","2019",10,4.5,1,5.9,2,4.3,1,2.8,0,0.0,6,7.2
"충북","2020",10,4.3,1,5.6,2,4.2,1,2.4,0,0.0,6,7.3
"충북","2021",12,5.2,1,5.6,4,7.4,1,2.9,0,0.0,6,7.5
"충남","2015",14,6.6,0,0.0,4,9.3,2,5.6,2,5.3,6,7.7
"충남","2016",14,6.4,0,0.0,4,9.1,2,5.6,2,5.0,6,7.3
"충남","2017",14,6.3,0,0.0,4,9.1,2,5.6,2,5.0,6,7.2
"충남","2018",14,6.3,0,0.0,4,8.7,2,5.4,2,4.9,6,7.2
"충남","2019",14,6.3,0,0.0,4,8.7,2,5.6,2,5.1,6,7.2
"충남","2020",16,7.0,0,0.0,4,8.3,4,9.8,2,4.9,6,7.3
"충남","2021",10,4.4,0,0.0,4,7.4,0,0.0,2,4.8,4,5.0
"전북","2015",11,5.2,1,5.9,3,7.0,0,0.0,1,2.6,6,7.7
"전북","2016",12,5.5,1,5.6,3,6.8,0,0.0,2,5.0,6,7.3
"전북","2017",12,5.4,1,5.6,3,6.8,0,0.0,2,5.0,6,7.2
"전북","2018",12,5.4,1,5.9,3,6.5,0,0.0,2,4.9,6,7.2
"전북","2019",12,5.4,1,5.9,3,6.5,0,0.0,2,5.1,6,7.2
"전북","2020",12,5.2,1,5.6,3,6.3,0,0.0,2,4.9,6,7.3
"전북","2021",12,5.2,1,5.6,3,5.6,0,0.0,2,4.8,6,7.5
"전남","2015",21,9.9,1,5.9,3,7.0,2,5.6,3,7.9,12,15.4
"전남","2016",21,9.5,1,5.6,3,6.8,2,5.6,3,7.5,12,14.6
"전남","2017",22,10.0,1,5.6,3,6.8,2,5.6,3,7.5,13,15.7
"전남","2018",22,9.8,1,5.9,3,6.5,2,5.4,3,7.3,13,15.7
"전남","2019",22,10.0,1,5.9,3,6.5,2,5.6,3,7.7,13,15.7
"전남","2020",22,9.6,1,5.6,3,6.3,2,4.9,4,9.8,12,14.6
"전남","2021",22,9.6,1,5.6,3,5.6,2,5.7,4,9.5,12,15.0
"경북","2015",21,9.9,0,0.0,5,11.6,2,5.6,0,0.0,14,17.9
"경북","2016",23,10.5,0,0.0,5,11.4,2,5.6,0,0.0,16,19.5
"경북","2017",23,10.4,0,0.0,5,11.4,2,5.6,0,0.0,16,19.3
"경북","2018",24,10.7,0,0.0,6,13.0,2,5.4,0,0.0,16,19.3
"경북","2019",24,10.9,0,0.0,6,13.0,2,5.6,0,0.0,16,19.3
"경북","2020",25,10.9,0,0.0,6,12.5,3,7.3,0,0.0,16,19.5
"경북","2021",26,11.4,0,0.0,7,13.0,2,5.7,1,2.4,16,20.0
"경남","2015",21,9.9,2,11.8,3,7.0,2,5.6,5,13.2,9,11.5
"경남","2016",22,10.0,3,16.7,3,6.8,2,5.6,5,12.5,9,11.0
"경남","2017",22,10.0,3,16.7,3,6.8,2,5.6,5,12.5,9,10.8
"경남","2018",22,9.8,3,17.6,3,6.5,2,5.4,5,12.2,9,10.8
"경남","2019",22,10.0,3,17.6,3,6.5,2,5.6,5,12.8,9,10.8
"경남","2020",22,9.6,3,16.7,3,6.3,2,4.9,5,12.2,9,11.0
"경남","2021",21,9.2,3,16.7,3,5.6,2,5.7,4,9.5,9,11.3
"제주","2015",4,1.9,1,5.9,2,4.7,0,0.0,1,2.6,0,0.0
"제주","2016",5,2.3,1,5.6,2,4.5,0,0.0,1,2.5,1,1.2
"제주","2017",5,2.3,1,5.6,2,4.5,0,0.0,1,2.5,1,1.2
"제주","2018",5,2.2,1,5.9,2,4.3,0,0.0,1,2.4,1,1.2
"제주","2019",5,2.3,1,5.9,2,4.3,0,0.0,1,2.6,1,1.2
"제주","2020",5,2.2,1,5.6,2,4.2,0,0.0,1,2.4,1,1.2
"제주","2021",5,2.2,1,5.6,2,3.7,0,0.0,1,2.4,1,1.3
