"시도별(1)","시점",내과,신경과,정신건강의학과,외과,정형외과,신경외과,흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨기과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과,치과,한방과
"전국","2015",1568,295,385,546,443,282,181,90,391,247,301,202,221,115,204,487,72,151,141,13,241,62,247,280,41,38,137,40
"전국","2016",1570,300,386,546,461,285,185,90,398,256,308,202,219,118,212,493,71,148,145,11,243,60,241,287,42,36,154,41
"전국","2017",1632,311,412,576,455,295,183,96,402,272,316,204,213,119,214,512,79,160,149,10,259,67,254,302,45,44,362,38
"전국","2018",1642,316,398,571,465,299,178,87,402,265,307,223,219,118,214,515,79,156,156,11,260,70,265,327,47,37,379,47
"전국","2019",1643,336,373,586,479,301,187,96,418,274,321,230,214,108,203,521,76,164,153,11,266,71,280,343,55,45,405,49
"전국","2020",1776,361,388,599,477,311,197,98,431,285,372,229,224,116,206,542,80,165,155,8,273,68,296,381,64,46,427,36
"전국","2021",1816,365,374,599,455,312,193,93,425,299,427,220,227,115,203,552,80,164,162,8,287,69,312,392,67,45,456,45
"서울","2015",381,75,103,124,94,55,38,19,87,59,94,53,50,30,45,143,20,40,36,6,53,18,50,61,3,5,39,5
"서울","2016",370,76,106,122,94,55,39,19,87,57,93,50,47,30,45,138,19,39,36,4,53,17,47,62,3,4,43,6
"서울","2017",383,73,113,128,96,58,40,17,94,59,93,54,48,27,45,145,22,40,34,5,50,19,53,62,4,5,115,6
"서울","2018",376,75,116,125,99,61,39,12,93,55,86,58,49,26,46,142,23,39,36,5,50,20,59,67,4,5,116,9
"서울","2019",380,77,97,133,99,61,42,16,96,64,86,55,46,24,43,145,21,43,36,6,50,20,60,73,4,9,129,8
"서울","2020",420,81,106,138,99,64,43,13,99,67,96,53,49,26,45,148,22,44,36,4,51,20,66,78,4,13,132,4
"서울","2021",406,87,101,134,95,63,44,16,96,67,109,55,47,26,44,156,22,41,39,4,56,22,74,83,5,13,159,9
"부산","2015",120,18,19,42,27,27,22,6,24,18,14,15,21,11,18,29,7,12,9,0,11,5,21,13,1,2,11,1
"부산","2016",117,16,19,42,28,27,20,6,23,17,14,14,21,11,17,29,7,11,9,0,12,5,18,15,1,2,10,2
"부산","2017",117,15,21,41,31,28,19,6,21,18,15,16,19,9,17,26,7,14,9,0,13,5,19,14,1,2,9,4
"부산","2018",110,15,20,42,26,28,20,4,23,17,14,18,20,9,16,30,7,13,11,0,14,6,19,15,1,2,11,4
"부산","2019",107,17,19,44,26,27,17,5,27,14,13,18,18,9,18,28,7,12,9,0,13,6,21,15,0,2,15,5
"부산","2020",120,17,18,42,20,25,17,6,24,15,13,18,19,7,17,30,7,11,9,0,12,5,23,13,0,1,17,2
"부산","2021",127,17,19,44,21,24,15,6,25,17,18,18,19,7,17,30,7,12,9,0,14,5,23,13,0,1,16,1
"대구","2015",108,20,20,43,26,17,13,10,20,13,26,13,14,8,16,24,7,9,7,0,18,7,14,8,2,4,1,0
"대구","2016",104,19,13,43,26,17,13,10,20,14,27,13,13,9,15,23,6,10,8,0,16,7,14,7,1,5,7,0
"대구","2017",110,18,20,39,24,18,14,13,21,18,28,14,10,11,15,27,7,10,8,0,18,7,16,7,3,6,28,0
"대구","2018",115,24,18,41,22,18,12,12,23,16,28,13,11,10,15,25,3,11,11,0,17,7,12,9,0,4,28,0
"대구","2019",110,25,20,44,23,20,11,9,19,17,28,17,11,7,14,23,4,11,9,0,15,7,17,12,1,5,34,1
"대구","2020",122,28,22,42,26,20,10,8,21,17,35,17,15,9,14,30,6,12,9,0,13,7,19,14,2,5,35,1
"대구","2021",138,24,23,41,25,23,11,6,24,17,38,19,16,9,13,28,6,13,11,0,15,8,18,13,2,5,43,1
"인천","2015",16,5,5,6,4,4,2,1,5,3,3,2,1,0,4,5,0,0,3,0,8,0,6,5,4,0,1,0
"인천","2016",17,6,5,7,6,3,2,1,5,3,4,2,0,0,4,5,0,0,3,0,9,0,6,3,5,0,1,0
"인천","2017",19,6,4,8,4,2,2,1,5,4,3,2,1,0,4,5,0,0,3,0,10,0,8,4,3,0,1,0
"인천","2018",17,6,4,7,8,4,1,1,6,4,3,3,0,0,4,5,0,0,3,0,13,0,7,2,5,0,1,0
"인천","2019",19,7,5,7,9,4,1,1,5,3,3,2,2,0,4,5,0,0,3,0,11,0,8,3,7,0,2,0
"인천","2020",20,6,6,7,7,7,3,2,5,4,3,3,2,1,4,5,0,0,3,0,11,0,6,4,7,0,3,0
"인천","2021",16,7,5,6,6,5,2,2,5,4,6,3,3,1,6,6,0,0,3,0,9,0,6,4,7,0,2,0
"광주","2015",90,14,16,21,19,11,10,7,17,9,13,10,9,4,8,16,0,10,6,0,13,4,5,9,1,3,10,0
"광주","2016",92,14,16,20,19,11,10,7,18,9,13,10,9,4,9,16,0,9,6,0,13,4,6,9,1,2,10,0
"광주","2017",91,14,15,22,16,10,10,8,13,11,14,10,8,6,10,17,1,11,6,0,12,4,4,10,1,4,37,0
"광주","2018",97,16,16,23,16,10,9,8,16,10,14,10,8,4,9,17,1,10,6,0,13,4,4,10,0,3,36,0
"광주","2019",99,18,16,20,16,12,8,8,17,10,17,8,9,3,9,15,1,9,7,0,13,4,5,13,1,3,36,0
"광주","2020",102,19,17,23,21,12,8,9,15,9,17,9,9,4,9,14,1,8,7,0,12,5,7,12,1,3,36,0
"광주","2021",112,18,13,23,19,13,5,5,14,14,22,11,9,3,10,17,1,8,7,0,16,5,7,15,1,3,35,0
"대전","2015",87,18,16,24,24,14,7,6,19,9,12,13,11,7,10,24,4,8,8,0,17,3,12,14,4,0,1,0
"대전","2016",89,17,17,23,24,13,8,6,18,9,12,14,11,8,11,24,4,8,8,0,15,3,12,15,4,1,1,0
"대전","2017",89,17,18,24,25,14,9,7,19,11,14,13,12,7,11,24,4,8,8,0,16,3,12,17,4,1,0,0
"대전","2018",96,15,19,24,29,15,9,7,19,13,15,15,15,10,11,24,3,6,10,0,17,3,13,16,5,1,4,0
"대전","2019",99,17,18,24,33,16,9,8,21,12,16,17,14,7,10,24,5,6,10,0,19,4,12,18,4,1,4,0
"대전","2020",84,18,17,24,29,13,13,7,24,11,18,15,12,8,12,24,4,7,8,0,16,3,10,16,5,1,5,0
"대전","2021",90,18,16,24,25,14,12,7,24,10,17,14,12,8,11,24,4,7,8,0,17,3,10,17,6,1,5,0
"울산","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"울산","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"울산","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"울산","2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"울산","2019",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"울산","2020",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"울산","2021",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종","2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종","2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"세종","2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"세종","2020",21,6,3,5,3,4,4,2,7,4,12,3,3,2,3,3,2,2,2,0,3,1,2,10,0,0,1,0
"세종","2021",27,6,3,5,6,4,4,2,8,4,13,3,3,2,4,4,2,2,2,0,3,1,2,8,0,0,2,0
"경기","2015",268,54,72,110,91,48,30,16,78,42,40,35,38,21,32,98,14,29,21,1,37,9,37,62,4,9,23,3
"경기","2016",266,55,71,107,91,50,29,16,79,43,39,33,37,20,32,102,14,29,23,1,37,9,39,62,4,9,23,3
"경기","2017",281,56,75,115,88,49,28,16,78,44,41,31,38,21,37,110,15,29,26,1,47,12,41,64,4,12,42,1
"경기","2018",285,57,72,113,94,52,30,16,77,47,40,37,37,23,37,111,15,29,27,1,44,11,41,68,7,9,43,3
"경기","2019",287,59,66,113,97,54,35,15,79,47,41,38,34,22,30,111,14,30,27,1,46,11,44,71,8,9,50,2
"경기","2020",314,64,74,116,98,58,33,17,84,48,43,38,37,19,31,122,14,30,26,0,54,10,46,89,11,7,53,0
"경기","2021",321,65,75,127,95,59,31,16,81,50,43,36,39,22,32,123,14,32,27,0,56,9,57,90,11,5,53,1
"강원","2015",63,12,22,24,36,22,5,5,23,15,15,8,11,7,8,24,1,5,8,2,13,1,9,27,2,4,18,1
"강원","2016",66,12,24,25,40,22,5,4,25,16,16,9,11,8,9,25,2,4,7,2,14,1,9,28,3,3,19,1
"강원","2017",70,11,22,25,34,22,5,6,24,17,16,9,10,8,7,24,2,4,8,0,14,1,9,27,4,4,45,0
"강원","2018",76,11,22,25,37,22,6,6,22,16,16,8,10,8,7,23,4,4,7,0,13,2,8,28,4,3,50,1
"강원","2019",78,13,23,26,35,20,9,9,24,18,17,8,12,7,7,27,3,4,9,0,15,2,9,30,5,4,47,1
"강원","2020",84,13,19,28,36,23,8,9,24,19,19,8,11,10,5,25,3,4,9,0,18,2,11,33,5,4,50,0
"강원","2021",79,14,18,26,34,22,7,10,20,20,23,8,12,10,5,25,3,4,9,0,19,1,14,32,5,4,51,0
"충북","2015",65,9,11,26,20,13,5,2,17,10,11,11,10,4,11,21,2,7,5,0,9,2,11,9,5,3,1,0
"충북","2016",63,9,11,26,20,13,6,2,16,11,10,10,10,4,11,21,2,6,5,0,9,1,11,10,5,3,1,0
"충북","2017",65,10,11,27,17,10,4,2,14,13,11,9,9,4,10,21,2,8,5,0,8,2,17,12,6,2,2,2
"충북","2018",69,8,12,28,18,10,4,1,13,11,14,11,10,5,11,20,3,7,6,0,8,2,19,13,5,1,2,2
"충북","2019",68,11,13,31,19,10,4,1,13,10,16,10,10,6,10,20,3,7,5,0,11,2,17,14,5,0,4,2
"충북","2020",71,11,13,28,18,9,5,2,15,12,17,9,10,5,9,16,3,4,5,0,9,1,19,13,6,1,4,1
"충북","2021",69,11,12,25,16,12,6,1,16,11,22,8,11,5,7,18,3,4,6,0,9,2,15,13,5,1,5,4
"충남","2015",21,4,19,11,13,6,5,0,6,5,5,4,5,4,5,10,0,1,3,0,4,0,12,10,3,0,6,0
"충남","2016",22,4,18,9,15,6,5,0,6,6,5,4,4,4,6,10,0,1,3,0,5,0,11,10,3,0,6,0
"충남","2017",26,8,20,12,17,8,4,0,7,6,5,4,4,4,6,9,0,1,3,0,5,0,12,16,3,0,5,0
"충남","2018",24,3,12,11,13,7,4,0,6,6,2,5,5,4,6,10,0,1,3,0,6,0,13,19,1,0,6,0
"충남","2019",23,3,12,12,13,7,4,0,8,6,4,6,5,4,6,9,0,1,3,0,6,0,14,18,2,0,3,0
"충남","2020",22,11,11,11,13,5,4,1,5,7,4,5,6,3,6,10,0,1,3,0,8,0,12,20,2,0,7,1
"충남","2021",21,11,8,11,10,3,4,1,7,7,8,2,3,1,5,9,0,1,3,0,7,0,10,17,2,0,2,0
"전북","2015",73,12,21,22,20,11,10,5,16,20,13,8,8,5,10,16,4,8,6,0,14,5,14,14,0,0,0,3
"전북","2016",72,11,20,20,20,11,10,5,16,19,13,8,8,5,10,16,3,8,6,0,14,4,15,14,0,0,5,3
"전북","2017",69,13,20,22,20,11,8,4,18,18,12,7,9,4,9,20,4,9,7,0,13,4,13,17,0,0,26,2
"전북","2018",71,15,21,23,18,10,7,4,17,19,12,7,7,3,10,22,4,8,6,0,13,4,12,18,0,0,26,1
"전북","2019",73,17,19,24,23,6,7,5,20,16,14,9,8,3,11,22,4,10,5,0,14,4,13,18,0,3,25,1
"전북","2020",74,16,20,24,19,11,7,6,23,18,14,10,6,4,9,23,3,11,6,0,13,3,14,16,0,3,27,1
"전북","2021",77,18,20,23,21,11,7,3,20,19,20,9,6,5,9,21,3,11,6,0,13,3,12,17,0,4,30,1
"전남","2015",63,7,18,26,15,10,9,1,14,11,6,4,9,4,9,19,5,5,6,2,10,4,15,7,4,4,1,3
"전남","2016",62,6,18,27,15,10,8,1,14,12,6,5,9,4,9,20,5,5,7,2,9,4,12,7,4,3,1,3
"전남","2017",62,6,20,29,16,12,8,1,16,11,7,4,8,4,9,17,4,5,7,2,11,5,11,6,4,5,1,2
"전남","2018",60,8,20,28,17,11,5,0,14,11,6,5,9,3,9,16,4,6,7,2,9,5,14,8,5,5,1,4
"전남","2019",57,8,20,27,14,9,7,1,11,12,6,6,10,3,9,17,5,7,7,2,8,6,12,6,7,4,0,4
"전남","2020",62,6,21,26,17,10,4,1,13,11,7,7,8,3,8,17,6,7,7,2,8,6,13,5,6,2,1,4
"전남","2021",69,5,21,28,14,9,7,3,15,11,11,6,8,2,9,18,6,8,7,2,9,5,11,4,6,2,0,1
"경북","2015",40,9,6,15,19,12,3,3,11,9,3,5,9,2,7,9,0,1,5,0,8,0,22,12,1,0,9,2
"경북","2016",39,10,5,18,19,12,3,3,13,9,3,5,9,2,7,9,0,0,5,0,9,0,19,11,1,0,9,2
"경북","2017",39,13,9,22,20,12,2,3,13,8,4,6,8,2,7,11,0,2,5,0,9,0,21,13,1,0,8,1
"경북","2018",44,13,9,21,21,14,1,3,16,8,5,6,8,2,6,11,0,2,5,1,8,1,22,15,1,0,9,1
"경북","2019",36,12,8,19,20,14,1,3,17,11,5,6,6,3,6,13,1,2,5,1,10,0,23,11,1,0,9,1
"경북","2020",36,13,6,17,21,14,4,4,15,9,8,6,7,4,8,13,0,0,6,1,10,0,24,15,1,0,6,1
"경북","2021",35,12,7,17,20,13,5,4,13,10,6,3,5,4,7,11,0,0,6,1,11,0,25,18,1,1,6,1
"경남","2015",129,29,27,38,23,23,18,6,44,18,37,16,19,6,16,35,6,12,14,2,16,3,15,14,7,4,14,22
"경남","2016",148,36,33,44,32,26,22,7,48,25,44,20,24,7,22,41,7,14,15,2,18,4,16,18,7,4,16,21
"경남","2017",161,41,36,49,36,32,25,9,48,26,44,20,24,10,22,41,9,14,16,2,21,4,11,20,7,3,41,18
"경남","2018",157,38,28,48,33,29,26,10,46,24,42,21,25,10,22,45,9,15,14,2,23,3,14,24,8,2,42,21
"경남","2019",163,41,29,48,39,33,27,12,49,26,43,24,24,8,21,46,6,17,14,1,22,3,18,24,9,3,43,23
"경남","2020",174,40,26,56,36,28,29,8,45,26,54,22,25,9,21,46,7,19,15,1,23,3,18,25,12,4,47,21
"경남","2021",177,41,25,54,33,27,28,9,45,29,58,20,29,8,20,46,7,16,15,1,22,3,22,31,14,3,43,26
"제주","2015",44,9,10,14,12,9,4,3,10,6,9,5,6,2,5,14,2,4,4,0,9,1,3,15,0,0,2,0
"제주","2016",43,9,10,13,12,9,5,3,10,6,9,5,6,2,5,14,2,4,4,0,9,1,5,16,0,0,2,0
"제주","2017",50,10,8,13,11,9,5,3,11,8,9,5,5,2,5,15,2,5,4,0,11,1,6,13,0,0,2,1
"제주","2018",45,12,9,12,14,8,5,3,11,8,10,6,5,1,5,14,3,5,4,0,11,2,6,15,1,2,4,0
"제주","2019",44,11,7,13,13,8,5,3,12,8,12,6,5,2,5,16,2,5,4,0,13,2,6,17,1,2,4,0
"제주","2020",50,12,8,12,14,8,5,3,12,8,12,6,5,2,5,16,2,5,4,0,12,2,6,18,2,2,3,0
"제주","2021",51,11,7,11,15,10,5,2,12,9,13,5,5,2,4,16,2,5,4,0,11,2,6,17,2,2,4,0
