"시점","시도별(1)",합계,의사,의사,의사,의사,의사,치과의사,한의사,한의사,한의사,한의사,한의사,간호사,약사,물리치료사,작업치료사,사회복지사
"시점","시도별(1)",소계,소계,일반의,인턴,레지던트,전문의,소계,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계
"2010","계",278789,78325,5217,2649,11737,58722,19678,14931,13049,223,371,1288,110677,29574,21245,2335,2024
"2010","서울",73801,23077,934,1028,5013,16102,5933,3937,3317,76,152,392,28634,7667,3791,454,308
"2010","부산",22037,6247,337,257,955,4698,1300,1134,1009,30,16,79,9268,2194,1512,200,182
"2010","대구",15594,4597,138,214,875,3370,1055,840,769,5,14,52,6143,1679,1049,129,102
"2010","인천",11787,3212,193,78,430,2511,874,606,571,3,-,32,4364,1356,1132,150,93
"2010","광주",10258,2723,91,136,472,2024,783,393,324,19,2,48,4538,951,698,73,99
"2010","대전",9896,2910,149,119,506,2136,587,545,454,11,28,52,3874,978,805,116,81
"2010","울산",5195,1262,110,13,84,1055,396,306,270,2,6,28,2192,540,425,36,38
"2010","경기",50743,14288,831,410,1685,11362,3930,2716,2393,21,54,248,18406,6101,4280,641,381
"2010","강원",8764,2254,240,60,328,1626,557,425,363,10,15,37,3966,820,638,47,57
"2010","충북",7163,1959,225,61,193,1480,435,450,378,4,29,39,2589,863,773,33,61
"2010","충남",9354,2506,317,66,259,1864,720,604,539,8,13,44,3264,1094,1004,80,82
"2010","전북",11152,2967,298,74,420,2175,724,684,556,21,27,80,4356,1180,1051,71,119
"2010","전남",11366,2534,408,38,104,1984,586,524,460,5,7,52,5173,1075,1265,88,121
"2010","경북",12861,2995,402,2,86,2505,700,767,709,3,8,47,5732,1306,1184,48,129
"2010","경남",15323,4011,473,70,264,3204,926,858,803,5,-,50,6427,1471,1342,136,152
"2010","제주",3495,783,71,23,63,626,172,142,134,-,-,8,1751,299,296,33,19
"2011","계",304705,84544,5646,2890,11547,64461,21410,16826,14649,292,358,1527,118771,33643,24017,3094,2400
"2011","서울",79291,24791,1067,1094,4814,17816,6491,4366,3667,88,149,462,29804,8660,4254,589,336
"2011","부산",24389,6765,376,279,943,5167,1418,1318,1167,42,6,103,10144,2498,1739,281,226
"2011","대구",16706,4837,152,227,824,3634,1099,917,842,4,14,57,6458,1862,1213,201,119
"2011","인천",13058,3605,240,121,447,2797,956,697,626,4,5,62,4689,1560,1276,164,111
"2011","광주",11637,2991,135,142,489,2225,846,517,418,24,6,69,5159,1075,831,90,128
"2011","대전",10608,3029,168,124,489,2248,652,618,516,19,27,56,4056,1109,904,156,84
"2011","울산",5743,1420,120,29,108,1163,426,363,318,6,5,34,2390,617,438,43,46
"2011","경기",57043,15750,950,436,1761,12603,4354,3155,2777,37,52,289,20228,7129,4998,913,516
"2011","강원",9040,2310,223,61,313,1713,562,460,397,10,15,38,4023,896,683,54,52
"2011","충북",7737,2110,229,55,202,1624,448,484,412,6,25,41,2763,961,849,45,77
"2011","충남",10068,2707,352,59,268,2028,784,652,589,6,12,45,3425,1244,1074,84,98
"2011","전북",12084,3126,291,99,382,2354,731,743,607,29,20,87,4745,1317,1204,92,126
"2011","전남",12323,2721,414,47,99,2161,604,593,518,6,7,62,5630,1184,1379,78,134
"2011","경북",13936,3185,378,10,85,2712,738,815,748,2,10,55,6192,1459,1310,80,157
"2011","경남",17360,4368,473,79,266,3550,1115,960,890,9,5,56,7277,1740,1548,182,170
"2011","제주",3682,829,78,28,57,666,186,168,157,-,-,11,1788,332,317,42,20
"2012","계",310764,86761,4934,2745,11508,67574,21888,17353,15120,253,389,1591,120491,32560,25475,3594,2642
"2012","서울",81426,25331,863,1048,4753,18667,6565,4393,3699,71,153,470,31194,8368,4523,702,350
"2012","부산",24861,6928,371,238,950,5369,1484,1376,1210,18,32,116,10212,2432,1858,314,257
"2012","대구",17045,5013,135,212,852,3814,1117,938,858,6,14,60,6458,1804,1328,253,134
"2012","인천",13444,3739,213,118,457,2951,1001,729,654,7,2,66,4815,1498,1335,201,126
"2012","광주",11737,3023,128,107,437,2351,848,557,452,25,6,74,5123,1048,904,106,128
"2012","대전",11000,3180,159,127,499,2395,696,639,533,18,32,56,4127,1091,1001,180,86
"2012","울산",5817,1447,103,24,109,1211,438,360,319,7,2,32,2410,604,463,49,46
"2012","세종",337,86,14,-,-,72,27,27,27,-,-,-,77,62,53,1,4
"2012","경기",58096,16372,783,460,1764,13365,4422,3265,2862,39,61,303,20380,6799,5246,1031,581
"2012","강원",9104,2350,202,54,323,1771,575,463,402,12,8,41,3983,890,721,62,60
"2012","충북",7795,2108,187,55,199,1667,468,502,435,6,16,45,2769,929,870,68,81
"2012","충남",9872,2684,293,54,265,2072,763,677,605,7,12,53,3327,1175,1052,94,100
"2012","전북",12147,3148,260,79,378,2431,753,766,633,12,30,91,4700,1263,1273,98,146
"2012","전남",12418,2791,393,43,119,2236,621,622,551,5,8,58,5540,1141,1467,93,143
"2012","경북",14066,3232,335,11,82,2804,772,852,789,3,5,55,6208,1385,1355,89,173
"2012","경남",17995,4468,422,87,275,3684,1150,1012,925,17,8,62,7548,1727,1680,207,203
"2012","제주",3604,861,73,28,46,714,188,175,166,-,-,9,1620,344,346,46,24
"2013","계",332660,90710,4899,2864,12338,70609,22482,18199,15614,242,393,1950,134748,32537,27111,3966,2907
"2013","서울",87638,27055,863,1219,5550,19423,6643,4492,3714,68,151,559,35179,8284,4848,743,394
"2013","부산",26768,7152,347,241,933,5631,1554,1465,1275,21,32,137,11547,2406,2004,353,287
"2013","대구",19098,5114,142,199,832,3941,1143,968,880,6,12,70,8189,1793,1454,281,156
"2013","인천",14531,3936,207,126,461,3142,1041,761,674,9,3,75,5476,1483,1457,233,144
"2013","광주",12315,3112,119,101,441,2451,867,602,467,26,9,100,5430,1071,984,118,131
"2013","대전",11619,3246,158,129,482,2477,727,660,549,11,31,69,4570,1082,1043,189,102
"2013","울산",6483,1499,100,32,115,1252,452,373,330,7,1,35,2950,608,494,52,55
"2013","세종",377,96,14,-,-,82,31,33,32,-,-,1,93,64,56,1,3
"2013","경기",61607,17089,771,418,1843,14057,4613,3443,2965,37,52,389,22158,6870,5658,1144,632
"2013","강원",9365,2403,206,63,296,1838,588,477,418,15,1,43,4122,900,735,76,64
"2013","충북",8358,2186,189,48,197,1752,478,541,455,6,16,64,3148,925,917,74,89
"2013","충남",10387,2766,292,46,254,2174,768,706,621,7,12,66,3774,1163,1020,77,113
