"시점","시도별(1)",합계,합계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과개방,정신과개방,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시점","시도별(1)",소계,소계,소계,소계,상급,상급,일반,일반,외국인,외국인,소계,소계,소계,소계,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시점","시도별(1)",병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개)
"2011","계",142442,573566,132167,507758,52936,96461,79231,411297,-,-,-,-,8274,53038,924,10587,810,9188,114,1399,854,1841,223,342
"2011","서울",22932,80992,21867,74616,10977,20403,10890,54213,-,-,-,-,600,3310,190,2500,159,2039,31,461,173,399,102,167
"2011","부산",13761,56507,13010,51930,5617,11323,7393,40607,-,-,-,-,568,3501,89,883,77,761,12,122,72,162,22,31
"2011","대구",7086,29980,6638,26926,2569,4601,4069,22325,-,-,-,-,351,2435,54,537,48,490,6,47,30,61,13,21
"2011","인천",6571,27159,6171,24238,2183,4447,3988,19791,-,-,-,-,328,2400,35,444,30,381,5,63,25,63,12,14
"2011","광주",7007,25193,6725,23487,3019,4942,3706,18545,-,-,-,-,197,1216,39,421,35,359,4,62,39,61,7,8
"2011","대전",5212,20455,4972,18765,2052,3930,2920,14835,-,-,-,-,183,1234,22,381,18,328,4,53,23,62,12,13
"2011","울산",3008,12046,2818,10681,1237,2218,1581,8463,-,-,-,-,169,1183,14,171,12,149,2,22,5,9,2,2
"2011","경기",25965,107524,23554,91763,9261,17104,14293,74659,-,-,-,-,2050,13578,167,1832,145,1585,22,247,168,310,26,41
"2011","강원",4589,18230,4242,16406,1504,2384,2738,14022,-,-,-,-,229,1202,37,456,34,419,3,37,76,158,5,8
"2011","충북",4537,18684,4052,15895,1415,2593,2637,13302,-,-,-,-,447,2447,23,307,20,277,3,30,14,30,1,5
"2011","충남",5745,23989,5370,21475,1622,2746,3748,18729,-,-,-,-,324,2135,25,322,23,287,2,35,26,57,-,-
"2011","전북",7602,30462,7177,27482,2225,3390,4952,24092,-,-,-,-,339,2514,39,383,35,326,4,57,41,71,6,12
"2011","전남",7962,32150,7376,28254,2635,4312,4741,23942,-,-,-,-,474,3228,50,499,46,484,4,15,53,155,9,14
"2011","경북",8230,35154,6957,27761,2169,3795,4788,23966,-,-,-,-,1166,6651,56,625,51,569,5,56,51,117,-,-
"2011","경남",11037,50906,10134,44514,3893,7317,6241,37197,-,-,-,-,786,5625,71,676,66,607,5,69,42,87,4,4
"2011","제주",1198,4135,1104,3565,558,956,546,2609,-,-,-,-,63,379,13,150,11,127,2,23,16,39,2,2
"2012","계",147683,601588,137012,532328,54616,99947,82396,432381,-,-,-,-,8752,56839,877,10309,764,8905,113,1404,827,1782,215,330
"2012","서울",23240,82992,22167,76370,11033,20533,11134,55837,-,-,-,-,617,3595,186,2468,155,2000,31,468,169,393,101,166
"2012","부산",14214,59175,13414,54336,5723,11540,7691,42796,-,-,-,-,621,3762,87,883,75,761,12,122,73,167,19,27
"2012","대구",7481,32210,6989,28870,2671,4819,4318,24051,-,-,-,-,400,2738,50,520,43,462,7,58,29,61,13,21
"2012","인천",6780,28601,6349,25410,2232,4488,4117,20922,-,-,-,-,350,2625,37,479,32,420,5,59,32,73,12,14
"2012","광주",7606,28135,7346,26607,3185,5332,4161,21275,-,-,-,-,185,1110,32,357,29,309,3,48,40,58,3,3
"2012","대전",5392,21536,5125,19662,2100,3972,3025,15690,-,-,-,-,212,1412,22,389,18,331,4,58,21,60,12,13
"2012","울산",3341,13050,3148,11663,1417,2425,1731,9238,-,-,-,-,174,1215,13,164,11,142,2,22,4,6,2,2
"2012","세종",228,1028,201,908,59,107,142,801,-,-,-,-,27,120,-,-,-,-,-,-,-,-,-,-
"2012","경기",26982,112517,24518,96410,9697,18224,14821,78186,-,-,-,-,2112,13945,165,1821,143,1569,22,252,163,302,24,39
"2012","강원",4516,18269,4138,16183,1545,2527,2593,13656,-,-,-,-,267,1508,35,433,31,386,4,47,73,141,3,4
"2012","충북",4585,19061,3987,15232,1413,2566,2574,12666,-,-,-,-,567,3513,20,287,18,261,2,26,10,24,1,5
"2012","충남",5722,24210,5359,21685,1585,2711,3774,18974,-,-,-,-,311,2113,23,350,21,305,2,45,29,62,-,-
"2012","전북",8101,32747,7669,29773,2342,3638,5327,26135,-,-,-,-,354,2563,35,335,32,298,3,37,37,64,6,12
"2012","전남",8411,34421,7786,30195,2768,4595,5018,25600,-,-,-,-,520,3585,47,485,44,475,3,10,49,142,9,14
"2012","경북",8521,36856,7274,29513,2241,3953,5033,25560,-,-,-,-,1148,6652,51,580,46,524,5,56,48,111,-,-
"2012","경남",11356,52541,10426,45818,4041,7533,6385,38285,-,-,-,-,827,6028,61,608,55,535,6,73,34,79,8,8
"2012","제주",1207,4239,1116,3693,564,984,552,2709,-,-,-,-,60,355,13,150,11,127,2,23,16,39,2,2
"2013","계",152670,630114,141738,559345,55840,102830,85898,456515,-,-,-,-,8980,58187,887,10423,765,8861,122,1562,844,1815,221,344
"2013","서울",23326,83711,22240,76974,11009,20503,11231,56471,-,-,-,-,614,3637,188,2513,154,1989,34,524,180,414,104,173
"2013","부산",14919,62445,14126,57677,6032,12197,8094,45480,-,-,-,-,612,3669,89,905,76,775,13,130,73,167,19,27
"2013","대구",7801,33927,7282,30504,2737,4870,4545,25634,-,-,-,-,431,2841,47,498,39,426,8,72,31,63,10,21
"2013","인천",6920,29739,6421,26099,2259,4561,4162,21538,-,-,-,-,421,3073,38,488,31,419,7,69,28,65,12,14
"2013","광주",8198,31086,7961,29633,3298,5611,4663,24022,-,-,-,-,167,1008,28,386,25,328,3,58,39,56,3,3
"2013","대전",5592,22385,5342,20591,2212,4260,3130,16331,-,-,-,-,194,1330,23,391,19,330,4,61,21,60,12,13
"2013","울산",3420,13482,3234,12138,1453,2509,1781,9629,-,-,-,-,165,1171,12,160,10,128,2,32,4,6,5,7
"2013","세종",239,1068,212,948,68,135,144,813,-,-,-,-,27,120,-,-,-,-,-,-,-,-,-,-
"2013","경기",27925,118519,25433,102444,9890,18904,15543,83540,-,-,-,-,2132,13848,164,1867,142,1581,22,286,168,317,28,43
"2013","강원",4491,18169,4084,15835,1594,2573,2490,13262,-,-,-,-,297,1732,39,470,34,413,5,57,68,128,3,4
"2013","충북",4690,19720,4069,15695,1463,2633,2606,13062,-,-,-,-,579,3703,28,286,26,260,2,26,13,31,1,5
"2013","충남",5911,25310,5499,22448,1637,2882,3862,19566,-,-,-,-,356,2464,20,324,18,269,2,55,36,74,-,-
"2013","전북",8491,35645,8096,32917,2443,3860,5653,29057,-,-,-,-,317,2288,40,369,37,322,3,47,32,59,6,12
"2013","전남",8859,36856,8272,32885,2868,4826,5404,28059,-,-,-,-,483,3355,43,456,41,449,2,7,53,148,8,12
"2013","경북",8952,39200,7679,31699,2285,3960,5394,27739,-,-,-,-,1176,6837,50,559,45,517,5,42,47,105,-,-
"2013","경남",11645,54236,10596,46820,4040,7601,6556,39219,-,-,-,-,945,6741,58,581,52,508,6,73,38,86,8,8
"2013","제주",1291,4616,1192,4038,552,945,640,3093,-,-,-,-,64,370,20,170,16,147,4,23,13,36,2,2
"2014","계",158125,660099,-,-,53524,87591,92905,496728,-,-,-,-,9674,63324,838,10165,720,8511,118,1654,971,1949,213,342
"2014","서울",23763,86006,-,-,10043,16256,12504,62371,-,-,-,-,676,4048,181,2503,149,1937,32,566,253,650,106,178
"2014","부산",15692,66769,-,-,5779,10543,8851,49678,-,-,-,-,921,5575,81,858,68,735,13,123,42,89,18,26
"2014","대구",7960,35140,-,-,2512,3867,4843,27307,-,-,-,-,512,3393,42,476,31,382,11,94,41,76,10,21
"2014","인천",7187,31507,-,-,1957,3133,4713,24526,-,-,-,-,421,3220,44,557,40,488,4,69,40,57,12,14
"2014","광주",8958,34525,-,-,3447,5590,5241,27274,-,-,-,-,204,1238,26,360,23,297,3,63,37,60,3,3
"2014","대전",5698,23164,-,-,2102,3496,3344,17848,-,-,-,-,199,1356,22,396,18,325,4,71,26,63,5,5
"2014","울산",3647,14428,-,-,1490,2397,1950,10684,-,-,-,-,180,1170,13,157,11,125,2,32,9,13,5,7
"2014","세종",285,1266,-,-,82,155,176,991,-,-,-,-,27,120,-,-,-,-,-,-,-,-,-,-
"2014","경기",28973,124326,-,-,9366,15529,17045,92700,-,-,-,-,2187,13943,162,1806,138,1505,24,301,186,306,27,42
"2014","강원",4512,18379,-,-,1532,2259,2583,13722,-,-,-,-,263,1766,41,460,36,403,5,57,90,168,3,4
"2014","충북",4841,19987,-,-,1443,2217,2765,14030,-,-,-,-,590,3416,25,279,24,254,1,25,17,40,1,5
"2014","충남",6094,26711,-,-,1549,2459,4095,21093,-,-,-,-,403,2756,20,337,18,282,2,55,25,63,2,3
"2014","전북",8816,37413,-,-,2503,3840,5863,30369,-,-,-,-,378,2797,36,347,33,295,3,52,30,48,6,12
"2014","전남",9192,38565,-,-,3062,4985,5519,29488,-,-,-,-,530,3607,31,391,30,381,1,10,42,82,8,12
"2014","경북",9078,41118,-,-,2313,3807,5686,29873,-,-,-,-,978,6799,47,541,44,515,3,26,54,98,-,-
"2014","경남",12131,56126,-,-,3851,6394,7044,41363,-,-,-,-,1141,7750,48,533,42,446,6,87,42,78,5,8
"2014","제주",1298,4669,-,-,493,664,683,3411,-,-,-,-,64,370,19,164,15,141,4,23,37,58,2,2
"2015","계",159930,674646,-,-,53212,85466,94429,509721,-,-,-,-,10414,67418,771,9768,654,8086,117,1682,894,1935,210,338
"2015","서울",23370,84919,-,-,9533,14959,12508,61957,-,-,-,-,772,4611,172,2463,142,1891,30,572,281,753,104,176
"2015","부산",15975,68654,-,-,5679,9963,9207,52038,-,-,-,-,943,5685,76,828,65,697,11,131,52,114,18,26
"2015","대구",8188,36303,-,-,2684,4163,4796,27703,-,-,-,-,626,3897,41,461,28,344,13,117,31,58,10,21
"2015","인천",7050,31479,-,-,1927,3099,4600,24446,-,-,-,-,430,3301,43,564,38,489,5,75,38,55,12,14
"2015","광주",9510,37471,-,-,3539,5833,5646,29589,-,-,-,-,277,1651,23,355,20,287,3,68,22,40,3,3
"2015","대전",5667,23529,-,-,1953,3125,3435,18291,-,-,-,-,230,1667,18,378,14,307,4,71,26,63,5,5
"2015","울산",3625,14343,-,-,1490,2303,1928,10744,-,-,-,-,182,1129,12,150,11,125,1,25,8,10,5,7
"2015","세종",295,1229,-,-,86,145,182,964,-,-,-,-,27,120,-,-,-,-,-,-,-,-,-,-
"2015","경기",29155,127026,-,-,9218,14771,17354,95456,-,-,-,-,2293,14787,155,1771,129,1475,26,296,109,201,26,40
