"시도별(1)","시점",합계,합계,합계,합계,합계,합계,일반의,일반의,일반의,일반의,일반의,일반의,인턴,인턴,인턴,인턴,인턴,인턴,레지던트,레지던트,레지던트,레지던트,레지던트,전문의,전문의,전문의,전문의,전문의,전문의
"시도별(1)","시점",전체,국립병원 및 특수 공공병원,국립대학병원,지역 공공병원,시도군립 병원,공공보건기관,전체,국립병원 및 특수 공공병원,국립대학병원,지역 공공병원,시도군립 병원,공공보건기관,전체,국립병원 및 특수 공공병원,국립대학병원,지역 공공병원,시도군립 병원,공공보건기관,전체,국립병원 및 특수 공공병원,국립대학병원,지역 공공병원,시도군립 병원,전체,국립병원 및 특수 공공병원,국립대학병원,지역 공공병원,시도군립 병원,공공보건기관
"전국","2010",9663,1456,4714,729,705,2059,1638,32,253,15,22,1316,512,90,390,25,4,3,2469,367,1935,147,20,5044,967,2136,542,659,740
"전국","2011",8773,1576,4926,754,724,793,554,32,352,13,22,135,455,65,365,21,4,-,2484,461,1857,149,17,5280,1018,2352,571,681,658
"전국","2012",9480,1633,5073,830,844,1100,1071,42,444,14,43,528,374,83,265,20,4,2,2299,451,1676,155,17,5736,1057,2688,641,780,570
"전국","2013",9795,1691,5136,903,897,1168,1035,50,339,22,61,563,327,70,213,39,5,-,2337,446,1730,147,14,6096,1125,2854,695,817,605
"전국","2014",10424,1704,5524,929,940,1327,969,56,285,21,65,542,556,113,402,39,2,-,2474,389,1922,138,25,6425,1146,2915,731,848,785
"전국","2015",10260,1748,5423,948,928,1213,987,51,402,13,47,474,552,135,391,25,1,-,2194,365,1661,150,18,6527,1197,2969,760,862,739
"전국","2016",10195,1791,5711,986,895,812,704,54,471,13,49,117,834,157,603,73,1,-,1936,340,1486,100,10,6721,1240,3151,800,835,695
"전국","2017",10899,1840,6121,1053,891,994,1316,63,721,17,56,459,976,148,761,67,-,-,1631,327,1193,101,10,6976,1302,3446,868,825,535
"전국","2018",11183,1846,6125,1102,872,1238,1342,55,595,14,50,628,658,107,516,35,-,-,2020,367,1500,143,10,7163,1317,3514,910,812,610
"전국","2019",10999,1886,5952,1161,884,1116,1254,68,507,14,48,617,866,130,659,60,-,17,1746,323,1281,130,12,7133,1365,3505,957,824,482
"전국","2020",11000,1902,6036,1205,868,989,984,59,320,12,43,550,912,152,711,47,-,2,1776,284,1346,138,8,7328,1407,3659,1008,817,437
"서울","2010",2424,714,1175,175,247,113,162,12,119,-,5,26,87,74,2,8,3,-,947,276,582,69,20,1228,352,472,98,219,87
"서울","2011",2540,794,1219,173,242,112,214,14,168,2,6,24,64,51,2,7,4,-,966,364,516,69,17,1296,365,533,95,215,88
"서울","2012",2592,834,1154,211,277,116,240,21,181,2,12,24,92,72,2,14,4,-,786,357,335,77,17,1474,384,636,118,244,92
"서울","2013",2654,854,1137,233,311,119,206,20,141,6,16,23,141,63,45,28,5,-,708,345,272,77,14,1599,426,679,122,276,96
"서울","2014",3009,845,1451,229,352,132,243,21,171,3,16,32,295,91,180,22,2,-,865,303,455,82,25,1606,430,645,122,309,100
"서울","2015",2944,843,1391,234,341,135,304,23,239,1,10,31,210,103,88,18,1,-,800,279,416,87,18,1630,438,648,128,312,104
"서울","2016",3086,857,1520,252,332,125,331,24,268,6,10,23,331,155,113,62,1,-,735,227,452,46,10,1689,451,687,138,311,102
"서울","2017",3211,872,1608,259,350,122,345,32,269,9,8,27,482,121,299,62,-,-,601,237,309,46,9,1783,482,731,142,333,95
