"지역별(1)","시점",합계,응급,응급,응급,응급,응급,응급,응급,응급,응급,응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,미상/미입력
"지역별(1)","시점",계,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계
"전체","2014",5204708,4091866,712201,67397,120362,3925,3255,2976038,180962,26499,1227,1110495,94691,5393,12253,1451,560,903105,80909,8183,3950,2347
"전체","2015",5117892,4128798,776696,62029,132163,4018,3180,3057015,78637,14534,526,988545,85609,3494,10869,1244,473,851086,29334,2814,3622,549
"전체","2016",5586586,4428394,820765,58560,145633,3965,3387,3345466,42082,7664,872,1149570,96740,3269,12233,1624,501,1020103,11605,1343,2152,8622
"전체","2017",5591404,4493773,893334,58040,161974,4168,3817,3327004,36992,6601,1843,1095493,100329,3365,12366,1636,509,965028,10512,1249,499,2138
"전체","2018",5794793,4680838,966267,52507,180979,4029,3810,3439198,27823,5659,566,1113305,104436,2886,12401,1316,378,983215,7298,811,564,650
"전체","2019",5937569,4680648,1000880,46526,185124,3896,3906,3406068,28885,5040,323,1254727,126372,2513,14243,1371,439,1098514,8592,833,1850,2194
"전체","2020",4644231,3606349,884049,35700,149725,3664,2350,2499836,26596,4231,198,1037495,108697,1713,11655,1384,1028,902182,9405,1112,319,387
"전체","2021",4812100,3800311,954727,31277,148744,3162,2774,2611072,43121,5244,190,1011559,110977,1641,10584,1247,1149,871560,12882,918,601,230
"서울","2014",1335698,1056203,194367,8483,30390,948,510,770684,45632,5108,81,278669,26472,443,3798,437,104,227164,18815,1201,235,826
"서울","2015",1259797,1014790,204707,7719,31479,945,333,741833,24432,3264,78,244890,23666,399,3498,234,83,208430,7641,849,90,117
"서울","2016",1365315,1092726,217870,6697,35133,898,460,811187,17344,2671,466,268880,24416,360,3601,274,111,237018,2562,421,117,3709
"서울","2017",1368390,1084900,229249,6017,40697,883,380,789885,13786,2284,1719,283126,30486,474,4820,165,100,243223,3341,411,106,364
"서울","2018",1439029,1157897,248329,5612,46418,794,363,838804,14549,2659,369,281068,28610,305,4643,105,75,243689,2916,379,346,64
"서울","2019",1383982,1096249,231994,5063,44273,733,346,796870,14555,2320,95,287725,29379,279,4297,139,77,249124,4012,299,119,8
"서울","2020",1093564,857459,196657,4083,34886,585,184,608007,11266,1764,27,236096,21592,231,3548,102,738,205164,4252,334,135,9
"서울","2021",1109324,884514,200918,2760,32950,392,181,634971,10631,1697,14,224803,20725,162,3003,57,893,194723,4898,186,156,7
"부산","2014",231385,178625,30504,2618,11056,266,161,130859,1481,1676,4,52760,5883,209,616,69,16,45514,326,115,12,-
"부산","2015",224924,180190,33602,2443,11687,220,296,130063,1260,617,2,44734,5032,159,701,63,14,38126,616,23,-,-
"부산","2016",221394,172520,33629,2132,12070,203,136,122693,954,696,7,48171,4594,168,628,35,16,42086,582,50,12,703
"부산","2017",208775,177273,36070,1974,12809,180,134,124640,925,535,6,31388,2968,166,419,17,9,27370,412,27,-,114
