"지역별(1)","시점",전체,남자,여자
"전체","2012",1064,940,124
"전체","2013",1175,1034,141
"전체","2014",1258,1107,151
"전체","2015",1418,1248,170
"전체","2016",1556,1363,193
"전체","2017",1704,1493,211
"전체","2018",1843,1609,234
"전체","2019",2000,1749,251
"전체","2020",2168,1894,274
"전체","2021",2316,2017,299
"서울","2012",381,306,75
"서울","2013",417,334,83
"서울","2014",460,369,91
"서울","2015",538,435,103
"서울","2016",611,490,121
"서울","2017",686,552,134
"서울","2018",753,605,148
"서울","2019",810,654,156
"서울","2020",870,701,169
"서울","2021",936,752,184
"부산","2012",41,37,4
"부산","2013",48,44,4
"부산","2014",52,48,4
"부산","2015",60,56,4
"부산","2016",64,60,4
"부산","2017",71,66,5
"부산","2018",79,74,5
"부산","2019",90,83,7
"부산","2020",101,91,10
"부산","2021",108,98,10
"대구","2012",52,51,1
"대구","2013",64,63,1
"대구","2014",68,67,1
"대구","2015",77,74,3
"대구","2016",81,77,4
"대구","2017",87,83,4
"대구","2018",90,86,4
"대구","2019",103,97,6
"대구","2020",110,103,7
"대구","2021",119,111,8
"인천","2012",57,44,13
"인천","2013",60,47,13
"인천","2014",65,51,14
"인천","2015",73,58,15
"인천","2016",82,66,16
"인천","2017",90,74,16
"인천","2018",100,84,16
"인천","2019",102,86,16
"인천","2020",106,89,17
"인천","2021",115,98,17
"광주","2012",46,45,1
"광주","2013",53,52,1
"광주","2014",56,55,1
"광주","2015",61,60,1
"광주","2016",64,62,2
"광주","2017",73,71,2
"광주","2018",78,75,3
"광주","2019",84,80,4
"광주","2020",95,91,4
"광주","2021",102,98,4
"대전","2012",40,39,1
"대전","2013",47,45,2
"대전","2014",52,50,2
"대전","2015",57,55,2
"대전","2016",59,57,2
"대전","2017",63,61,2
"대전","2018",68,65,3
"대전","2019",77,73,4
"대전","2020",85,81,4
"대전","2021",91,87,4
"울산","2012",9,9,-
"울산","2013",9,9,-
"울산","2014",9,9,-
"울산","2015",11,11,-
"울산","2016",13,13,-
"울산","2017",15,15,-
"울산","2018",17,16,1
"울산","2019",20,19,1
"울산","2020",21,20,1
"울산","2021",22,21,1
"세종","2012",-,-,-
"세종","2013",-,-,-
"세종","2014",-,-,-
"세종","2015",-,-,-
"세종","2016",-,-,-
"세종","2017",-,-,-
"세종","2018",-,-,-
"세종","2019",-,-,-
"세종","2020",-,-,-
"세종","2021",-,-,-
"경기","2012",186,166,20
"경기","2013",190,169,21
"경기","2014",205,183,22
"경기","2015",226,203,23
"경기","2016",245,222,23
"경기","2017",270,244,26
"경기","2018",288,259,29
"경기","2019",295,265,30
"경기","2020",301,271,30
"경기","2021",323,288,35
"강원","2012",57,57,-
"강원","2013",64,63,1
"강원","2014",66,65,1
"강원","2015",73,72,1
"강원","2016",78,77,1
"강원","2017",85,83,2
"강원","2018",90,87,3
"강원","2019",105,101,4
"강원","2020",125,120,5
"강원","2021",131,126,5
"충북","2012",10,10,-
"충북","2013",11,11,-
"충북","2014",11,11,-
"충북","2015",13,13,-
"충북","2016",14,14,-
"충북","2017",15,15,-
"충북","2018",18,18,-
"충북","2019",20,20,-
"충북","2020",21,21,-
"충북","2021",23,23,-
"충남","2012",36,34,2
"충남","2013",44,41,3
"충남","2014",44,41,3
"충남","2015",49,44,5
"충남","2016",54,49,5
"충남","2017",58,53,5
"충남","2018",61,56,5
"충남","2019",67,62,5
"충남","2020",80,74,6
"충남","2021",83,76,7
"전북","2012",46,43,3
"전북","2013",51,46,5
"전북","2014",52,47,5
"전북","2015",55,50,5
"전북","2016",58,52,6
"전북","2017",58,52,6
"전북","2018",60,54,6
"전북","2019",73,66,7
"전북","2020",81,73,8
"전북","2021",84,76,8
"전남","2012",28,28,-
"전남","2013",28,28,-
"전남","2014",28,28,-
"전남","2015",28,28,-
"전남","2016",30,30,-
"전남","2017",30,30,-
"전남","2018",30,30,-
"전남","2019",30,30,-
"전남","2020",32,32,-
"전남","2021",32,32,-
"경북","2012",32,31,1
"경북","2013",36,35,1
"경북","2014",36,35,1
"경북","2015",36,35,1
"경북","2016",39,37,2
"경북","2017",39,37,2
"경북","2018",41,39,2
"경북","2019",48,46,2
"경북","2020",56,53,3
"경북","2021",56,53,3
"경남","2012",34,32,2
"경남","2013",43,39,4
"경남","2014",43,39,4
"경남","2015",46,42,4
"경남","2016",48,44,4
"경남","2017",48,44,4
"경남","2018",54,48,6
"경남","2019",59,53,6
"경남","2020",66,59,7
"경남","2021",71,62,9
"제주","2012",9,8,1
"제주","2013",10,8,2
"제주","2014",11,9,2
"제주","2015",15,12,3
"제주","2016",16,13,3
"제주","2017",16,13,3
"제주","2018",16,13,3
"제주","2019",17,14,3
"제주","2020",18,15,3
"제주","2021",20,16,4
