"행정구역별(1)","시간대별(1)","시점",공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","시간대별(1)","시점",승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"전국","일평균(06-20시)","2017",8.91,18.65,3.28,9.09,13.48,27.66
"전국","일평균(06-20시)","2018",8.70,18.61,3.24,9.04,13.11,26.64
"전국","일평균(06-20시)","2019",8.13,21.26,3.34,11.69,12.90,31.23
"전국","일평균(06-20시)","2020",8.50,17.70,3.37,8.61,12.64,24.80
"전국","오전첨두(07-09시)","2017",8.67,18.49,3.23,8.85,13.18,27.30
"전국","오전첨두(07-09시)","2018",8.60,18.50,3.17,8.79,12.99,26.35
"전국","오전첨두(07-09시)","2019",7.70,19.61,3.14,9.92,12.20,27.98
"전국","오전첨두(07-09시)","2020",8.51,17.80,3.34,8.56,12.69,24.78
"전국","낮시간(12-14시)","2017",8.96,18.68,3.29,9.31,13.53,27.72
"전국","낮시간(12-14시)","2018",8.65,18.78,3.23,9.28,13.05,27.03
"전국","낮시간(12-14시)","2019",8.12,21.29,3.26,11.57,12.74,31.27
"전국","낮시간(12-14시)","2020",8.57,18.18,3.41,8.97,12.73,25.57
"전국","저녁첨두(18-20시)","2017",9.19,18.85,3.40,9.15,13.88,27.84
"전국","저녁첨두(18-20시)","2018",8.99,19.74,3.37,10.51,13.52,28.30
"전국","저녁첨두(18-20시)","2019",8.34,27.56,4.25,21.96,14.38,45.56
"전국","저녁첨두(18-20시)","2020",8.68,19.16,3.49,10.34,12.86,26.91
"서울특별시","일평균(06-20시)","2017",10.95,16.46,2.06,3.40,9.34,14.69
"서울특별시","일평균(06-20시)","2018",10.51,17.09,2.02,3.45,9.18,15.58
"서울특별시","일평균(06-20시)","2019",8.58,16.17,1.80,3.40,7.77,14.75
"서울특별시","일평균(06-20시)","2020",9.10,14.62,1.93,3.36,8.09,13.43
"서울특별시","오전첨두(07-09시)","2017",10.56,16.24,2.01,3.41,9.11,14.52
"서울특별시","오전첨두(07-09시)","2018",10.32,16.88,1.99,3.44,9.10,15.41
"서울특별시","오전첨두(07-09시)","2019",8.11,15.63,1.76,3.37,7.42,14.30
"서울특별시","오전첨두(07-09시)","2020",9.16,14.69,1.93,3.37,8.28,13.57
"서울특별시","낮시간(12-14시)","2017",11.01,16.46,2.06,3.40,9.37,14.67
"서울특별시","낮시간(12-14시)","2018",10.33,17.19,2.00,3.44,8.99,15.63
"서울특별시","낮시간(12-14시)","2019",8.45,16.06,1.79,3.38,7.62,14.70
"서울특별시","낮시간(12-14시)","2020",9.11,14.83,1.95,3.37,8.11,13.61
"서울특별시","저녁첨두(18-20시)","2017",11.29,16.50,2.12,3.41,9.57,14.75
"서울특별시","저녁첨두(18-20시)","2018",11.20,17.28,2.12,3.45,9.74,15.77
"서울특별시","저녁첨두(18-20시)","2019",8.81,16.41,1.85,3.40,7.97,14.99
"서울특별시","저녁첨두(18-20시)","2020",9.49,15.05,2.01,3.38,8.37,13.80
"부산광역시","일평균(06-20시)","2017",8.74,12.34,2.25,4.06,10.30,13.29
"부산광역시","일평균(06-20시)","2018",9.24,14.28,2.28,4.19,10.72,14.88
"부산광역시","일평균(06-20시)","2019",7.86,15.95,2.01,4.39,9.12,16.97
"부산광역시","일평균(06-20시)","2020",8.25,14.42,2.22,4.22,9.66,15.14
"부산광역시","오전첨두(07-09시)","2017",8.45,12.33,2.19,4.05,9.92,13.28
"부산광역시","오전첨두(07-09시)","2018",9.19,14.27,2.23,4.19,10.60,14.87
"부산광역시","오전첨두(07-09시)","2019",7.46,15.44,1.93,4.29,8.69,16.48
"부산광역시","오전첨두(07-09시)","2020",8.28,14.50,2.20,4.21,9.69,15.27
"부산광역시","낮시간(12-14시)","2017",8.87,12.43,2.26,4.08,10.35,13.30
"부산광역시","낮시간(12-14시)","2018",9.15,14.40,2.27,4.21,10.58,15.04
"부산광역시","낮시간(12-14시)","2019",7.88,15.96,2.02,4.41,9.06,16.99
"부산광역시","낮시간(12-14시)","2020",8.33,14.60,2.25,4.25,9.76,15.43
"부산광역시","저녁첨두(18-20시)","2017",8.83,12.23,2.30,4.06,10.55,13.21
"부산광역시","저녁첨두(18-20시)","2018",9.44,14.50,2.35,4.20,11.11,15.15
"부산광역시","저녁첨두(18-20시)","2019",7.82,16.17,2.05,4.56,9.20,17.37
"부산광역시","저녁첨두(18-20시)","2020",8.31,14.77,2.28,4.26,9.70,15.56
"대구광역시","일평균(06-20시)","2017",9.47,18.09,2.14,4.66,11.40,21.32
"대구광역시","일평균(06-20시)","2018",8.36,18.22,2.11,4.66,10.18,20.40
"대구광역시","일평균(06-20시)","2019",8.32,18.37,2.03,5.04,8.84,19.13
"대구광역시","일평균(06-20시)","2020",8.65,18.43,2.16,4.65,9.15,19.11
"대구광역시","오전첨두(07-09시)","2017",9.25,18.22,2.08,4.65,11.04,21.27
"대구광역시","오전첨두(07-09시)","2018",8.33,18.39,2.06,4.64,10.20,20.57
"대구광역시","오전첨두(07-09시)","2019",8.00,18.19,1.94,4.98,8.26,18.72
"대구광역시","오전첨두(07-09시)","2020",8.69,18.63,2.14,4.67,9.19,19.35
"대구광역시","낮시간(12-14시)","2017",9.41,18.16,2.13,4.65,11.29,21.16
"대구광역시","낮시간(12-14시)","2018",8.31,18.20,2.11,4.65,10.04,20.45
"대구광역시","낮시간(12-14시)","2019",8.20,18.34,2.02,4.91,8.77,19.07
"대구광역시","낮시간(12-14시)","2020",8.70,18.77,2.19,4.70,9.22,19.34
"대구광역시","저녁첨두(18-20시)","2017",9.98,18.43,2.23,4.71,12.06,21.77
"대구광역시","저녁첨두(18-20시)","2018",8.67,18.64,2.19,4.69,10.57,20.82
"대구광역시","저녁첨두(18-20시)","2019",8.54,18.48,2.10,5.12,9.14,19.42
"대구광역시","저녁첨두(18-20시)","2020",8.75,18.87,2.23,4.72,9.31,19.58
"인천광역시","일평균(06-20시)","2017",8.84,16.40,2.84,5.54,11.38,19.12
"인천광역시","일평균(06-20시)","2018",8.42,15.91,2.80,5.30,9.76,16.90
"인천광역시","일평균(06-20시)","2019",8.01,17.39,3.39,6.28,12.56,20.14
"인천광역시","일평균(06-20시)","2020",8.87,16.83,2.90,5.50,9.99,17.42
"인천광역시","오전첨두(07-09시)","2017",8.56,16.36,2.82,5.59,11.09,19.09
"인천광역시","오전첨두(07-09시)","2018",8.27,16.20,2.73,5.36,9.63,17.14
"인천광역시","오전첨두(07-09시)","2019",7.66,17.02,2.89,5.85,10.91,18.63
"인천광역시","오전첨두(07-09시)","2020",8.86,17.08,2.83,5.50,9.96,17.63
"인천광역시","낮시간(12-14시)","2017",8.85,16.29,2.85,5.77,11.42,19.06
"인천광역시","낮시간(12-14시)","2018",8.32,15.96,2.77,5.33,9.64,16.92
