"시점","행정구역별(1)",당해년가격
"2010","서울특별시",313281033
"2010","광주광역시",27882311
"2010","경기도",278532130
"2010","강원도",31728914
"2010","충청북도",40324269
"2010","전라북도",37740823
"2010","전라남도",61792939
"2010","제주특별자치도",11158882
"2011","서울특별시",326415107
"2011","광주광역시",28678421
"2011","경기도",292825058
"2011","강원도",33087301
"2011","충청북도",43343230
"2011","전라북도",40037810
"2011","전라남도",63233950
"2011","제주특별자치도",12207092
"2012","서울특별시",334324998
"2012","광주광역시",29773635
"2012","경기도",311414578
"2012","강원도",34556834
"2012","충청북도",45510059
"2012","전라북도",41200316
"2012","전라남도",64522380
"2012","제주특별자치도",13193136
"2013","서울특별시",340711607
"2013","광주광역시",31263021
"2013","경기도",333380088
"2013","강원도",36278698
"2013","충청북도",47737291
"2013","전라북도",43478228
"2013","전라남도",66475876
"2013","제주특별자치도",13960947
"2014","서울특별시",350258443
"2014","광주광역시",33016736
"2014","경기도",351734517
"2014","강원도",38775764
"2014","충청북도",50081510
"2014","전라북도",45151703
"2014","전라남도",66215322
"2014","제주특별자치도",15147843
"2015","서울특별시",370167867
"2015","부산광역시",82701497
"2015","대구광역시",51822013
"2015","인천광역시",80137506
"2015","광주광역시",34845589
"2015","대전광역시",37162614
"2015","울산광역시",72854409
"2015","경기도",381978306
"2015","강원도",40867985
"2015","충청북도",55191633
"2015","충청남도",101299131
"2015","전라북도",47018028
"2015","전라남도",68878376
"2015","경상북도",103120174
"2015","경상남도",106590936
"2015","제주특별자치도",16946709
"2016","서울특별시",387364432
"2016","부산광역시",85536348
"2016","대구광역시",53167211
"2016","인천광역시",84663335
"2016","광주광역시",36819006
"2016","대전광역시",39335023
"2016","울산광역시",74660841
"2016","경기도",407437529
"2016","강원도",43078659
"2016","충청북도",59671234
"2016","충청남도",106869144
"2016","전라북도",47879046
"2016","전라남도",71615402
"2016","경상북도",107440609
"2016","경상남도",109338189
"2016","제주특별자치도",18719373
"2017","서울특별시",404079600
"2017","부산광역시",87835601
"2017","대구광역시",54832958
"2017","인천광역시",88547364
"2017","광주광역시",37743917
"2017","대전광역시",40537224
"2017","울산광역시",75750070
"2017","경기도",451426420
"2017","강원도",45511732
"2017","충청북도",65312366
"2017","충청남도",115557697
"2017","전라북도",49348477
"2017","전라남도",73732402
"2017","경상북도",110027724
"2017","경상남도",109492183
"2017","제주특별자치도",19981072
"2018","서울특별시",423742112
"2018","부산광역시",89979896
"2018","대구광역시",56714479
"2018","인천광역시",88735401
"2018","광주광역시",39805406
"2018","대전광역시",41308348
"2018","울산광역시",73647537
"2018","경기도",479822189
"2018","강원도",46925797
"2018","충청북도",69636876
"2018","충청남도",115534184
"2018","전라북도",50595318
"2018","전라남도",75424584
"2018","경상북도",108782638
"2018","경상남도",110720199
"2018","제주특별자치도",20051121
"2019","서울특별시",435927212
"2019","부산광역시",93012134
"2019","대구광역시",58094694
"2019","인천광역시",90040500
"2019","광주광역시",41519553
"2019","대전광역시",43092218
"2019","울산광역시",74654628
"2019","경기도",477413452
"2019","강원도",48822640
"2019","충청북도",69419635
"2019","충청남도",113488325
"2019","전라북도",51997535
"2019","전라남도",76948280
"2019","경상북도",106805459
"2019","경상남도",114020931
"2019","제주특별자치도",20308737
