,년도,시도,총 인구,남성 인구,여성 인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
0,2013,서울특별시,10143645,5007869,5135776,,,2826.0,,,,462443.1,532689.2,12980600.0
1,2013,부산광역시,3527635,1747000,1780635,,,7178.0,2061.0,,,77411.6,59554.5,3401445.0
2,2013,대구광역시,2501588,1246071,1255517,,,17717.0,,,,46578.5,37541.7,2148115.0
3,2013,인천광역시,2879782,1448835,1430947,,,12983.0,2423.0,,,62378.3,31197.4,2855673.0
4,2013,광주광역시,1472910,730216,742694,,,11816.0,,,,23082.8,18041.6,1220622.0
5,2013,대전광역시,1532811,767309,765502,,,9518.0,,,,23859.8,23975.3,1258482.0
6,2013,울산광역시,1156480,595319,561161,,,11997.0,947.0,,,19560.1,14588.0,1413522.0
7,2013,세종특별자치시,122153,62205,59948,,,,,,,2429.1,144173.5,216598.0
8,2013,경기도,12234630,6159193,6075437,,,133012.0,853.0,,,248468.3,13718.5,13301235.0
9,2013,강원도,1542263,776498,765765,,,71203.0,2666.0,,,13259.9,14145.8,1330566.0
10,2013,충청북도,1572732,792862,779870,,,78717.0,,,,17211.7,18654.6,1431512.0
11,2013,충청남도,2047631,1037421,1010210,,,144033.0,9385.0,,,26445.4,17957.6,2226001.0
12,2013,전라북도,1872965,932894,940071,,,105880.0,2386.0,,,22597.6,15924.7,1457454.0
13,2013,전라남도,1907172,952597,954575,,,164834.0,21747.0,,,15968.2,24216.2,1599464.0
14,2013,경상북도,2699440,1355951,1343489,,,195108.0,3760.0,,,28452.3,35242.6,2563701.0
15,2013,경상남도,3333820,1678592,1655228,,,136708.0,9346.0,,,57288.6,6703.3,3605279.0
16,2013,제주특별자치도,593806,297504,296302,,,38502.0,4752.0,,,7325.0,1360.9,768612.0
17,2014,서울특별시,10103233,4979768,5123465,,,2751.0,,,,494441.9,565416.1,14502519.0
18,2014,부산광역시,3519401,1740417,1778984,,,7070.0,1972.0,,,84345.8,67846.8,3973205.0
19,2014,대구광역시,2493264,1241119,1252145,,,17290.0,,,,53214.0,42203.2,2591818.0
20,2014,인천광역시,2902608,1459074,1443534,,,12928.0,2410.0,,,66365.0,32603.1,3220968.0
21,2014,광주광역시,1475884,731339,744545,,,11869.0,,,,24782.2,19139.3,1428496.0
22,2014,대전광역시,1531809,766497,765312,,,9357.0,,,,25804.7,25692.5,1549395.0
23,2014,울산광역시,1166377,600904,565473,,,11559.0,940.0,,,21981.2,14873.6,1611003.0
24,2014,세종특별자치시,156125,78862,77263,,,6072.0,,,,3535.0,153813.3,386816.0
25,2014,경기도,12357830,6219813,6138017,,,129904.0,850.0,,,268494.6,14808.7,15216198.0
26,2014,강원도,1544442,778007,766435,,,69887.0,2562.0,,,14184.7,15124.3,1473843.0
27,2014,충청북도,1578933,796141,782792,,,76436.0,,,,19076.8,19741.1,1684169.0
28,2014,충청남도,2062273,1045892,1016381,,,135335.0,9229.0,,,29451.1,18907.1,2624962.0
29,2014,전라북도,1871560,931536,940024,,,104036.0,2308.0,,,24625.9,17303.3,1641746.0
30,2014,전라남도,1905780,951975,953805,,,160142.0,21246.0,,,17164.0,25822.9,1751096.0
31,2014,경상북도,2700794,1356182,1344612,,,192583.0,3636.0,,,31642.7,37942.2,2963881.0
32,2014,경상남도,3350257,1687114,1663143,,,135112.0,9050.0,,,62681.3,7638.4,4195428.0
33,2014,제주특별자치도,607346,304656,302690,,,38444.0,4589.0,,,8312.3,1667.4,909470.0
34,2015,서울특별시,10022181,4930943,5091238,,,3911.0,,12474501.0,19456777.0,525529.1,600391.1,17038835.0
35,2015,부산광역시,3513777,1735570,1778207,,,8068.0,2203.0,2840121.0,5282920.0,92109.5,73156.4,4784818.0
36,2015,대구광역시,2487829,1237291,1250538,,,16571.0,,2007368.0,3666471.0,61642.8,46861.6,2862891.0
37,2015,인천광역시,2925815,1469869,1455946,,,13081.0,2172.0,897004.0,2709317.0,69059.0,35680.0,3727717.0
38,2015,광주광역시,1472199,729662,742537,,,12036.0,,897944.0,1705557.0,28259.6,21419.9,1553789.0
39,2015,대전광역시,1518775,759778,758997,,,9428.0,,1082087.0,2226855.0,27830.0,28045.8,1626744.0
40,2015,울산광역시,1173534,604889,568645,,,12385.0,905.0,927968.0,1818945.0,24057.9,15505.6,1760321.0
41,2015,세종특별자치시,210884,105752,105132,,,6571.0,,,,5215.0,169215.4,512028.0
42,2015,경기도,12522606,6299812,6222794,,,126679.0,762.0,5364602.0,14622514.0,284496.7,15664.1,17885557.0
43,2015,강원도,1549507,781434,768073,,,73082.0,2292.0,,1000720.0,15464.9,16285.4,1594058.0
44,2015,충청북도,1583952,798896,785056,,,74611.0,,,1064481.0,21044.6,22462.1,1884993.0
45,2015,충청남도,2077649,1054439,1023210,,,132008.0,8162.0,,1573390.0,32255.0,20055.2,2836473.0
46,2015,전라북도,1869711,930255,939456,,,100362.0,2908.0,,1133025.0,26242.4,19700.1,1796926.0
47,2015,전라남도,1908996,953881,955115,,,150141.0,18819.0,,838632.0,19216.7,28207.6,2002617.0
48,2015,경상북도,2702826,1357306,1345520,,,184642.0,3017.0,,1465834.0,35582.2,39657.4,3450733.0
49,2015,경상남도,3364702,1694981,1669721,,,131455.0,9417.0,917963.0,2578882.0,68619.5,8886.4,4535227.0
50,2015,제주특별자치도,624395,313428,310967,,,33487.0,4116.0,,512261.0,10191.0,2533.3,1124068.0
51,2016,서울특별시,9930616,4876789,5053827,,,3550.0,,12836869.0,19681784.0,544592.1,628071.1,18024176.0
52,2016,부산광역시,3498529,1725607,1772922,,,8159.0,2031.0,2849223.0,5273429.0,99122.7,79929.2,4625095.0
53,2016,대구광역시,2484557,1234169,1250388,,,16750.0,,1973796.0,3629677.0,66966.8,47164.2,2979772.0
54,2016,인천광역시,2943069,1477671,1465398,,,12347.0,2097.0,844921.0,2683908.0,73804.8,40274.6,4028661.0
55,2016,광주광역시,1469214,728137,741077,,,12126.0,,902751.0,1725589.0,30354.2,24067.4,1678987.0
56,2016,대전광역시,1514370,757289,757081,,,9398.0,,1103478.0,2267975.0,29590.8,28605.4,1683926.0
57,2016,울산광역시,1172304,603797,568507,,,12451.0,832.0,876923.0,1771877.0,25364.2,16080.5,1945369.0
58,2016,세종특별자치시,243048,121505,121543,,,6304.0,,0.0,162245.0,6747.6,184606.3,499626.0
59,2016,경기도,12716780,6395453,6321327,,,120317.0,696.0,5962062.0,15562174.0,305720.4,22669.9,19245126.0
60,2016,강원도,1550806,781146,769660,,,72624.0,2259.0,,1014199.0,16415.4,17522.2,1859620.0
