"시점","행정구역별",계
"2010","전국",1177318
"2010","서울특별시",4123
"2010","부산광역시",8457
"2010","대구광역시",16974
"2010","인천광역시",13835
"2010","광주광역시",13079
"2010","대전광역시",8914
"2010","울산광역시",12124
"2010","경기도",135332
"2010","강원도",72472
"2010","충청북도",79963
"2010","충청남도",151424
"2010","전라북도",109433
"2010","전라남도",170213
"2010","경상북도",201651
"2010","경상남도",141431
"2010","제주특별자치도",37893
"2011","전국",1163209
"2011","서울특별시",3541
"2011","부산광역시",7854
"2011","대구광역시",17152
"2011","인천광역시",13777
"2011","광주광역시",12481
"2011","대전광역시",9130
"2011","울산광역시",11772
"2011","경기도",137548
"2011","강원도",71687
"2011","충청북도",80185
"2011","충청남도",150207
"2011","전라북도",104734
"2011","전라남도",167086
"2011","경상북도",197218
"2011","경상남도",140341
"2011","제주특별자치도",38497
"2012","전국",1151116
"2012","서울특별시",3114
"2012","부산광역시",7784
"2012","대구광역시",17716
"2012","인천광역시",13567
"2012","광주광역시",11852
"2012","대전광역시",9264
"2012","울산광역시",11769
"2012","경기도",137049
"2012","강원도",71603
"2012","충청북도",79024
"2012","충청남도",146876
"2012","전라북도",105759
"2012","전라남도",164248
"2012","경상북도",195779
"2012","경상남도",137505
"2012","제주특별자치도",38208
"2013","전국",1142029
"2013","서울특별시",2826
"2013","부산광역시",7178
"2013","대구광역시",17717
"2013","인천광역시",12983
"2013","광주광역시",11816
"2013","대전광역시",9518
"2013","울산광역시",11997
"2013","경기도",133012
"2013","강원도",71203
"2013","충청북도",78717
"2013","충청남도",144033
"2013","전라북도",105880
"2013","전라남도",164834
"2013","경상북도",195108
"2013","경상남도",136708
"2013","제주특별자치도",38502
"2014","전국",1120776
"2014","서울특별시",2751
"2014","부산광역시",7070
"2014","대구광역시",17290
"2014","인천광역시",12928
"2014","광주광역시",11869
"2014","대전광역시",9357
"2014","울산광역시",11559
"2014","세종특별자치시",6072
"2014","경기도",129904
"2014","강원도",69887
"2014","충청북도",76436
"2014","충청남도",135335
"2014","전라북도",104036
"2014","전라남도",160142
"2014","경상북도",192583
"2014","경상남도",135112
"2014","제주특별자치도",38444
"2015","전국",1088518
"2015","서울특별시",3911
"2015","부산광역시",8068
"2015","대구광역시",16571
"2015","인천광역시",13081
"2015","광주광역시",12036
"2015","대전광역시",9428
"2015","울산광역시",12385
"2015","세종특별자치시",6571
"2015","경기도",126679
"2015","강원도",73082
"2015","충청북도",74611
"2015","충청남도",132008
"2015","전라북도",100362
"2015","전라남도",150141
"2015","경상북도",184642
"2015","경상남도",131455
"2015","제주특별자치도",33487
"2016","전국",1068274
"2016","서울특별시",3550
"2016","부산광역시",8159
"2016","대구광역시",16750
"2016","인천광역시",12347
"2016","광주광역시",12126
"2016","대전광역시",9398
"2016","울산광역시",12451
"2016","세종특별자치시",6304
"2016","경기도",120317
"2016","강원도",72624
"2016","충청북도",74292
"2016","충청남도",128275
"2016","전라북도",98930
"2016","전라남도",151059
"2016","경상북도",181067
"2016","경상남도",127515
"2016","제주특별자치도",33109
"2017","전국",1042017
"2017","서울특별시",3410
"2017","부산광역시",7716
"2017","대구광역시",16554
"2017","인천광역시",11962
"2017","광주광역시",10940
"2017","대전광역시",9127
"2017","울산광역시",12070
"2017","세종특별자치시",5918
"2017","경기도",117225
"2017","강원도",68750
"2017","충청북도",72811
"2017","충청남도",125886
"2017","전라북도",96780
"2017","전라남도",146481
"2017","경상북도",179321
"2017","경상남도",124865
"2017","제주특별자치도",32200
"2018","전국",1020838
"2018","서울특별시",3130
"2018","부산광역시",7487
"2018","대구광역시",15833
"2018","인천광역시",11440
"2018","광주광역시",10380
"2018","대전광역시",8852
"2018","울산광역시",11772
"2018","세종특별자치시",5789
"2018","경기도",113288
"2018","강원도",67809
"2018","충청북도",70874
"2018","충청남도",123480
"2018","전라북도",94935
"2018","전라남도",145223
"2018","경상북도",176385
"2018","경상남도",122953
"2018","제주특별자치도",31208
"2019","전국",1007158
"2019","서울특별시",2851
"2019","부산광역시",7314
"2019","대구광역시",15747
"2019","인천광역시",11321
"2019","광주광역시",10238
"2019","대전광역시",8920
"2019","울산광역시",11478
"2019","세종특별자치시",5878
"2019","경기도",109470
"2019","강원도",66659
"2019","충청북도",70735
"2019","충청남도",119903
"2019","전라북도",94735
"2019","전라남도",143798
"2019","경상북도",174917
"2019","경상남도",122083
"2019","제주특별자치도",31111
"2020","전국",1035193
"2020","서울특별시",8418
"2020","부산광역시",11967
"2020","대구광역시",24809
"2020","인천광역시",13239
"2020","광주광역시",16676
"2020","대전광역시",13491
"2020","울산광역시",15284
"2020","세종특별자치시",7163
"2020","경기도",120979
"2020","강원도",67436
"2020","충청북도",66425
"2020","충청남도",122142
"2020","전라북도",93305
"2020","전라남도",136972
"2020","경상북도",165754
"2020","경상남도",120768
"2020","제주특별자치도",30365
"2021","전국",1031210
"2021","서울특별시",7031
"2021","부산광역시",11137
"2021","대구광역시",23893
"2021","인천광역시",12647
"2021","광주광역시",14708
"2021","대전광역시",12241
"2021","울산광역시",13408
"2021","세종특별자치시",6573
"2021","경기도",114901
"2021","강원도",68300
"2021","충청북도",70177
"2021","충청남도",120324
"2021","전라북도",90862
"2021","전라남도",146024
"2021","경상북도",169774
"2021","경상남도",117660
"2021","제주특별자치도",31549
