"시점","시도별",데이터
"2015","서울특별시",19456777
"2015","부산광역시",5282920
"2015","대구광역시",3666471
"2015","인천광역시",2709317
"2015","광주광역시",1705557
"2015","대전광역시",2226855
"2015","울산광역시",1818945
"2015","경기도",14622514
"2015","강원도",1000720
"2015","충청북도",1064481
"2015","충청남도",1573390
"2015","전라북도",1133025
"2015","전라남도",838632
"2015","경상북도",1465834
"2015","경상남도",2578882
"2015","제주도",512261
"2016","서울특별시",19681784
"2016","부산광역시",5273429
"2016","대구광역시",3629677
"2016","인천광역시",2683908
"2016","광주광역시",1725589
"2016","대전광역시",2267975
"2016","울산광역시",1771877
"2016","세종특별자치시",162245
"2016","경기도",15562174
"2016","강원도",1014199
"2016","충청북도",1086935
"2016","충청남도",1604897
"2016","전라북도",1140357
"2016","전라남도",848746
"2016","경상북도",1454300
"2016","경상남도",2686376
"2016","제주도",551079
"2017","서울특별시",19099450
"2017","부산광역시",5248735
"2017","대구광역시",3855871
"2017","인천광역시",2814267
"2017","광주광역시",1724452
"2017","대전광역시",2283320
"2017","울산광역시",1719438
"2017","세종특별자치시",181938
"2017","경기도",15727159
"2017","강원도",1034526
"2017","충청북도",1089241
"2017","충청남도",1709778
"2017","전라북도",1130343
"2017","전라남도",814118
"2017","경상북도",1438525
"2017","경상남도",2694119
"2017","제주도",557094
"2018","서울특별시",19321882
"2018","부산광역시",5321690
"2018","대구광역시",3979998
"2018","인천광역시",2699571
"2018","광주광역시",1717370
"2018","대전광역시",2217522
"2018","울산광역시",1641283
"2018","세종특별자치시",273388
"2018","경기도",15971989
"2018","강원도",1025147
"2018","충청북도",1085155
"2018","충청남도",1709003
"2018","전라북도",1105829
"2018","전라남도",780501
"2018","경상북도",1401874
"2018","경상남도",2629056
"2018","제주도",539964
"2019","서울특별시",19467389
"2019","부산광역시",5413119
"2019","대구광역시",3986016
"2019","인천광역시",2378313
"2019","광주광역시",1663445
"2019","대전광역시",2160064
"2019","울산광역시",1601664
"2019","세종특별자치시",387151
"2019","경기도",15889947
"2019","강원도",994061
"2019","충청북도",1047462
"2019","충청남도",1660244
"2019","전라북도",1026389
"2019","전라남도",765325
"2019","경상북도",1328605
"2019","경상남도",2537443
"2019","제주도",504479
"2020","서울특별시",18641029
"2020","부산광역시",5308053
"2020","대구광역시",3744897
"2020","인천광역시",2352315
"2020","광주광역시",1605407
"2020","대전광역시",2049133
"2020","울산광역시",1530772
"2020","세종특별자치시",444181
"2020","경기도",15842625
"2020","강원도",1007019
"2020","충청북도",1038923
"2020","충청남도",1613849
"2020","전라북도",1007536
"2020","전라남도",774880
"2020","경상북도",1301362
"2020","경상남도",2420259
"2020","제주도",512463
"2021","서울특별시",21524961
"2021","부산광역시",5980683
"2021","대구광역시",4223038
"2021","인천광역시",2535262
"2021","광주광역시",1783129
"2021","대전광역시",2444257
"2021","울산광역시",1605564
"2021","세종특별자치시",491456
"2021","경기도",17463137
"2021","강원도",1077890
"2021","충청북도",1081105
"2021","충청남도",1720943
"2021","전라북도",1051666
"2021","전라남도",802944
"2021","경상북도",1390332
"2021","경상남도",2546440
"2021","제주도",538352
"2022 p)","서울특별시",23199823
"2022 p)","부산광역시",6451407
"2022 p)","대구광역시",4404555
"2022 p)","인천광역시",2590578
"2022 p)","광주광역시",1857223
"2022 p)","대전광역시",2940610
"2022 p)","울산광역시",1595651
"2022 p)","세종특별자치시",525593
"2022 p)","경기도",18397065
"2022 p)","강원도",1109853
"2022 p)","충청북도",1078527
"2022 p)","충청남도",1793506
"2022 p)","전라북도",1074215
"2022 p)","전라남도",791852
"2022 p)","경상북도",1402677
"2022 p)","경상남도",2782181
"2022 p)","제주도",545983
