"시점","행정구역별",데이터
"1995","전국",152477.7
"1995","서울특별시",68415
"1995","부산광역시",11540.5
"1995","대구광역시",9229.3
"1995","인천광역시",6076.4
"1995","광주광역시",3907.1
"1995","대전광역시",3539
"1995","경기도",16003.3
"1995","강원도",2895.4
"1995","충청북도",2943.4
"1995","충청남도",3160.4
"1995","전라북도",4431.5
"1995","전라남도",3928.8
"1995","경상북도",5497.1
"1995","경상남도",9694
"1995","제주도",1216.6
"1996","전국",177184.1
"1996","서울특별시",78820.3
"1996","부산광역시",12990.9
"1996","대구광역시",10777.9
"1996","인천광역시",7065.6
"1996","광주광역시",4512
"1996","대전광역시",4106.9
"1996","경기도",19787.7
"1996","강원도",3290.8
"1996","충청북도",3450.1
"1996","충청남도",3598.6
"1996","전라북도",5143
"1996","전라남도",4564.6
"1996","경상북도",6297.1
"1996","경상남도",11342.7
"1996","제주도",1435.9
"1997","전국",200401.1
"1997","서울특별시",89012
"1997","부산광역시",14200
"1997","대구광역시",11756.3
"1997","인천광역시",8199.1
"1997","광주광역시",4858.9
"1997","대전광역시",4676.6
"1997","울산광역시",2487
"1997","경기도",23627.1
"1997","강원도",3809.2
"1997","충청북도",3966.7
"1997","충청남도",4024.5
"1997","전라북도",5844.3
"1997","전라남도",5172.3
"1997","경상북도",6946.7
"1997","경상남도",10098.1
"1997","제주도",1722.4
"1998","전국",200289.1
"1998","서울특별시",91918
"1998","부산광역시",12916.7
"1998","대구광역시",11190
"1998","인천광역시",7657
"1998","광주광역시",4894.8
"1998","대전광역시",4287.7
"1998","울산광역시",2343.6
"1998","경기도",23626.6
"1998","강원도",3781.9
"1998","충청북도",3784.1
"1998","충청남도",4005
"1998","전라북도",5756.6
"1998","전라남도",5351.5
"1998","경상북도",6906.5
"1998","경상남도",10051.9
"1998","제주도",1817.3
"1999","전국",250240.1
"1999","서울특별시",113001.9
"1999","부산광역시",15558.1
"1999","대구광역시",12846.2
"1999","인천광역시",9661.2
"1999","광주광역시",6416.6
"1999","대전광역시",5367.1
"1999","울산광역시",3050.7
"1999","경기도",33072.6
"1999","강원도",4658.8
"1999","충청북도",4518.3
"1999","충청남도",5314.8
"1999","전라북도",6931.6
"1999","전라남도",6949.3
"1999","경상북도",8201.8
"1999","경상남도",12336.5
"1999","제주도",2354.6
"2000","전국",310804.1
"2000","서울특별시",147873.8
"2000","부산광역시",18580.7
"2000","대구광역시",14103.6
"2000","인천광역시",12686.5
"2000","광주광역시",6860.4
"2000","대전광역시",5739
"2000","울산광역시",3597.7
"2000","경기도",42236.6
"2000","강원도",5304.7
"2000","충청북도",4997.8
"2000","충청남도",6746.1
"2000","전라북도",7576.9
"2000","전라남도",8218.6
"2000","경상북도",9665.7
"2000","경상남도",13862.5
"2000","제주도",2753.5
"2001","전국",357383.5
"2001","서울특별시",159419.6
"2001","부산광역시",23265.2
"2001","대구광역시",15867.9
"2001","인천광역시",16019.4
"2001","광주광역시",8164.6
"2001","대전광역시",7300.5
"2001","울산광역시",4363.8
"2001","경기도",55821.6
"2001","강원도",6006.8
"2001","충청북도",5726.8
"2001","충청남도",8078.5
"2001","전라북도",8582.4
"2001","전라남도",8951.2
"2001","경상북도",10899.3
"2001","경상남도",15707.6
"2001","제주도",3208.2
"2002","전국",471684.3
"2002","서울특별시",209579.4
"2002","부산광역시",31521.9
"2002","대구광역시",20764.3
"2002","인천광역시",22004.3
"2002","광주광역시",10406.1
"2002","대전광역시",10482.4
"2002","울산광역시",5977.5
"2002","경기도",79531
"2002","강원도",7424.2
"2002","충청북도",7002.5
"2002","충청남도",9844.1
"2002","전라북도",10258.4
"2002","전라남도",10329.6
"2002","경상북도",12823.4
"2002","경상남도",19782.5
"2002","제주도",3952.6
"2003","전국",538260.9
"2003","서울특별시",236369.4
