년도,시도,총 인구,남성 인구,여성 인구,주택수,빈집수,자동차등록대수
2013,서울특별시,10143645,5007869,5135776,,,38005651
2013,부산광역시,3527635,1747000,1780635,,,17380896
2013,대구광역시,2501588,1246071,1255517,,,14583073
2013,인천광역시,2879782,1448835,1430947,,,20097823
2013,광주광역시,1472910,730216,742694,,,8351445
2013,대전광역시,1532811,767309,765502,,,8274122
2013,울산광역시,1156480,595319,561161,,,6948158
2013,세종특별자치시,122153,62205,59948,,,2164838
2013,경기도,12234630,6159193,6075437,,,73393515
2013,강원도,1542263,776498,765765,,,9832254
2013,충청북도,1572732,792862,779870,,,10573419
2013,충청남도,2047631,1037421,1010210,,,13976063
2013,전라북도,1872965,932894,940071,,,11461086
2013,전라남도,1907172,952597,954575,,,13688569
2013,경상북도,2699440,1355951,1343489,,,17878739
2013,경상남도,3333820,1678592,1655228,,,21770014
2013,제주특별자치도,593806,297504,296302,,,7670794
2014,서울특별시,10103233,4979768,5123465,,,38005651
2014,부산광역시,3519401,1740417,1778984,,,17380896
2014,대구광역시,2493264,1241119,1252145,,,14583073
2014,인천광역시,2902608,1459074,1443534,,,20097823
2014,광주광역시,1475884,731339,744545,,,8351445
2014,대전광역시,1531809,766497,765312,,,8274122
2014,울산광역시,1166377,600904,565473,,,6948158
2014,세종특별자치시,156125,78862,77263,,,2164838
2014,경기도,12357830,6219813,6138017,,,73393515
2014,강원도,1544442,778007,766435,,,9832254
2014,충청북도,1578933,796141,782792,,,10573419
2014,충청남도,2062273,1045892,1016381,,,13976063
2014,전라북도,1871560,931536,940024,,,11461086
2014,전라남도,1905780,951975,953805,,,13688569
2014,경상북도,2700794,1356182,1344612,,,17878739
2014,경상남도,3350257,1687114,1663143,,,21770014
2014,제주특별자치도,607346,304656,302690,,,7670794
2015,서울특별시,10022181,4930943,5091238,2793244.0,79049.0,38005651
2015,부산광역시,3513777,1735570,1778207,1164352.0,86626.0,17380896
2015,대구광역시,2487829,1237291,1250538,738100.0,29610.0,14583073
2015,인천광역시,2925815,1469869,1455946,942244.0,47402.0,20097823
2015,광주광역시,1472199,729662,742537,486527.0,26705.0,8351445
2015,대전광역시,1518775,759778,758997,468885.0,26419.0,8274122
2015,울산광역시,1173534,604889,568645,357674.0,21423.0,6948158
2015,세종특별자치시,210884,105752,105132,81130.0,16458.0,2164838
2015,경기도,12522606,6299812,6222794,3693557.0,144893.0,73393515
2015,강원도,1549507,781434,768073,569899.0,59260.0,9832254
2015,충청북도,1583952,798896,785056,556951.0,54884.0,10573419
2015,충청남도,2077649,1054439,1023210,754372.0,73719.0,13976063
2015,전라북도,1869711,930255,939456,687103.0,73869.0,11461086
2015,전라남도,1908996,953881,955115,747621.0,103333.0,13688569
2015,경상북도,2702826,1357306,1345520,995385.0,108114.0,17878739
2015,경상남도,3364702,1694981,1669721,1134738.0,98680.0,21770014
2015,제주특별자치도,624395,313428,310967,195224.0,18475.0,7670794
2016,서울특별시,9930616,4876789,5053827,2830857.0,94668.0,38005651
2016,부산광역시,3498529,1725607,1772922,1174034.0,85333.0,17380896
2016,대구광역시,2484557,1234169,1250388,761054.0,36932.0,14583073
2016,인천광역시,2943069,1477671,1465398,958072.0,52941.0,20097823
2016,광주광역시,1469214,728137,741077,494547.0,29127.0,8351445
2016,대전광역시,1514370,757289,757081,474193.0,26238.0,8274122
2016,울산광역시,1172304,603797,568507,361273.0,20965.0,6948158
