"지역",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"지역",도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관),도서관 수(관)
"전국",786,828,865,930,978,1010,1042,1096,1134,1172
"서울",109,116,123,132,146,147,160,173,180,188
"부산",31,31,31,32,36,40,40,43,44,47
"대구",27,27,28,30,33,35,36,41,43,44
"인천",31,36,39,42,46,47,48,50,53,55
"광주",16,17,17,20,21,22,23,23,23,24
"대전",22,22,23,23,24,24,24,24,26,25
"울산",11,12,13,17,17,17,18,19,19,19
"세종",-,1,1,3,4,5,5,10,11,12
"경기",169,184,194,217,228,244,250,264,277,286
"강원",47,47,47,50,53,54,56,57,58,59
"충북",32,36,38,41,42,44,45,45,48,50
"충남",51,50,55,57,58,59,59,62,63,63
"전북",47,49,53,55,56,58,58,58,59,63
"전남",57,59,60,63,64,64,67,69,70,71
"경북",60,62,63,64,64,64,65,65,66,69
"경남",55,58,59,63,65,65,67,71,72,75
"제주",21,21,21,21,21,21,21,22,22,22
