"행정구역(시군구)별(1)",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별(1)",계,계,계,계,계,계,계,계,계,계
"전국",0,0,0,0,0,0,0,0,0,0
"서울특별시",-100550,-87831,-137256,-140257,-98486,-110230,-49588,-64850,-106243,-35340
"부산광역시",-17710,-15092,-13560,-21392,-28398,-26759,-23354,-14347,-18903,-13562
"대구광역시",-11351,-15526,-12940,-9260,-11936,-14242,-23673,-16835,-24319,-11519
"인천광역시",22035,9324,9538,5777,-1670,-67,-2337,-15748,11423,28101
"광주광역시",-2592,-2977,-9272,-7898,-8118,-6216,-3875,-6083,-5883,-7642
"대전광역시",311,-8838,-20616,-10631,-16175,-14753,-16342,-11097,-8931,-2996
"울산광역시",2307,2786,-80,-7622,-11917,-12654,-10172,-13584,-13674,-9536
"세종특별자치시",8696,33456,53044,29816,34690,31433,23724,13025,14085,10128
"경기도",74131,57396,94768,133617,116162,170094,134666,168373,150517,43882
"강원도",2986,2085,4773,1892,2035,-3854,1661,5457,6681,7494
"충청북도",3113,2367,1438,5011,2262,5149,2565,3454,3462,5201
"충청남도",13375,9810,10272,15318,19401,10084,-794,741,8522,14314
"전라북도",-2197,-2563,-2830,-4419,-7206,-13773,-12748,-8494,-5801,-5115
"전라남도",-2306,-596,3936,-3205,-3047,-8030,-8788,-9754,-4487,-345
"경상북도",-1865,-988,-577,-3151,-5581,-9225,-4571,-16978,3337,-7666
"경상남도",3794,6075,5105,1772,3979,-5810,-9310,-16658,-13703,-18547
"제주특별자치도",7823,11112,14257,14632,14005,8853,2936,3378,3917,3148
