"행정구역(시군구)별(1)",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별(1)",계,계,계,계,계,계,계,계,계,계
"서울특별시",1620640,1661425,1726687,1655859,1571423,1549937,1476081,1642977,1524430,1236867
"부산광역시",496161,500802,520591,480407,467471,442854,435058,506176,460226,397410
"대구광역시",363224,365739,364364,337488,333118,335400,336092,364083,329080,276873
"인천광역시",439578,442973,463685,435869,411135,433706,422351,460304,421714,367039
"광주광역시",229288,246043,233875,221074,216256,225108,221005,232246,218771,190566
"대전광역시",230547,248397,241390,229883,227624,227632,228766,243418,220496,201701
"울산광역시",157185,173229,170473,155812,147116,140576,152228,149696,143554,117283
"세종특별자치시",15109,23070,30950,35236,47383,55000,58674,65909,62827,55401
"경기도",1821303,1834379,1898312,1824976,1772162,1871621,1806296,1984199,1885698,1602108
"강원도",214931,226284,222352,221592,209618,220252,215965,217897,210422,187370
"충청북도",212860,213577,213188,197668,194915,213737,208831,226441,210838,180218
"충청남도",268053,279817,279680,271446,269337,282221,259584,286386,273673,246174
"전라북도",260395,276900,264662,252607,239253,257097,241523,257577,229511,204547
"전라남도",246635,260874,246168,237337,230551,232414,233271,248770,228106,192301
"경상북도",330983,338029,345307,318803,316642,318671,311082,334679,314529,270822
"경상남도",423864,456164,450279,410180,409200,395524,405561,419997,388485,341758
"제주특별자치도",81028,81396,83323,92193,91022,95349,92030,94736,91062,83717
