,시점,지역,고등학생인원수변화
0,2000,경기도,341998
1,2000,서울특별시,453068
2,2000,인천광역시,136580
3,2000,경상남도,177255
4,2000,부산광역시,108187
5,2000,경상북도,120557
6,2000,대구광역시,118167
7,2000,전라남도,84959
8,2000,전라북도,91601
9,2000,충청남도,97935
10,2000,광주광역시,68727
11,2000,충청북도,66432
12,2000,대전광역시,65887
13,2000,강원도,69185
14,2000,울산광역시,47065
15,2000,제주특별자치도,23865
16,2000,세종특별자치시,0
17,2001,경기도,334121
18,2001,서울특별시,410341
19,2001,인천광역시,125590
20,2001,경상남도,159488
21,2001,부산광역시,103690
22,2001,경상북도,108766
23,2001,대구광역시,107827
24,2001,전라남도,77687
25,2001,전라북도,82314
26,2001,충청남도,86517
27,2001,광주광역시,62735
28,2001,충청북도,61636
29,2001,대전광역시,61119
30,2001,강원도,63029
31,2001,울산광역시,44808
32,2001,제주특별자치도,21505
33,2001,세종특별자치시,0
34,2002,경기도,329606
35,2002,서울특별시,378168
36,2002,인천광역시,117448
37,2002,경상남도,146617
38,2002,부산광역시,99275
39,2002,경상북도,100360
40,2002,대구광역시,101125
41,2002,전라남도,72464
42,2002,전라북도,75869
43,2002,충청남도,77697
44,2002,광주광역시,58443
45,2002,충청북도,58804
46,2002,대전광역시,58025
47,2002,강원도,58679
48,2002,울산광역시,42700
49,2002,제주특별자치도,20229
50,2002,세종특별자치시,0
51,2003,경기도,340105
52,2003,서울특별시,366556
53,2003,인천광역시,114502
54,2003,경상남도,140932
55,2003,부산광역시,99033
56,2003,경상북도,97636
57,2003,대구광역시,100375
58,2003,전라남도,70439
59,2003,전라북도,72920
60,2003,충청남도,72897
61,2003,광주광역시,57508
62,2003,충청북도,57989
63,2003,대전광역시,56694
64,2003,강원도,56692
65,2003,울산광역시,42836
66,2003,제주특별자치도,19415
67,2003,세종특별자치시,0
68,2004,경기도,352116
69,2004,서울특별시,356157
70,2004,인천광역시,112438
71,2004,경상남도,137315
72,2004,부산광역시,98410
73,2004,경상북도,95119
74,2004,대구광역시,99865
75,2004,전라남도,68677
76,2004,전라북도,70726
77,2004,충청남도,68908
78,2004,광주광역시,56967
79,2004,충청북도,57617
80,2004,대전광역시,55247
81,2004,강원도,55002
82,2004,울산광역시,43116
83,2004,제주특별자치도,18880
84,2004,세종특별자치시,0
85,2005,경기도,369764
86,2005,서울특별시,353023
87,2005,인천광역시,113156
88,2005,경상남도,136641
89,2005,부산광역시,99762
90,2005,경상북도,94250
91,2005,대구광역시,101793
92,2005,전라남도,68059
93,2005,전라북도,70130
94,2005,충청남도,67310
95,2005,광주광역시,58055
96,2005,충청북도,58205
97,2005,대전광역시,54497
98,2005,강원도,54352
99,2005,울산광역시,44864
100,2005,제주특별자치도,19035
101,2005,세종특별자치시,0
102,2006,경기도,385461
103,2006,서울특별시,349154
104,2006,인천광역시,114155
105,2006,경상남도,134807
106,2006,부산광역시,101888
107,2006,경상북도,93657
108,2006,대구광역시,102098
109,2006,전라남도,67466
110,2006,전라북도,69640
111,2006,충청남도,66384
112,2006,광주광역시,58984
113,2006,충청북도,58618
114,2006,대전광역시,54438
115,2006,강원도,53749
116,2006,울산광역시,45843
117,2006,제주특별자치도,19515
118,2006,세종특별자치시,0
119,2007,경기도,411732
120,2007,서울특별시,355193
121,2007,인천광역시,119431
122,2007,경상남도,137276
123,2007,부산광역시,106501
124,2007,경상북도,95208
125,2007,대구광역시,105396
126,2007,전라남도,69373
127,2007,전라북도,70584
128,2007,충청남도,67989
129,2007,광주광역시,61746
130,2007,충청북도,60828
131,2007,대전광역시,56073
132,2007,강원도,54504
133,2007,울산광역시,48604
134,2007,제주특별자치도,20936
135,2007,세종특별자치시,0
136,2008,경기도,436635
137,2008,서울특별시,361942
138,2008,인천광역시,124398
139,2008,경상남도,139134
140,2008,부산광역시,111480
141,2008,경상북도,96807
142,2008,대구광역시,107627
143,2008,전라남도,72153
144,2008,전라북도,72218
145,2008,충청남도,70264
146,2008,광주광역시,64359
147,2008,충청북도,63038
148,2008,대전광역시,58398
149,2008,강원도,55496
150,2008,울산광역시,50725
151,2008,제주특별자치도,22304
152,2008,세종특별자치시,0
153,2009,경기도,456897
154,2009,서울특별시,368075
155,2009,인천광역시,129551
156,2009,경상남도,140623
157,2009,부산광역시,114382
158,2009,경상북도,98328
159,2009,대구광역시,110245
160,2009,전라남도,75306
161,2009,전라북도,74716
162,2009,충청남도,72268
163,2009,광주광역시,67089
164,2009,충청북도,64931
165,2009,대전광역시,60598
166,2009,강원도,56683
167,2009,울산광역시,52664
168,2009,제주특별자치도,23436
169,2009,세종특별자치시,0
170,2010,경기도,461461
171,2010,서울특별시,362466
172,2010,인천광역시,130009
173,2010,경상남도,136665
174,2010,부산광역시,113247
175,2010,경상북도,97767
176,2010,대구광역시,109300
177,2010,전라남도,76857
178,2010,전라북도,75708
179,2010,충청남도,72493
180,2010,광주광역시,67750
181,2010,충청북도,64794
182,2010,대전광역시,60897
183,2010,강원도,56711
184,2010,울산광역시,52424
185,2010,제주특별자치도,23807
186,2010,세종특별자치시,0
187,2011,경기도,462456
188,2011,서울특별시,353632
189,2011,인천광역시,130026
190,2011,경상남도,131894
191,2011,부산광역시,110409
192,2011,경상북도,96602
193,2011,대구광역시,108190
194,2011,전라남도,77453
195,2011,전라북도,75599
196,2011,충청남도,72350
197,2011,광주광역시,68049
