,시점,지역,대학교_숫자
0,2003,경기도,61
1,2003,서울특별시,52
2,2003,경상북도,38
3,2003,충청남도,24
4,2003,부산광역시,23
5,2003,경상남도,19
6,2003,전라남도,23
7,2003,전라북도,21
8,2003,충청북도,16
9,2003,강원도,20
10,2003,광주광역시,16
11,2003,대전광역시,15
12,2003,대구광역시,10
13,2003,인천광역시,10
14,2003,제주특별자치도,6
15,2003,울산광역시,3
16,2003,세종특별자치시,0
17,2004,경기도,63
18,2004,서울특별시,52
19,2004,경상북도,38
20,2004,충청남도,24
21,2004,부산광역시,23
22,2004,경상남도,19
23,2004,전라남도,22
24,2004,전라북도,21
25,2004,충청북도,16
26,2004,강원도,20
27,2004,광주광역시,16
28,2004,대전광역시,15
29,2004,대구광역시,10
30,2004,인천광역시,10
31,2004,제주특별자치도,6
32,2004,울산광역시,3
33,2004,세종특별자치시,0
34,2005,경기도,64
35,2005,서울특별시,52
36,2005,경상북도,38
37,2005,충청남도,23
38,2005,부산광역시,23
39,2005,경상남도,20
40,2005,전라남도,22
41,2005,전라북도,21
42,2005,충청북도,16
43,2005,강원도,20
44,2005,광주광역시,16
45,2005,대전광역시,15
46,2005,대구광역시,11
47,2005,인천광역시,10
48,2005,제주특별자치도,6
49,2005,울산광역시,3
50,2005,세종특별자치시,0
51,2006,경기도,63
52,2006,서울특별시,51
53,2006,경상북도,38
54,2006,충청남도,23
55,2006,부산광역시,22
56,2006,경상남도,19
57,2006,전라남도,21
58,2006,전라북도,21
59,2006,충청북도,15
60,2006,강원도,19
61,2006,광주광역시,16
62,2006,대전광역시,15
63,2006,대구광역시,11
64,2006,인천광역시,9
65,2006,제주특별자치도,6
66,2006,울산광역시,3
67,2006,세종특별자치시,0
68,2007,경기도,61
69,2007,서울특별시,50
70,2007,경상북도,38
71,2007,충청남도,23
72,2007,부산광역시,22
73,2007,경상남도,19
74,2007,전라남도,21
75,2007,전라북도,21
76,2007,충청북도,15
77,2007,강원도,18
78,2007,광주광역시,16
79,2007,대전광역시,15
80,2007,대구광역시,11
81,2007,인천광역시,9
82,2007,제주특별자치도,6
83,2007,울산광역시,3
84,2007,세종특별자치시,0
85,2008,경기도,62
86,2008,서울특별시,49
87,2008,경상북도,36
88,2008,충청남도,23
89,2008,부산광역시,22
90,2008,경상남도,19
91,2008,전라남도,21
92,2008,전라북도,20
93,2008,충청북도,15
94,2008,강원도,18
95,2008,광주광역시,16
96,2008,대전광역시,15
97,2008,대구광역시,11
98,2008,인천광역시,9
99,2008,제주특별자치도,5
100,2008,울산광역시,3
101,2008,세종특별자치시,0
102,2009,경기도,62
103,2009,서울특별시,49
104,2009,경상북도,36
105,2009,충청남도,23
106,2009,부산광역시,22
107,2009,경상남도,19
108,2009,전라남도,21
109,2009,전라북도,20
110,2009,충청북도,16
111,2009,강원도,18
112,2009,광주광역시,16
113,2009,대전광역시,14
114,2009,대구광역시,11
115,2009,인천광역시,9
116,2009,제주특별자치도,5
117,2009,울산광역시,4
118,2009,세종특별자치시,0
119,2010,경기도,62
120,2010,서울특별시,49
121,2010,경상북도,36
122,2010,충청남도,23
123,2010,부산광역시,22
124,2010,경상남도,20
125,2010,전라남도,21
126,2010,전라북도,20
127,2010,충청북도,16
128,2010,강원도,18
129,2010,광주광역시,16
130,2010,대전광역시,14
131,2010,대구광역시,11
132,2010,인천광역시,8
133,2010,제주특별자치도,5
134,2010,울산광역시,4
135,2010,세종특별자치시,0
136,2011,경기도,63
137,2011,서울특별시,49
138,2011,경상북도,36
139,2011,충청남도,23
140,2011,부산광역시,22
141,2011,경상남도,20
142,2011,전라남도,21
143,2011,전라북도,20
144,2011,충청북도,16
145,2011,강원도,19
146,2011,광주광역시,17
147,2011,대전광역시,15
148,2011,대구광역시,11
149,2011,인천광역시,8
150,2011,제주특별자치도,5
151,2011,울산광역시,4
152,2011,세종특별자치시,0
153,2012,경기도,62
154,2012,서울특별시,48
155,2012,경상북도,36
156,2012,충청남도,23
157,2012,부산광역시,22
158,2012,경상남도,20
159,2012,전라남도,19
160,2012,전라북도,20
161,2012,충청북도,16
162,2012,강원도,19
163,2012,광주광역시,17
164,2012,대전광역시,15
165,2012,대구광역시,11
166,2012,인천광역시,7
167,2012,제주특별자치도,4
168,2012,울산광역시,4
169,2012,세종특별자치시,0
170,2013,경기도,62
171,2013,서울특별시,48
172,2013,경상북도,35
173,2013,충청남도,20
174,2013,부산광역시,22
175,2013,경상남도,20
176,2013,전라남도,19
177,2013,전라북도,20
178,2013,충청북도,16
179,2013,강원도,18
180,2013,광주광역시,17
181,2013,대전광역시,15
182,2013,대구광역시,11
183,2013,인천광역시,7
184,2013,제주특별자치도,4
185,2013,울산광역시,4
186,2013,세종특별자치시,2
187,2014,경기도,61
188,2014,서울특별시,48
189,2014,경상북도,34
190,2014,충청남도,21
191,2014,부산광역시,22
192,2014,경상남도,21
193,2014,전라남도,19
194,2014,전라북도,20
195,2014,충청북도,16
196,2014,강원도,18
197,2014,광주광역시,17
198,2014,대전광역시,15
199,2014,대구광역시,11
200,2014,인천광역시,7
201,2014,제주특별자치도,4
202,2014,울산광역시,4
203,2014,세종특별자치시,2
204,2015,경기도,60
205,2015,서울특별시,48
206,2015,경상북도,34
207,2015,충청남도,21
208,2015,부산광역시,22
209,2015,경상남도,21
210,2015,전라남도,19
211,2015,전라북도,20
212,2015,충청북도,16
213,2015,강원도,18
214,2015,광주광역시,17
215,2015,대전광역시,15
216,2015,대구광역시,11
217,2015,인천광역시,7
218,2015,제주특별자치도,4
219,2015,울산광역시,4
220,2015,세종특별자치시,2
221,2016,경기도,60
222,2016,서울특별시,48
223,2016,경상북도,34
224,2016,충청남도,21
225,2016,부산광역시,22
226,2016,경상남도,21
227,2016,전라남도,19
228,2016,전라북도,20
229,2016,충청북도,16
230,2016,강원도,18
231,2016,광주광역시,17
232,2016,대전광역시,15
233,2016,대구광역시,11
234,2016,인천광역시,7
235,2016,제주특별자치도,4
236,2016,울산광역시,4
237,2016,세종특별자치시,2
238,2017,경기도,60
239,2017,서울특별시,48
240,2017,경상북도,34
241,2017,충청남도,21
242,2017,부산광역시,22
243,2017,경상남도,21
244,2017,전라남도,19
245,2017,전라북도,20
246,2017,충청북도,16
247,2017,강원도,18
248,2017,광주광역시,17
249,2017,대전광역시,15
250,2017,대구광역시,11
251,2017,인천광역시,7
252,2017,제주특별자치도,4
253,2017,울산광역시,4
254,2017,세종특별자치시,2
255,2018,경기도,61
256,2018,서울특별시,48
257,2018,경상북도,33
258,2018,충청남도,21
259,2018,부산광역시,22
260,2018,경상남도,21
261,2018,전라남도,19
262,2018,전라북도,19
263,2018,충청북도,17
264,2018,강원도,18
265,2018,광주광역시,17
266,2018,대전광역시,15
267,2018,대구광역시,11
268,2018,인천광역시,7
269,2018,제주특별자치도,4
270,2018,울산광역시,4
271,2018,세종특별자치시,3
272,2019,경기도,61
273,2019,서울특별시,48
274,2019,경상북도,33
275,2019,충청남도,21
276,2019,부산광역시,22
277,2019,경상남도,21
278,2019,전라남도,19
279,2019,전라북도,19
280,2019,충청북도,17
281,2019,강원도,18
282,2019,광주광역시,17
283,2019,대전광역시,15
284,2019,대구광역시,11
285,2019,인천광역시,7
286,2019,제주특별자치도,4
287,2019,울산광역시,4
288,2019,세종특별자치시,3
289,2020,경기도,61
290,2020,서울특별시,48
291,2020,경상북도,33
292,2020,충청남도,21
293,2020,부산광역시,22
294,2020,경상남도,21
295,2020,전라남도,19
296,2020,전라북도,19
297,2020,충청북도,17
298,2020,강원도,17
299,2020,광주광역시,17
300,2020,대전광역시,15
301,2020,대구광역시,11
302,2020,인천광역시,7
303,2020,제주특별자치도,4
304,2020,울산광역시,4
305,2020,세종특별자치시,3
306,2021,경기도,61
307,2021,서울특별시,48
308,2021,경상북도,33
309,2021,충청남도,21
310,2021,부산광역시,21
311,2021,경상남도,20
312,2021,전라남도,19
313,2021,전라북도,18
314,2021,충청북도,17
315,2021,강원도,17
316,2021,광주광역시,17
317,2021,대전광역시,15
318,2021,대구광역시,11
319,2021,인천광역시,7
320,2021,제주특별자치도,4
321,2021,울산광역시,4
322,2021,세종특별자치시,3
323,2022,경기도,61
324,2022,서울특별시,48
325,2022,경상북도,33
326,2022,충청남도,21
327,2022,부산광역시,21
328,2022,경상남도,20
329,2022,전라남도,19
330,2022,전라북도,18
331,2022,충청북도,17
332,2022,강원도,17
333,2022,광주광역시,17
334,2022,대전광역시,15
335,2022,대구광역시,11
336,2022,인천광역시,7
337,2022,제주특별자치도,4
338,2022,울산광역시,4
339,2022,세종특별자치시,3
