,시점,지역,대학생숫자
0,2007,서울특별시,541288
1,2007,경기도,485552
2,2007,부산광역시,265238
3,2007,경상북도,234466
4,2007,충청남도,228429
5,2007,대전광역시,147231
6,2007,경상남도,139584
7,2007,전라북도,136767
8,2007,강원도,128006
9,2007,충청북도,125061
10,2007,대구광역시,124318
11,2007,광주광역시,120389
12,2007,전라남도,94681
13,2007,인천광역시,78372
14,2007,울산광역시,31744
15,2007,제주특별자치도,29593
16,2007,세종특별자치시,0
17,2008,서울특별시,527195
18,2008,경기도,499789
19,2008,부산광역시,266666
20,2008,경상북도,232864
21,2008,충청남도,231473
22,2008,대전광역시,147020
23,2008,경상남도,136814
24,2008,전라북도,134131
25,2008,강원도,128506
26,2008,충청북도,125438
27,2008,대구광역시,124567
28,2008,광주광역시,116577
29,2008,전라남도,90902
30,2008,인천광역시,78175
31,2008,울산광역시,31913
32,2008,제주특별자치도,29253
33,2008,세종특별자치시,0
34,2009,서울특별시,533420
35,2009,경기도,504165
36,2009,부산광역시,270828
37,2009,경상북도,232813
38,2009,충청남도,235383
39,2009,대전광역시,146316
40,2009,경상남도,129953
41,2009,전라북도,132779
42,2009,강원도,126994
43,2009,충청북도,126112
44,2009,대구광역시,123998
45,2009,광주광역시,116786
46,2009,전라남도,90337
47,2009,인천광역시,79547
48,2009,울산광역시,32982
49,2009,제주특별자치도,28806
50,2009,세종특별자치시,0
51,2010,서울특별시,553674
52,2010,경기도,502722
53,2010,부산광역시,274946
54,2010,경상북도,234786
55,2010,충청남도,240699
56,2010,대전광역시,147387
57,2010,경상남도,129357
58,2010,전라북도,132730
59,2010,강원도,131027
60,2010,충청북도,128410
61,2010,대구광역시,125759
62,2010,광주광역시,117771
63,2010,전라남도,90228
64,2010,인천광역시,78511
65,2010,울산광역시,34125
66,2010,제주특별자치도,29150
67,2010,세종특별자치시,0
68,2011,서울특별시,555787
69,2011,경기도,509167
70,2011,부산광역시,276245
71,2011,경상북도,238438
72,2011,충청남도,242988
73,2011,대전광역시,153845
74,2011,경상남도,130948
75,2011,전라북도,134272
76,2011,강원도,134822
77,2011,충청북도,130699
78,2011,대구광역시,126260
79,2011,광주광역시,118071
80,2011,전라남도,89915
81,2011,인천광역시,79155
82,2011,울산광역시,35026
83,2011,제주특별자치도,29708
84,2011,세종특별자치시,0
85,2012,서울특별시,574067
86,2012,경기도,498389
87,2012,부산광역시,277133
88,2012,경상북도,235751
89,2012,충청남도,243667
90,2012,대전광역시,153324
91,2012,경상남도,130688
92,2012,전라북도,134813
93,2012,강원도,137281
94,2012,충청북도,132588
95,2012,대구광역시,126354
96,2012,광주광역시,116977
97,2012,전라남도,86621
98,2012,인천광역시,75089
99,2012,울산광역시,35944
100,2012,제주특별자치도,29482
101,2012,세종특별자치시,0
102,2013,서울특별시,570583
103,2013,경기도,499221
104,2013,부산광역시,274955
105,2013,경상북도,226828
106,2013,충청남도,215353
107,2013,대전광역시,151320
108,2013,경상남도,129823
109,2013,전라북도,131655
110,2013,강원도,138500
111,2013,충청북도,134245
112,2013,대구광역시,130792
113,2013,광주광역시,116534
114,2013,전라남도,85497
115,2013,인천광역시,75060
116,2013,울산광역시,36162
117,2013,제주특별자치도,29758
118,2013,세종특별자치시,25608
119,2014,서울특별시,575724
120,2014,경기도,482796
121,2014,부산광역시,273109
122,2014,경상북도,223541
123,2014,충청남도,215287
124,2014,대전광역시,150697
125,2014,경상남도,128959
126,2014,전라북도,130363
127,2014,강원도,138504
128,2014,충청북도,134283
129,2014,대구광역시,128645
130,2014,광주광역시,117615
131,2014,전라남도,83456
132,2014,인천광역시,72961
133,2014,울산광역시,35759
134,2014,제주특별자치도,30239
135,2014,세종특별자치시,25557
136,2015,서울특별시,567207
137,2015,경기도,471130
138,2015,부산광역시,265792
139,2015,경상북도,218978
140,2015,충청남도,209487
141,2015,대전광역시,150477
142,2015,경상남도,126509
143,2015,전라북도,129924
144,2015,강원도,135726
145,2015,충청북도,133173
146,2015,대구광역시,126257
147,2015,광주광역시,116106
148,2015,전라남도,81302
