,시점,지역,사설학원수
0,2003,경기도,13837
1,2003,서울특별시,11176
2,2003,경상남도,5646
3,2003,부산광역시,4987
4,2003,대구광역시,2978
5,2003,인천광역시,2778
6,2003,전라북도,2966
7,2003,경상북도,2965
8,2003,광주광역시,2646
9,2003,충청남도,2460
10,2003,전라남도,2387
11,2003,울산광역시,2257
12,2003,충청북도,1887
13,2003,대전광역시,1848
14,2003,강원도,2146
15,2003,제주특별자치도,760
16,2003,세종특별자치시,0
17,2004,경기도,13806
18,2004,서울특별시,11382
19,2004,경상남도,4979
20,2004,부산광역시,4842
21,2004,대구광역시,2907
22,2004,인천광역시,2766
23,2004,전라북도,3155
24,2004,경상북도,2919
25,2004,광주광역시,2515
26,2004,충청남도,2372
27,2004,전라남도,2442
28,2004,울산광역시,2317
29,2004,충청북도,1834
30,2004,대전광역시,1745
31,2004,강원도,2012
32,2004,제주특별자치도,771
33,2004,세종특별자치시,0
34,2005,경기도,14569
35,2005,서울특별시,11603
36,2005,경상남도,5053
37,2005,부산광역시,4661
38,2005,대구광역시,2908
39,2005,인천광역시,2678
40,2005,전라북도,3136
41,2005,경상북도,3103
42,2005,광주광역시,2667
43,2005,충청남도,2419
44,2005,전라남도,2519
45,2005,울산광역시,2316
46,2005,충청북도,2054
47,2005,대전광역시,1928
48,2005,강원도,2139
49,2005,제주특별자치도,838
50,2005,세종특별자치시,0
51,2006,경기도,15529
52,2006,서울특별시,11794
53,2006,경상남도,5340
54,2006,부산광역시,4709
55,2006,대구광역시,3041
56,2006,인천광역시,2652
57,2006,전라북도,3084
58,2006,경상북도,3317
59,2006,광주광역시,2640
60,2006,충청남도,2528
61,2006,전라남도,2547
62,2006,울산광역시,2416
63,2006,충청북도,2154
64,2006,대전광역시,1982
65,2006,강원도,2210
66,2006,제주특별자치도,898
67,2006,세종특별자치시,0
68,2007,경기도,15591
69,2007,서울특별시,11549
70,2007,경상남도,5844
71,2007,부산광역시,4779
72,2007,대구광역시,2929
73,2007,인천광역시,2684
74,2007,전라북도,3264
75,2007,경상북도,3355
76,2007,광주광역시,2420
77,2007,충청남도,2660
78,2007,전라남도,2637
79,2007,울산광역시,2346
80,2007,충청북도,2221
81,2007,대전광역시,2128
82,2007,강원도,2315
83,2007,제주특별자치도,927
84,2007,세종특별자치시,0
85,2008,경기도,16566
86,2008,서울특별시,12006
87,2008,경상남도,6055
