,시점,지역,중학생인원수변화
0,2000,경기도,359220
1,2000,서울특별시,375605
2,2000,경상남도,122943
3,2000,인천광역시,105546
4,2000,부산광역시,150783
5,2000,경상북도,102583
6,2000,대구광역시,105198
7,2000,충청남도,73993
8,2000,전라북도,78855
9,2000,전라남도,79535
10,2000,광주광역시,58783
11,2000,충청북도,60603
12,2000,대전광역시,60020
13,2000,강원도,61002
14,2000,울산광역시,45333
15,2000,제주특별자치도,20537
16,2000,세종특별자치시,0
17,2001,경기도,367867
18,2001,서울특별시,364688
19,2001,경상남도,120808
20,2001,인천광역시,106012
21,2001,부산광역시,144935
22,2001,경상북도,99548
23,2001,대구광역시,103813
24,2001,충청남도,71934
25,2001,전라북도,75524
26,2001,전라남도,74918
27,2001,광주광역시,58350
28,2001,충청북도,58828
29,2001,대전광역시,59423
30,2001,강원도,59026
31,2001,울산광역시,45515
32,2001,제주특별자치도,19963
33,2001,세종특별자치시,0
34,2002,경기도,384591
35,2002,서울특별시,361244
36,2002,경상남도,120998
37,2002,인천광역시,107810
38,2002,부산광역시,143244
39,2002,경상북도,98199
40,2002,대구광역시,105561
41,2002,충청남도,70521
42,2002,전라북도,74163
43,2002,전라남도,72478
44,2002,광주광역시,59823
45,2002,충청북도,57591
46,2002,대전광역시,59748
47,2002,강원도,57806
48,2002,울산광역시,47075
49,2002,제주특별자치도,20178
50,2002,세종특별자치시,0
51,2003,경기도,402500
52,2003,서울특별시,359457
53,2003,경상남도,121832
54,2003,인천광역시,109493
55,2003,부산광역시,141010
56,2003,경상북도,96960
57,2003,대구광역시,106094
58,2003,충청남도,69328
59,2003,전라북도,72900
60,2003,전라남도,70707
61,2003,광주광역시,61201
62,2003,충청북도,57150
63,2003,대전광역시,60236
64,2003,강원도,56816
65,2003,울산광역시,48238
66,2003,제주특별자치도,20719
67,2003,세종특별자치시,0
68,2004,경기도,433314
69,2004,서울특별시,370551
70,2004,경상남도,127439
71,2004,인천광역시,114670
72,2004,부산광역시,144092
73,2004,경상북도,98613
74,2004,대구광역시,110385
75,2004,충청남도,71099
76,2004,전라북도,74161
77,2004,전라남도,71739
78,2004,광주광역시,64660
79,2004,충청북도,58853
80,2004,대전광역시,63037
81,2004,강원도,57523
