,시점,지역,초등학생인원수변화
0,2000,경기도,889034
1,2000,서울특별시,759443
2,2000,부산광역시,294929
3,2000,경상남도,269119
4,2000,인천광역시,245716
5,2000,경상북도,217710
6,2000,대구광역시,216465
7,2000,전라남도,163677
8,2000,전라북도,159683
9,2000,충청남도,151526
10,2000,광주광역시,126820
11,2000,대전광역시,125748
12,2000,충청북도,124176
13,2000,강원도,122613
14,2000,울산광역시,106554
15,2000,제주특별자치도,46778
16,2000,세종특별자치시,0
17,2001,경기도,924142
18,2001,서울특별시,762967
19,2001,부산광역시,293685
20,2001,경상남도,273581
21,2001,인천광역시,250264
22,2001,경상북도,217985
23,2001,대구광역시,220063
24,2001,전라남도,164231
25,2001,전라북도,161425
26,2001,충청남도,153728
27,2001,광주광역시,131416
28,2001,대전광역시,128927
29,2001,충청북도,126177
30,2001,강원도,123102
31,2001,울산광역시,108886
32,2001,제주특별자치도,48850
33,2001,세종특별자치시,0
34,2002,경기도,956758
35,2002,서울특별시,759229
36,2002,부산광역시,291342
37,2002,경상남도,278337
38,2002,인천광역시,250477
39,2002,경상북도,217903
40,2002,대구광역시,221083
41,2002,전라남도,164722
42,2002,전라북도,162816
43,2002,충청남도,155257
44,2002,광주광역시,135584
45,2002,대전광역시,130998
46,2002,충청북도,128201
47,2002,강원도,124112
48,2002,울산광역시,110777
49,2002,제주특별자치도,50770
50,2002,세종특별자치시,0
51,2003,경기도,983887
52,2003,서울특별시,759010
53,2003,부산광역시,288174
54,2003,경상남도,283632
55,2003,인천광역시,247046
56,2003,경상북도,216719
57,2003,대구광역시,223849
58,2003,전라남도,164606
59,2003,전라북도,162998
60,2003,충청남도,156793
61,2003,광주광역시,138644
62,2003,대전광역시,132735
63,2003,충청북도,129175
64,2003,강원도,124305
65,2003,울산광역시,111909
66,2003,제주특별자치도,52144
67,2003,세종특별자치시,0
68,2004,경기도,986056
69,2004,서울특별시,736710
70,2004,부산광역시,277769
71,2004,경상남도,280491
72,2004,인천광역시,238650
73,2004,경상북도,212588
74,2004,대구광역시,220612
75,2004,전라남도,161187
76,2004,전라북도,160778
77,2004,충청남도,156721
78,2004,광주광역시,138670
79,2004,대전광역시,131906
80,2004,충청북도,128904
81,2004,강원도,122661
82,2004,울산광역시,110133
83,2004,제주특별자치도,52359
84,2004,세종특별자치시,0
85,2005,경기도,979630
86,2005,서울특별시,711136
87,2005,부산광역시,265083
88,2005,경상남도,275274
89,2005,인천광역시,230067
90,2005,경상북도,206141
91,2005,대구광역시,213212
92,2005,전라남도,156686
93,2005,전라북도,157804
94,2005,충청남도,156088
95,2005,광주광역시,136309
96,2005,대전광역시,129952
97,2005,충청북도,126588
98,2005,강원도,120102
99,2005,울산광역시,107058
100,2005,제주특별자치도,51671
101,2005,세종특별자치시,0
102,2006,경기도,966347
103,2006,서울특별시,689169
104,2006,부산광역시,252856
105,2006,경상남도,270349
106,2006,인천광역시,222154
107,2006,경상북도,201415
108,2006,대구광역시,205658
109,2006,전라남도,152538
110,2006,전라북도,154099
111,2006,충청남도,154598
112,2006,광주광역시,134192
113,2006,대전광역시,127601
114,2006,충청북도,122986
115,2006,강원도,117025
116,2006,울산광역시,103265
117,2006,제주특별자치도,50791
118,2006,세종특별자치시,0
119,2007,경기도,951908
120,2007,서울특별시,665227
121,2007,부산광역시,242193
122,2007,경상남도,264776
123,2007,인천광역시,214671
124,2007,경상북도,196170
125,2007,대구광역시,199471
126,2007,전라남도,148376
127,2007,전라북도,149721
128,2007,충청남도,153984
129,2007,광주광역시,132619
130,2007,대전광역시,125583
131,2007,충청북도,120998
132,2007,강원도,114973
133,2007,울산광역시,99281
134,2007,제주특별자치도,50047
135,2007,세종특별자치시,0
136,2008,경기도,920586
137,2008,서울특별시,633486
138,2008,부산광역시,227494
139,2008,경상남도,254368
140,2008,인천광역시,205781
141,2008,경상북도,187309
142,2008,대구광역시,189585
143,2008,전라남도,141424
144,2008,전라북도,143293
145,2008,충청남도,150382
146,2008,광주광역시,127758
147,2008,대전광역시,120881
148,2008,충청북도,116711
149,2008,강원도,110747
150,2008,울산광역시,94111
151,2008,제주특별자치도,48291
152,2008,세종특별자치시,0
153,2009,경기도,880141
154,2009,서울특별시,598514
155,2009,부산광역시,210826
156,2009,경상남도,240129
157,2009,인천광역시,193210
158,2009,경상북도,175577
159,2009,대구광역시,178029
160,2009,전라남도,132503
161,2009,전라북도,135336
162,2009,충청남도,143961
163,2009,광주광역시,121590
164,2009,대전광역시,114621
165,2009,충청북도,110757
166,2009,강원도,105480
167,2009,울산광역시,87693
168,2009,제주특별자치도,46028
169,2009,세종특별자치시,0
170,2010,경기도,848135
171,2010,서울특별시,566149
172,2010,부산광역시,197397
173,2010,경상남도,227813
174,2010,인천광역시,183261
175,2010,경상북도,164230
176,2010,대구광역시,167548
177,2010,전라남도,123912
178,2010,전라북도,126869
179,2010,충청남도,138404
180,2010,광주광역시,115827
181,2010,대전광역시,109013
182,2010,충청북도,105026
183,2010,강원도,99797
184,2010,울산광역시,81678
185,2010,제주특별자치도,44035
186,2010,세종특별자치시,0
187,2011,경기도,814927
188,2011,서울특별시,535948
189,2011,부산광역시,184983
190,2011,경상남도,215383
191,2011,인천광역시,173598
192,2011,경상북도,155146
193,2011,대구광역시,157693
194,2011,전라남도,115550
195,2011,전라북도,119592
196,2011,충청남도,132962
197,2011,광주광역시,109760
198,2011,대전광역시,103852
199,2011,충청북도,99902
200,2011,강원도,94442
201,2011,울산광역시,76596
202,2011,제주특별자치도,42143
203,2011,세종특별자치시,0
204,2012,경기도,775163
205,2012,서울특별시,502000
206,2012,부산광역시,172069
207,2012,경상남도,202320
208,2012,인천광역시,164928
209,2012,경상북도,144918
210,2012,대구광역시,146899
211,2012,전라남도,107133
212,2012,전라북도,112640
213,2012,충청남도,127260
214,2012,광주광역시,102912
215,2012,대전광역시,98665
216,2012,충청북도,94507
217,2012,강원도,88865
218,2012,울산광역시,71544
219,2012,제주특별자치도,40172
220,2012,세종특별자치시,0
221,2013,경기도,739619
222,2013,서울특별시,469392
223,2013,부산광역시,160821
224,2013,경상남도,190166
225,2013,인천광역시,157918
226,2013,경상북도,135237
227,2013,대구광역시,136309
228,2013,전라남도,99206
229,2013,전라북도,105135
230,2013,충청남도,116216
231,2013,광주광역시,96055
232,2013,대전광역시,93398
233,2013,충청북도,88860
234,2013,강원도,83187
235,2013,울산광역시,67156
236,2013,제주특별자치도,38235
237,2013,세종특별자치시,7090
238,2014,경기도,732307
