군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,유치원수,유치원원아수,초등학교수,초등학교학생수,문화기반시설수
종로구,2013,24676,30007,7797,160070,873,9,4,17,1263,14,6561,57
종로구,2014,24191,27484,8351,156993,905,9,4,17,1274,14,6233,59
종로구,2015,24951,27470,8836,154986,906,9,4,17,1238,14,6084,61
종로구,2016,23604,26386,9185,152737,846,9,4,17,1330,13,5686,64
종로구,2017,28020,25814,9487,154770,689,9,4,17,1320,13,5561,64
종로구,2018,23187,24798,9961,153065,644,9,4,17,1299,13,5507,63
종로구,2019,22271,23945,10579,151290,673,8,4,17,1217,13,5463,64
종로구,2020,23632,25254,9612,149384,529,9,4,17,1180,13,5192,66
종로구,2021,22204,24428,9106,144683,528,11,4,16,1077,13,5072,68
중구,2013,19191,22508,7525,130465,1022,8,4,13,1289,12,6066,23
중구,2014,20105,22972,8162,128065,1041,8,3,13,1193,12,5854,23
중구,2015,20078,22950,8596,125733,950,9,4,13,1204,12,5739,24
중구,2016,20595,21655,9160,125249,959,8,5,13,1176,12,5474,24
중구,2017,20904,20574,8884,125709,808,9,5,14,1172,12,5283,24
중구,2018,20771,20873,9908,125725,733,10,5,14,1123,12,5226,24
중구,2019,19623,19384,10317,126171,783,10,5,14,1122,12,5181,25
중구,2020,20777,21733,9395,125240,690,9,5,14,1038,12,4990,27
중구,2021,19917,21126,9288,122499,627,9,5,14,1002,12,4808,30
용산구,2013,34935,39623,12185,239740,2129,7,9,17,1772,15,8763,13
용산구,2014,35618,40635,13963,235951,1976,7,10,17,1761,15,8529,14
용산구,2015,37064,41361,14567,233342,1967,8,10,17,1753,15,8210,14
용산구,2016,34124,38615,14861,230241,1708,8,9,17,1779,15,7923,14
용산구,2017,35154,36622,15283,229161,1464,7,9,17,1672,15,7624,16
용산구,2018,37339,37801,16091,228999,1377,8,9,17,1574,15,7460,18
용산구,2019,35099,35673,16515,228670,1314,8,9,13,1407,15,7273,18
용산구,2020,40282,38985,14605,230040,1176,8,9,13,1344,15,6870,18
용산구,2021,36011,39572,14332,222953,1234,9,9,13,1351,15,6656,17
성동구,2013,45399,47356,7234,299337,2838,11,19,29,2623,20,13713,10
성동구,2014,46521,51349,7805,296086,2654,10,19,30,2623,20,13174,11
성동구,2015,48105,49091,8062,297003,2753,10,20,31,2548,20,12641,14
성동구,2016,47629,46986,7902,299259,2531,8,20,31,2584,21,12352,14
성동구,2017,50416,46031,7903,304808,2462,8,23,31,2638,21,12047,14
성동구,2018,51358,49012,8242,308221,2346,9,23,31,2608,21,11922,14
성동구,2019,39922,48102,8090,300889,2191,10,25,30,2264,21,11789,14
성동구,2020,45153,53096,6949,293556,1945,10,22,28,2110,21,10992,15
성동구,2021,39831,46075,6682,285990,1833,10,20,29,1978,21,10555,15
광진구,2013,56235,60597,12512,368927,2990,15,21,38,3346,22,16482,9
광진구,2014,56778,64189,14021,363354,3011,14,21,37,3251,22,16086,10
