"시군구별(1)","시군구별(2)",시점,산부인과,소아청소년과
"서울","강남구",2013.4/4,46,28
"서울","강남구",2014.4/4,48,27
"서울","강남구",2015.4/4,52,28
"서울","강남구",2016.4/4,52,30
"서울","강남구",2017.4/4,56,29
"서울","강남구",2018.4/4,55,30
"서울","강남구",2019.4/4,53,28
"서울","강남구",2020.4/4,49,28
"서울","강남구",2021.4/4,51,30
"서울","강남구",2022.4/4,51,30
"서울","강동구",2013.4/4,20,28
"서울","강동구",2014.4/4,20,29
"서울","강동구",2015.4/4,21,24
"서울","강동구",2016.4/4,19,25
"서울","강동구",2017.4/4,18,23
"서울","강동구",2018.4/4,17,24
"서울","강동구",2019.4/4,17,26
"서울","강동구",2020.4/4,17,25
"서울","강동구",2021.4/4,19,27
"서울","강동구",2022.4/4,19,26
"서울","강서구",2013.4/4,14,25
"서울","강서구",2014.4/4,13,27
"서울","강서구",2015.4/4,13,29
"서울","강서구",2016.4/4,13,31
"서울","강서구",2017.4/4,14,34
"서울","강서구",2018.4/4,14,32
"서울","강서구",2019.4/4,18,29
"서울","강서구",2020.4/4,19,27
"서울","강서구",2021.4/4,19,28
"서울","강서구",2022.4/4,20,27
"서울","관악구",2013.4/4,20,25
"서울","관악구",2014.4/4,20,25
"서울","관악구",2015.4/4,21,24
"서울","관악구",2016.4/4,21,22
"서울","관악구",2017.4/4,20,22
"서울","관악구",2018.4/4,20,22
"서울","관악구",2019.4/4,20,21
"서울","관악구",2020.4/4,21,20
"서울","관악구",2021.4/4,21,18
"서울","관악구",2022.4/4,22,18
"서울","구로구",2013.4/4,16,23
"서울","구로구",2014.4/4,14,21
"서울","구로구",2015.4/4,12,19
"서울","구로구",2016.4/4,12,21
"서울","구로구",2017.4/4,12,19
"서울","구로구",2018.4/4,12,19
"서울","구로구",2019.4/4,12,18
"서울","구로구",2020.4/4,12,18
"서울","구로구",2021.4/4,12,18
"서울","구로구",2022.4/4,13,18
"서울","도봉구",2013.4/4,8,16
"서울","도봉구",2014.4/4,8,16
"서울","도봉구",2015.4/4,8,17
"서울","도봉구",2016.4/4,8,17
"서울","도봉구",2017.4/4,7,17
"서울","도봉구",2018.4/4,7,15
"서울","도봉구",2019.4/4,7,15
"서울","도봉구",2020.4/4,6,14
"서울","도봉구",2021.4/4,6,13
"서울","도봉구",2022.4/4,6,13
"서울","동대문구",2013.4/4,15,16
"서울","동대문구",2014.4/4,16,16
"서울","동대문구",2015.4/4,15,16
"서울","동대문구",2016.4/4,17,17
"서울","동대문구",2017.4/4,17,17
"서울","동대문구",2018.4/4,18,17
"서울","동대문구",2019.4/4,17,17
"서울","동대문구",2020.4/4,15,15
"서울","동대문구",2021.4/4,15,16
"서울","동대문구",2022.4/4,15,16
"서울","동작구",2013.4/4,10,20
"서울","동작구",2014.4/4,10,17
"서울","동작구",2015.4/4,10,18
"서울","동작구",2016.4/4,10,18
"서울","동작구",2017.4/4,10,16
"서울","동작구",2018.4/4,10,15
"서울","동작구",2019.4/4,9,15
"서울","동작구",2020.4/4,9,15
"서울","동작구",2021.4/4,9,14
"서울","동작구",2022.4/4,9,14
"서울","마포구",2013.4/4,22,22
"서울","마포구",2014.4/4,24,22
"서울","마포구",2015.4/4,25,24
"서울","마포구",2016.4/4,26,24
"서울","마포구",2017.4/4,25,23
"서울","마포구",2018.4/4,26,22
"서울","마포구",2019.4/4,26,22
"서울","마포구",2020.4/4,26,19
"서울","마포구",2021.4/4,26,18
"서울","마포구",2022.4/4,25,18
"서울","서대문구",2013.4/4,9,14
"서울","서대문구",2014.4/4,9,14
"서울","서대문구",2015.4/4,8,13
"서울","서대문구",2016.4/4,7,13
"서울","서대문구",2017.4/4,10,14
"서울","서대문구",2018.4/4,10,13
"서울","서대문구",2019.4/4,9,13
"서울","서대문구",2020.4/4,9,11
"서울","서대문구",2021.4/4,9,11
"서울","서대문구",2022.4/4,8,11
"서울","성동구",2013.4/4,11,19
"서울","성동구",2014.4/4,10,19
"서울","성동구",2015.4/4,10,20
"서울","성동구",2016.4/4,8,20
"서울","성동구",2017.4/4,8,23
"서울","성동구",2018.4/4,9,23
"서울","성동구",2019.4/4,10,25
"서울","성동구",2020.4/4,10,22
"서울","성동구",2021.4/4,10,20
"서울","성동구",2022.4/4,10,20
"서울","성북구",2013.4/4,15,25
"서울","성북구",2014.4/4,14,24
"서울","성북구",2015.4/4,14,21
"서울","성북구",2016.4/4,16,21
"서울","성북구",2017.4/4,14,19
"서울","성북구",2018.4/4,13,19
"서울","성북구",2019.4/4,13,19
"서울","성북구",2020.4/4,12,20
"서울","성북구",2021.4/4,12,18
"서울","성북구",2022.4/4,12,18
"서울","영등포구",2013.4/4,19,21
"서울","영등포구",2014.4/4,18,23
"서울","영등포구",2015.4/4,19,22
"서울","영등포구",2016.4/4,19,20
"서울","영등포구",2017.4/4,18,22
"서울","영등포구",2018.4/4,17,23
"서울","영등포구",2019.4/4,17,24
"서울","영등포구",2020.4/4,17,20
"서울","영등포구",2021.4/4,17,19
"서울","영등포구",2022.4/4,17,20
"서울","용산구",2013.4/4,7,9
"서울","용산구",2014.4/4,7,10
"서울","용산구",2015.4/4,8,10
"서울","용산구",2016.4/4,8,9
"서울","용산구",2017.4/4,7,9
"서울","용산구",2018.4/4,8,9
"서울","용산구",2019.4/4,8,9
"서울","용산구",2020.4/4,8,9
"서울","용산구",2021.4/4,9,9
"서울","용산구",2022.4/4,8,9
"서울","은평구",2013.4/4,17,29
"서울","은평구",2014.4/4,17,28
"서울","은평구",2015.4/4,15,27
"서울","은평구",2016.4/4,13,28
"서울","은평구",2017.4/4,12,27
"서울","은평구",2018.4/4,13,25
"서울","은평구",2019.4/4,13,24
"서울","은평구",2020.4/4,13,22
