"행정구역별","시점",데이터
"종로구","2013",17
"종로구","2014",17
"종로구","2015",17
"종로구","2016",17
"종로구","2017",17
"종로구","2018",17
"종로구","2019",17
"종로구","2020",17
"종로구","2021",16
"종로구","2022",16
"중구","2013",13
"중구","2014",13
"중구","2015",13
"중구","2016",13
"중구","2017",14
"중구","2018",14
"중구","2019",14
"중구","2020",14
"중구","2021",14
"중구","2022",14
"용산구","2013",17
"용산구","2014",17
"용산구","2015",17
"용산구","2016",17
"용산구","2017",17
"용산구","2018",17
"용산구","2019",13
"용산구","2020",13
"용산구","2021",13
"용산구","2022",13
"성동구","2013",29
"성동구","2014",30
"성동구","2015",31
"성동구","2016",31
"성동구","2017",31
"성동구","2018",31
"성동구","2019",30
"성동구","2020",28
"성동구","2021",29
"성동구","2022",28
"광진구","2013",38
"광진구","2014",37
"광진구","2015",37
"광진구","2016",36
"광진구","2017",36
"광진구","2018",36
"광진구","2019",33
"광진구","2020",31
"광진구","2021",31
"광진구","2022",29
"동대문구","2013",32
"동대문구","2014",33
"동대문구","2015",33
"동대문구","2016",32
"동대문구","2017",32
"동대문구","2018",33
"동대문구","2019",31
"동대문구","2020",29
"동대문구","2021",28
"동대문구","2022",28
"중랑구","2013",31
"중랑구","2014",32
"중랑구","2015",32
"중랑구","2016",34
"중랑구","2017",34
"중랑구","2018",33
"중랑구","2019",31
"중랑구","2020",29
"중랑구","2021",32
"중랑구","2022",33
"성북구","2013",55
"성북구","2014",55
"성북구","2015",55
"성북구","2016",52
"성북구","2017",52
"성북구","2018",50
"성북구","2019",49
"성북구","2020",47
"성북구","2021",46
"성북구","2022",46
"강북구","2013",23
"강북구","2014",24
"강북구","2015",22
"강북구","2016",24
"강북구","2017",23
"강북구","2018",23
"강북구","2019",21
"강북구","2020",18
"강북구","2021",20
"강북구","2022",17
"도봉구","2013",31
"도봉구","2014",31
"도봉구","2015",30
"도봉구","2016",30
"도봉구","2017",29
"도봉구","2018",29
"도봉구","2019",26
"도봉구","2020",24
"도봉구","2021",26
"도봉구","2022",28
"노원구","2013",70
"노원구","2014",70
"노원구","2015",69
"노원구","2016",67
"노원구","2017",68
"노원구","2018",68
"노원구","2019",66
"노원구","2020",62
"노원구","2021",57
"노원구","2022",60
"은평구","2013",49
"은평구","2014",50
"은평구","2015",48
"은평구","2016",48
"은평구","2017",48
"은평구","2018",43
"은평구","2019",44
"은평구","2020",42
"은평구","2021",39
"은평구","2022",40
"서대문구","2013",26
"서대문구","2014",26
"서대문구","2015",26
"서대문구","2016",27
"서대문구","2017",27
"서대문구","2018",27
"서대문구","2019",25
"서대문구","2020",23
"서대문구","2021",23
"서대문구","2022",23
"마포구","2013",29
"마포구","2014",28
"마포구","2015",28
"마포구","2016",28
"마포구","2017",27
"마포구","2018",26
"마포구","2019",24
"마포구","2020",25
"마포구","2021",26
"마포구","2022",27
"양천구","2013",48
"양천구","2014",50
"양천구","2015",50
"양천구","2016",49
"양천구","2017",50
"양천구","2018",47
"양천구","2019",43
"양천구","2020",39
"양천구","2021",39
"양천구","2022",39
"강서구","2013",45
"강서구","2014",46
"강서구","2015",52
"강서구","2016",52
"강서구","2017",53
"강서구","2018",56
"강서구","2019",56
"강서구","2020",54
"강서구","2021",52
"강서구","2022",53
"구로구","2013",35
"구로구","2014",38
"구로구","2015",37
"구로구","2016",36
"구로구","2017",36
"구로구","2018",34
"구로구","2019",34
"구로구","2020",32
"구로구","2021",31
"구로구","2022",32
"금천구","2013",19
"금천구","2014",19
"금천구","2015",18
"금천구","2016",17
"금천구","2017",18
"금천구","2018",18
"금천구","2019",19
"금천구","2020",18
"금천구","2021",18
"금천구","2022",17
"영등포구","2013",41
"영등포구","2014",41
"영등포구","2015",42
"영등포구","2016",42
"영등포구","2017",42
"영등포구","2018",42
"영등포구","2019",39
"영등포구","2020",37
"영등포구","2021",37
"영등포구","2022",39
"동작구","2013",31
"동작구","2014",34
"동작구","2015",34
"동작구","2016",34
"동작구","2017",34
"동작구","2018",37
"동작구","2019",34
"동작구","2020",32
"동작구","2021",31
"동작구","2022",31
"관악구","2013",36
"관악구","2014",36
"관악구","2015",36
"관악구","2016",36
"관악구","2017",35
"관악구","2018",36
"관악구","2019",33
"관악구","2020",33
"관악구","2021",32
"관악구","2022",31
"서초구","2013",26
"서초구","2014",25
"서초구","2015",28
"서초구","2016",27
"서초구","2017",28
"서초구","2018",28
"서초구","2019",27
"서초구","2020",26
"서초구","2021",26
"서초구","2022",24
"강남구","2013",38
"강남구","2014",40
"강남구","2015",42
"강남구","2016",41
"강남구","2017",38
"강남구","2018",40
"강남구","2019",38
"강남구","2020",37
"강남구","2021",36
"강남구","2022",37
"송파구","2013",51
"송파구","2014",53
"송파구","2015",54
"송파구","2016",54
"송파구","2017",56
"송파구","2018",56
"송파구","2019",51
"송파구","2020",50
"송파구","2021",49
"송파구","2022",48
"강동구","2013",39
"강동구","2014",39
"강동구","2015",37
"강동구","2016",35
"강동구","2017",35
"강동구","2018",35
"강동구","2019",32
"강동구","2020",35
"강동구","2021",36
"강동구","2022",35
