"행정구역별","시점",데이터
"종로구","2013",1263
"종로구","2014",1274
"종로구","2015",1238
"종로구","2016",1330
"종로구","2017",1320
"종로구","2018",1299
"종로구","2019",1217
"종로구","2020",1180
"종로구","2021",1077
"종로구","2022",1019
"중구","2013",1289
"중구","2014",1193
"중구","2015",1204
"중구","2016",1176
"중구","2017",1172
"중구","2018",1123
"중구","2019",1122
"중구","2020",1038
"중구","2021",1002
"중구","2022",937
"용산구","2013",1772
"용산구","2014",1761
"용산구","2015",1753
"용산구","2016",1779
"용산구","2017",1672
"용산구","2018",1574
"용산구","2019",1407
"용산구","2020",1344
"용산구","2021",1351
"용산구","2022",1288
"성동구","2013",2623
"성동구","2014",2623
"성동구","2015",2548
"성동구","2016",2584
"성동구","2017",2638
"성동구","2018",2608
"성동구","2019",2264
"성동구","2020",2110
"성동구","2021",1978
"성동구","2022",1865
"광진구","2013",3346
"광진구","2014",3251
"광진구","2015",3199
"광진구","2016",3174
"광진구","2017",3139
"광진구","2018",3050
"광진구","2019",2753
"광진구","2020",2470
"광진구","2021",2237
"광진구","2022",2106
"동대문구","2013",3371
"동대문구","2014",3368
"동대문구","2015",3437
"동대문구","2016",3388
"동대문구","2017",3249
"동대문구","2018",3162
"동대문구","2019",3065
"동대문구","2020",2849
"동대문구","2021",2596
"동대문구","2022",2474
"중랑구","2013",3275
"중랑구","2014",3231
"중랑구","2015",3325
"중랑구","2016",3366
"중랑구","2017",3365
"중랑구","2018",3192
"중랑구","2019",2947
"중랑구","2020",2700
"중랑구","2021",2658
"중랑구","2022",2708
"성북구","2013",5875
"성북구","2014",5630
"성북구","2015",5440
"성북구","2016",5243
"성북구","2017",5094
"성북구","2018",4849
"성북구","2019",4535
"성북구","2020",4346
"성북구","2021",4208
"성북구","2022",4099
"강북구","2013",2172
"강북구","2014",2182
"강북구","2015",2103
"강북구","2016",2105
"강북구","2017",1887
"강북구","2018",1692
"강북구","2019",1376
"강북구","2020",1244
"강북구","2021",1199
"강북구","2022",1193
"도봉구","2013",3287
"도봉구","2014",3097
"도봉구","2015",3035
"도봉구","2016",3027
"도봉구","2017",2929
"도봉구","2018",2686
"도봉구","2019",2419
"도봉구","2020",2252
"도봉구","2021",2115
"도봉구","2022",2083
"노원구","2013",8163
"노원구","2014",7733
"노원구","2015",7364
"노원구","2016",7255
"노원구","2017",6867
"노원구","2018",6639
"노원구","2019",6203
"노원구","2020",5872
"노원구","2021",5466
"노원구","2022",5010
"은평구","2013",4896
"은평구","2014",4549
"은평구","2015",4600
"은평구","2016",4586
"은평구","2017",4242
"은평구","2018",3939
"은평구","2019",3624
"은평구","2020",3551
"은평구","2021",3196
"은평구","2022",2916
"서대문구","2013",2524
"서대문구","2014",2563
"서대문구","2015",2571
"서대문구","2016",2748
"서대문구","2017",2649
"서대문구","2018",2614
"서대문구","2019",2439
"서대문구","2020",2371
"서대문구","2021",2257
"서대문구","2022",2227
"마포구","2013",3217
"마포구","2014",3183
"마포구","2015",3132
"마포구","2016",3085
"마포구","2017",2975
"마포구","2018",2782
"마포구","2019",2609
"마포구","2020",2784
"마포구","2021",2711
"마포구","2022",2619
"양천구","2013",5374
"양천구","2014",5264
"양천구","2015",5168
"양천구","2016",5177
"양천구","2017",4972
"양천구","2018",4805
"양천구","2019",4469
"양천구","2020",4150
"양천구","2021",3769
"양천구","2022",3457
"강서구","2013",5462
"강서구","2014",5131
"강서구","2015",5643
